gene_dmel,symbol_dmel,description_dmel,genetype_dmel,highest_tissue_Female,highest_tissue_Larva,highest_tissue_Male,top_log2_enrich_Female,top_log2_enrich_Larva,top_log2_enrich_Male,tau_Female,tau_Larva,tau_Male
FBgn0000003,7SLRNA:CR32864,Signal recognition particle 7SL RNA CR32864,ncRNA,Midgut,Fat Body,Midgut,3.8560198906638683,1.1399681661383103,3.795311400182817,0.9605407248233399,0.6699024689584938,0.812433435256124
FBgn0000008,a,arc,PROTEIN_CODING,Ovary,Fat Body,Fat Body,0.30868544757450184,0.7043144181808809,2.0455139584691038,0.4997438524590164,0.7145922746781116,0.6586069210292813
FBgn0000014,abd-A,abdominal A,PROTEIN_CODING,Ganglion,Fat Body,Ganglion,1.3764731042682747,1.6273196204256488,0.5849622144722824,0.8409893992932862,0.9783001808318263,0.8010204081632654
FBgn0000015,Abd-B,Abdominal B,PROTEIN_CODING,Hindgut,Fat Body,Hindgut,2.8106206723027602,1.5000727148958448,0.5892370122773337,0.9372171945701357,0.7432659932659933,0.9084249084249084
FBgn0000017,Abl,Abl tyrosine kinase,PROTEIN_CODING,Ganglion,Midgut,Ganglion,0.9661373687285142,0.1647703510721772,0.4946897147799078,0.5525517938352703,0.2417400881057269,0.4076734693877551
FBgn0000018,ao,abnormal oocyte,PROTEIN_CODING,Ovary,Tubule,Tubule,0.39691235369202865,0.708483077703301,1.0556932820018443,0.5614014801110083,0.18980061349693242,0.3714686435584051
FBgn0000022,ac,achaete,PROTEIN_CODING,Ovary,Hindgut,Hindgut,0.6780664950501909,-2.733820556999768,-0.3625654994586091,0.921875,0.6195652173913044,0.7755102040816327
FBgn0000024,Ace,Acetylcholine esterase,PROTEIN_CODING,Ganglion,Midgut,Ganglion,4.4587022906865075,1.37499333427571,2.07222312215643,0.8437131547919825,0.7383011190233978,0.6813644870413429
FBgn0000028,acj6,abnormal chemosensory jump 6,PROTEIN_CODING,Brain,Fat Body,Brain,3.8810029986510717,0.3219208815744575,2.0310245267212412,0.9423076923076923,0.8500000000000001,0.9217325227963525
FBgn0000032,Acph-1,Acid phosphatase 1,PROTEIN_CODING,Ovary,Salivary Gland,Salivary Gland,0.5547302727734653,1.7526027288478145,0.8889286312923219,0.6590196078431373,0.7008452774715178,0.48594935356341484
FBgn0000036,nAChRalpha1,nicotinic Acetylcholine Receptor alpha1,PROTEIN_CODING,Ganglion,Fat Body,Brain,5.228406369560389,-1.8479760678928527,3.2155561600153426,0.8733683314415437,0.7,0.8643799472295515
FBgn0000037,mAChR-A,"muscarinic Acetylcholine Receptor, A-type",PROTEIN_CODING,Brain,Fat Body,Brain,5.1282979210027415,-1.1699049643729689,3.57568376287139,0.9104833219877467,0.5,0.9185588604943443
FBgn0000038,nAChRbeta1,nicotinic Acetylcholine Receptor beta1,PROTEIN_CODING,Ganglion,Salivary Gland,Brain,3.9706238718987916,-2.9541806037371825,2.0227511580251445,0.8810717372515126,0.84375,0.8485665694849368
FBgn0000039,nAChRalpha2,nicotinic Acetylcholine Receptor alpha2,PROTEIN_CODING,Brain,Fat Body,Brain,6.31686410668382,-4.115431902797591,3.6640069183304655,0.8784495735072755,0.75,0.8861229797510681
FBgn0000042,Act5C,Actin 5C,PROTEIN_CODING,Midgut,Salivary Gland,Midgut,2.3650014923907166,0.6972509575736858,2.6556541043080104,0.8022214068400373,0.40093278920629627,0.734518075393937
FBgn0000043,Act42A,Actin 42A,PROTEIN_CODING,Midgut,Midgut,Midgut,1.7618768226464248,0.6838334237254385,0.24502391609212423,0.8976956716752635,0.6930237743526855,0.7902270873352103
FBgn0000044,Act57B,Actin 57B,PROTEIN_CODING,Hindgut,Hindgut,Hindgut,2.0338784951941355,1.1559730006012916,0.9977118194689817,0.8690307229921522,0.9621596702462306,0.8675033231683477
FBgn0000045,Act79B,Actin 79B,PROTEIN_CODING,Ganglion,Tubule,Ganglion,2.6113697552762023,1.321920881454236,0.08625316935969594,0.9796963562753036,0.6583333333333333,0.9278269904347732
FBgn0000046,Act87E,Actin 87E,PROTEIN_CODING,Midgut,Hindgut,Midgut,1.0238248293032899,2.9975523804416278,-1.0225660566901627,0.7832973157415832,0.9801678908709339,0.7031003678402523
FBgn0000047,Act88F,Actin 88F,PROTEIN_CODING,Ganglion,Salivary Gland,Ganglion,5.379690183000103,3.7548541068932906,4.392717493383194,0.9949488146551724,0.9212962962962963,0.987570319309088
FBgn0000052,Pfas,Phosphoribosylformylglycinamidine synthase,PROTEIN_CODING,Eye,Fat Body,Fat Body,1.0598471701334897,2.0131603031319605,1.541229623963348,0.6957383548067393,0.9310797389330306,0.730849410605314
FBgn0000053,Gart,GART trifunctional enzyme,PROTEIN_CODING,Fat Body,Fat Body,Eye,1.1719600011991023,1.3550219014409959,1.4615369286535065,0.687701369311317,0.9213534107402032,0.6838706317379303
FBgn0000055,Adh,Alcohol dehydrogenase,PROTEIN_CODING,Fat Body,Fat Body,Fat Body,2.4272194881957603,3.090992030684647,1.3492055087683754,0.6211915105294176,0.943412534879458,0.6985507598055308
FBgn0000056,Adhr,Adh-related,PROTEIN_CODING,Midgut,Fat Body,Midgut,6.231997397705249,3.5673256948237957,-1.1473819726753476,0.8495011086474501,0.9505355182984521,0.9983388704318937
FBgn0000057,adp,adipose,PROTEIN_CODING,Tubule,Fat Body,Fat Body,0.5935244273336195,1.486558651000691,0.3289000215731469,0.29260355029585794,0.6953781512605042,0.3543224452315362
FBgn0000061,al,aristaless,PROTEIN_CODING,Eye,Midgut,Ganglion,-0.13750221222150774,0.7891612721025464,-2.192628976575411,0.775,0.9644670050761421,0.8163265306122449
FBgn0000063,Mps1,Monopolar spindle 1,PROTEIN_CODING,Ovary,Midgut,Brain,0.701496118354316,-0.9569299065640637,-0.04730566306891365,0.9154465592972182,0.47058823529411764,0.7285714285714285
FBgn0000064,Aldo,Aldolase,PROTEIN_CODING,Ganglion,Fat Body,Salivary Gland,1.3268648974646606,2.1644545868835845,0.5993218652350691,0.4832549775643194,0.8700228161307829,0.6009623222029079
FBgn0000071,Ama,Amalgam,PROTEIN_CODING,Ganglion,Fat Body,Ganglion,-0.3916866973059362,0.020177881442512154,6.312811729690706,0.893348623853211,0.827729044834308,0.9353099730458221
FBgn0000075,amd,alpha methyl dopa-resistant,PROTEIN_CODING,Hindgut,Hindgut,Hindgut,0.37703765728884314,2.832888291650097,2.1971049634380244,0.760434412265758,0.956140350877193,0.9351669941060904
FBgn0000077,amx,almondex,PROTEIN_CODING,Eye,Midgut,Salivary Gland,0.221138962608964,0.8089192278149819,1.0167754993921605,0.177477183833116,0.2807080924855492,0.11209744013212218
