tree	tip
Vespidae	Ancistrocerus_nigricornis
Vespidae	Mischocyttarus_mexicanus
Vespidae	Polistes_dominula
Vespidae	Polistes_fuscatus
Vespidae	Polistes_exclamans
Vespidae	Polistes_canadensis
Vespidae	Vespula_germanica
Vespidae	Vespula_pensylvanica
Vespidae	Vespula_vulgaris
Vespidae	Vespa_crabro
Vespidae	Vespa_mandarinia
Vespidae	Vespa_velutina
Vespidae	Dolichovespula_media
Vespidae	Dolichovespula_saxonica
Vespidae	Dolichovespula_sylvestris
Vespidae_with_outgroups	Ancistrocerus_nigricornis
Vespidae_with_outgroups	Mischocyttarus_mexicanus
Vespidae_with_outgroups	Polistes_dominula
Vespidae_with_outgroups	Polistes_fuscatus
Vespidae_with_outgroups	Polistes_exclamans
Vespidae_with_outgroups	Polistes_canadensis
Vespidae_with_outgroups	Vespula_germanica
Vespidae_with_outgroups	Vespula_pensylvanica
Vespidae_with_outgroups	Vespula_vulgaris
Vespidae_with_outgroups	Vespa_crabro
Vespidae_with_outgroups	Vespa_mandarinia
Vespidae_with_outgroups	Vespa_velutina
Vespidae_with_outgroups	Dolichovespula_media
Vespidae_with_outgroups	Dolichovespula_saxonica
Vespidae_with_outgroups	Dolichovespula_sylvestris
Vespidae_with_outgroups	Anoplius_nigerrimus
Vespidae_with_outgroups	Tiphia_femorata
Aculeata	Harpegnathos_saltator
Aculeata	Ooceraea_biroi
Aculeata	Linepithema_humile
Aculeata	Atta_cephalotes
Aculeata	Acromyrmex_echinatior
Aculeata	Monomorium_pharaonis
Aculeata	Solenopsis_invicta
Aculeata	Camponotus_floridanus
Aculeata	Nysson_spinosus
Aculeata	Pemphredon_lugubris
Aculeata	Macropis_europaea
Aculeata	Andrena_flavipes
Aculeata	Colletes_latitarsis
Aculeata	Dufourea_novaeangliae
Aculeata	Halictus_rubicundus
Aculeata	Lasioglossum_calceatum
Aculeata	Lasioglossum_morio
Aculeata	Lasioglossum_lativentre
Aculeata	Megalopta_genalis
Aculeata	Megachile_rotundata
Aculeata	Osmia_bicornis_bicornis
Aculeata	Habropoda_laboriosa
Aculeata	Ceratina_calcarata
Aculeata	Xylocopa_sonorina
Aculeata	Eufriesea_mexicana
Aculeata	Apis_florea
Aculeata	Apis_mellifera
Aculeata	Apis_cerana
Aculeata	Apis_dorsata
Aculeata	Apis_laboriosa
Aculeata	Bombus_hortorum
Aculeata	Bombus_lapidarius
Aculeata	Bombus_terrestris
Aculeata	Bombus_monticola
Aculeata	Bombus_impatiens
Aculeata	Bombus_hypnorum
Aculeata	Bombus_pratorum
Aculeata	Bombus_campestris
Aculeata	Bombus_vestalis
Aculeata	Bombus_sylvestris
Aculeata	Bombus_pascuorum
Aculeata	Bombus_muscorum
Aculeata	Tetragonisca_angustula
Aculeata	Melipona_bicolor
Aculeata	Melipona_quadrifasciata
Aculeata	Ancistrocerus_nigricornis
Aculeata	Mischocyttarus_mexicanus
Aculeata	Polistes_dominula
Aculeata	Polistes_fuscatus
Aculeata	Polistes_exclamans
Aculeata	Polistes_canadensis
Aculeata	Vespula_germanica
Aculeata	Vespula_pensylvanica
Aculeata	Vespula_vulgaris
Aculeata	Vespa_crabro
Aculeata	Vespa_mandarinia
Aculeata	Vespa_velutina
Aculeata	Dolichovespula_media
Aculeata	Dolichovespula_saxonica
Aculeata	Dolichovespula_sylvestris
Aculeata	Anoplius_nigerrimus
Aculeata	Tiphia_femorata
