FamilyID	Ancistrocerus_nigricornis<1>	Mischocyttarus_mexicanus<2>	Polistes_dominula<3>	Polistes_fuscatus<4>	Polistes_exclamans<5>	Polistes_canadensis<6>	Vespula_germanica<7>	Vespula_pensylvanica<8>	Vespula_vulgaris<9>	Vespa_crabro<10>	Vespa_mandarinia<11>	Vespa_velutina<12>	Dolichovespula_media<13>	Dolichovespula_saxonica<14>	Dolichovespula_sylvestris<15>	Anoplius_nigerrimus<16>	Tiphia_femorata<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>
N0.HOG0000005	0.602993	0.547972	0.531113	0.520478	0.512386	0.512386	0.5	0.5	0.5	0.520807	0.0106824	0.534847	0.5	0.5	0.5	0.614679	0.16829	N/A	0.530008	0.536738	0.53018	0.518548	0.511318	0.508401	0.53477	0.038275	0.5	0.50808	1.14893e-05	0.514963	0.0193959	0.5	0.514228
N0.HOG0000007	0.602993	0.547972	0.0464199	0.539708	0.0124616	8.51512e-05	0.519406	0.5	0.5	0.505328	0.00798461	0.0135898	0.524327	0.517942	0.0090498	0.69156	0.69156	N/A	0.530008	0.536738	0.53018	0.518548	0.00569069	0.51659	0.53477	0.525629	0.0218285	0.50808	0.528033	0.503805	0.512959	0.506744	0.00716376
N0.HOG0000008	0.151523	0.547972	4.98244e-13	0.520478	0.5	0.5	0.5	0.5	0.5	0.525804	3.15785e-08	0.52649	0.0363393	0.0268305	0.517942	0.614679	0.16829	N/A	0.530008	0.536738	0.53018	0.518548	0.511318	0.0125831	0.53477	0.038275	0.5	0.50808	0.000404019	8.64987e-05	0.512959	0.506744	0.514228
N0.HOG0000015	0.151523	0.0713534	0.531113	0.0103418	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.00734762	0.614679	N/A	0.530008	0.536738	0.53018	0.518548	0.511318	0.0125831	0.0518419	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.514228
N0.HOG0000019	0.289327	0.742506	0.682895	0.0816978	0.0496029	0.587253	0.0868551	0.0644037	0.0226869	0.0679439	3.43282e-11	0.111274	0.666051	0.631286	0.201169	0.00440751	0.000702629	N/A	0.0755058	0.0279526	0.678959	0.622921	0.580592	0.561611	0.136822	0.672519	0.610816	0.566108	0.68396	0.532732	0.600266	0.556044	0.565373
N0.HOG0000028	0.349642	0.142796	0.649008	0.605734	0.037295	0.00118682	1.00047e-05	0.0437896	0.529094	0.530722	0.530722	0.0647693	0.605383	0.580662	0.0451139	0.744327	0.000184396	N/A	0.582267	0.00774613	0.0759384	0.597103	0.562445	0.547352	0.641866	0.0644889	0.578591	0.538497	0.618869	0.0095301	0.559989	0.53239	0.540899
N0.HOG0000029	0.38319	0.00177675	0.016846	0.019936	0.596456	0.00275933	6.49696e-05	0.547078	0.0710951	0.545013	0.545013	0.573393	0.0379686	0.652894	0.652894	0.00135608	0.828406	N/A	0.00111311	0.160586	0.707147	0.224686	0.58922	0.568479	0.726617	0.685434	0.620671	0.572607	0.30722	0.532732	0.0646342	0.567179	0.57685
N0.HOG0000031	0.151523	0.0713534	0.531113	0.5	0.5	0.5	0.519406	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.614679	0.16829	N/A	0.530008	0.536738	0.53018	0.518548	0.0169447	0.5	0.53477	0.525629	0.0218285	0.0121031	0.5	0.5	0.5	0.5	0.514228
N0.HOG0000036	0.764823	0.120346	0.197725	0.590714	6.61939e-10	0.0868491	0.571172	0.519688	0.519688	0.520807	0.520807	0.534847	0.0490973	0.566232	0.566232	0.444645	0.781489	N/A	0.605018	0.624829	0.0609907	0.583093	0.552903	0.53995	0.619166	0.591441	0.554663	0.531168	0.598964	0.514963	0.548911	0.526172	0.553397
N0.HOG0000037	0.151523	0.547972	0.0464199	0.0103418	0.512386	0.0185398	0.00979517	0.505035	0.505035	0.510571	0.510571	0.517901	0.524327	0.0268305	0.0090498	0.0601581	0.614679	N/A	0.530008	0.536738	0.53018	0.518548	0.511318	0.508401	0.53477	0.525629	0.514588	0.50808	0.0142073	0.507567	0.512959	0.506744	0.514228
N0.HOG0000039	0.0588101	0.0447386	0.228499	0.605734	0.567805	0.102574	8.42333e-05	0.538221	0.538221	0.540325	1.67974e-05	0.558597	0.132099	0.0999792	0.566232	0.317055	0.0401832	N/A	0.625809	0.0923831	0.645485	0.597103	0.562445	0.547352	0.662349	0.627563	0.00499623	0.545651	0.0842802	0.0133393	0.00130062	0.526172	0.0357505
N0.HOG0000040	0.830843	0.000847933	0.682895	0.633183	5.00806e-06	0.587253	0.0774721	0.533692	0.533692	0.540325	0.540325	0.566095	0.0967714	0.607309	0.607309	0.0546896	0.353083	N/A	0.0901618	0.127364	0.678959	0.622921	0.580592	0.561611	0.697618	0.658628	0.153061	0.559452	0.669606	0.529258	0.590768	0.0759776	0.042848
N0.HOG0000042	0.250459	0.681754	0.197725	2.31628e-10	0.546868	0.546868	0.0774721	0.00026888	0.533692	0.00124648	0.540325	0.100058	0.652452	0.0716882	4.55178e-06	0.000702629	0.00440751	N/A	0.625809	0.648231	0.626406	0.583093	0.552903	0.0601826	0.00101874	0.658628	0.153061	0.559452	0.669606	0.529258	0.590768	0.550308	0.565373
N0.HOG0000043	0.00191337	0.65523	0.608358	0.57475	0.000486656	0.546868	0.571172	0.0223353	0.514877	3.30018e-07	0.0106824	0.534847	0.0490973	0.551002	0.0767518	0.744327	0.744327	N/A	0.582267	0.0559699	0.605541	0.568286	0.543032	0.532359	0.619166	0.591441	0.0824132	0.531168	0.598964	0.514963	0.548911	0.0393486	0.540899
N0.HOG0000044	0.415679	0.65523	0.164407	0.0412865	0.546868	2.75935e-08	0.058438	0.529094	0.529094	0.0106824	0.520807	0.000257604	0.0612103	0.580662	4.71744e-07	0.0271424	0.808386	N/A	0.605018	0.624829	0.605541	0.568286	0.543032	0.532359	0.0703247	0.0644889	0.578591	0.538497	0.181006	0.514963	0.559989	0.53239	0.0286274
N0.HOG0000045	0.00586702	0.0490795	0.531113	0.520478	0.00623076	0.0185398	0.537689	0.5	0.5	0.00267097	0.505328	0.0135898	0.0246168	0.052391	0.534923	6.00896e-12	0.744327	N/A	0.582267	0.14912	0.557656	0.0541122	0.511318	0.508401	0.565956	0.549305	0.000120183	0.515964	0.0806194	0.503805	0.525416	0.513352	0.540899
N0.HOG0000046	0.67535	3.90048e-13	1.07809e-07	0.00952208	1.72182e-06	2.53187e-12	0.5	0.5	0.5	0.00267097	0.505328	0.0135898	0.0363393	0.0268305	0.0090498	0.12093	0.0126086	N/A	0.557342	0.569477	2.09741e-06	0.597103	0.562445	0.547352	0.0989778	0.038275	0.5	0.50808	0.528033	0.503805	0.512959	0.506744	0.527851
N0.HOG0000048	0.727095	0.547972	0.0464199	0.0306106	1.28381e-11	0.524313	0.000945	0.5	0.5	0.5	0.5	0.5	0.546894	0.0052279	0.580662	0.178082	0.744327	N/A	0.582267	0.14912	0.0865123	0.518548	0.511318	0.00421777	0.565956	0.549305	0.000120183	0.515964	0.000489361	0.5	0.525416	6.13481e-07	0.540899
N0.HOG0000051	0.0269934	0.0713534	0.0464199	0.0306106	0.512386	0.0185398	0.5	0.5	0.5	0.5	0.5	0.5	0.0363393	0.0268305	0.0090498	0.0126086	3.16505e-09	N/A	0.557342	0.104267	0.53018	0.518548	0.511318	0.508401	0.53477	0.038275	0.5	0.50808	0.0418476	0.5	0.512959	0.506744	0.527851
