FamilyID	Ancistrocerus_nigricornis<1>	Mischocyttarus_mexicanus<2>	Polistes_dominula<3>	Polistes_fuscatus<4>	Polistes_exclamans<5>	Polistes_canadensis<6>	Vespula_germanica<7>	Vespula_pensylvanica<8>	Vespula_vulgaris<9>	Vespa_crabro<10>	Vespa_mandarinia<11>	Vespa_velutina<12>	Dolichovespula_media<13>	Dolichovespula_saxonica<14>	Dolichovespula_sylvestris<15>	Anoplius_nigerrimus<16>	Tiphia_femorata<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>
N0.HOG0000001	0.867478	0.391332	0.0228469	2.48735e-07	0.127263	0.797277	0.617734	0.5	0.5	0.5	0.5	0.560095	0.342971	0.685397	0.685397	0.148437	0.625	N/A	0.756021	0.213888	0.0237129	0.0390494	0.81572	0.0502724	0.517204	0.354352	0.135862	0.599384	0.374188	0.0394406	0.645926	0.58505	0.656683
N0.HOG0000002	0.707418	0.00191703	0.03164	2.18452e-08	0.315935	1.68258e-05	0.617734	0.5	0.5	0.5	0.5	0.5	0.64182	0.610176	0.610176	0.185547	0.90625	N/A	0.806433	0.830568	0.00115509	0.854507	0.0670651	0.472337	0.158494	0.647868	0.135862	0.553981	0.230505	0.5	0.582988	0.545594	0.706445
N0.HOG0000003	0.239427	0.239027	0.41853	0.0443098	0.659573	0.464193	0.0961073	0.376391	0.738335	0.813831	0.813831	0.861094	0.272981	0.876757	0.0173103	0.938477	0.0395966	N/A	0.0722938	0.33037	0.32601	0.100376	0.443356	0.599357	0.611175	0.90829	0.28671	0.818468	0.0436319	0.218354	0.619694	0.464044	0.510121
N0.HOG0000004	0.848076	0.713375	0.618401	0.104405	0.845735	0.211706	0.0719411	0.525039	0.305846	0.152366	0.0784672	0.865448	0.100773	0.0563482	0.0134376	0.0432214	0.499059	N/A	0.296856	0.201209	0.210387	0.395006	0.608164	0.166778	0.482813	0.432382	0.222684	0.867702	0.361012	0.772835	0.531394	0.856432	0.355266
N0.HOG0000009	0.707418	0.145737	0.503615	8.24222e-17	0.00125265	0.797277	0.69568	0.5	0.5	0.230472	0.000526621	0.0515163	0.813684	0.0460198	0.221235	0.285156	0.71875	N/A	0.806433	0.304886	0.329439	0.0263277	0.270723	0.0502724	0.852187	0.156109	0.0074496	0.10936	3.32516e-14	0.29986	0.410976	0.649061	0.706445
N0.HOG0000017	0.142091	0.0226138	0.00110398	1.11331e-05	0.00413879	0.00186498	0.23584	0.5	0.5	0.0543698	0.536477	0.560095	0.876697	0.861526	0.000910577	0.189081	0.307177	N/A	0.461366	0.128378	0.883141	0.349824	0.000522856	0.822771	0.348718	0.563706	8.01667e-05	0.697862	0.00303641	0.526413	0.0115822	0.176739	0.434125
N0.HOG0000018	0.125757	0.911	0.0228469	0.0990055	0.0904253	1.68258e-05	0.5	0.5	0.5	0.536477	2.56365e-05	0.560095	0.20683	0.16184	0.00675339	5.13569e-09	0.131733	N/A	0.12178	0.85738	0.0449508	0.111168	0.81572	0.7795	0.0308355	0.215339	0.5	0.553981	0.658705	0.526413	0.582988	0.545594	0.290297
N0.HOG0000022	0.742374	7.64676e-05	0.312191	0.00461385	1.60292e-13	8.64442e-08	0.00777818	2.19467e-09	0.00492058	0.598077	0.598077	0.684591	0.206996	0.00430057	6.68802e-06	0.741432	0.643997	N/A	0.495283	0.565919	0.125944	0.344834	0.55939	0.792564	0.736463	0.48579	0.59162	0.774495	0.00944085	0.142226	0.830589	0.750785	0.828316
N0.HOG0000032	0.0327197	2.56347e-05	0.358543	0.12714	9.20818e-08	2.27465e-07	0.38479	0.56558	0.56558	0.0193738	0.318328	0.00151121	0.0154024	0.851475	0.00684181	0.81543	0.586426	N/A	0.464217	0.00419161	1.23381e-07	0.276769	0.182407	0.905915	0.0630034	0.000130021	0.321812	0.248431	0.000151027	0.785452	0.587147	0.0415081	0.510121
N0.HOG0000038	0.62559	0.0364005	0.022622	0.879666	5.30146e-16	0.00974881	0.5	0.5	0.5	0.0642057	0.00276375	0.00158488	0.00586088	0.0632091	0.737853	0.25	0.625	N/A	0.756021	0.0979145	0.0449508	0.842345	0.0188247	0.0216842	0.852187	0.000824985	0.5	0.670207	1.27691e-08	3.4615e-10	0.359656	0.619281	0.656683
N0.HOG0000041	0.867478	0.0364005	0.00110398	0.232632	5.95429e-22	1.56665e-07	0.5	0.5	0.5	0.745857	1.2528e-13	0.0284459	0.726509	0.610176	0.610176	0.40625	0.875	N/A	0.756021	0.213888	0.00460137	0.349824	0.00381833	0.0782351	0.517204	0.0234074	0.5	0.599384	0.00164536	1.46356e-06	0.645926	0.127673	0.656683
N0.HOG0000047	0.62559	3.33818e-22	0.284022	0.000233913	1.38352e-23	1.33788e-06	0.5	0.5	0.5	0.000689757	0.0543698	0.0891804	0.64182	0.0577101	0.610176	0.0859375	0.625	N/A	0.756021	0.213888	0.000278592	0.0462545	0.76649	0.16559	0.158494	0.215339	0.5	0.553981	0.658705	0.526413	0.582988	0.545594	0.656683
N0.HOG0000049	0.0321105	0.797343	0.914138	0.499743	0.118552	0.00585572	0.0271902	0.00361397	0.0427519	0.800973	0.800973	0.225026	0.596077	0.00200298	9.20241e-08	0.010168	0.000158805	N/A	0.729001	0.163919	0.751777	0.884934	0.845257	0.513853	0.103794	0.0258568	0.907627	0.845767	0.774871	0.197625	0.667144	0.821164	0.85833
N0.HOG0000050	0.464959	0.511623	0.70542	0.0563272	0.000178229	0.0189719	0.799041	0.86663	0.162542	0.000709147	0.103315	0.00348811	0.276583	0.757042	0.0363122	0.195996	0.496502	N/A	0.279972	0.203329	0.0461354	0.637131	0.81572	0.7795	0.000801973	0.0967743	0.101086	0.46352	0.0045812	0.585745	0.433128	0.258308	0.586627
N0.HOG0000056	0.804737	0.239027	0.0795472	0.000101563	0.884297	0.325124	0.87577	0.354758	0.725776	0.00371953	0.19066	0.0315248	0.645596	0.373719	0.0336709	0.488281	0.765625	N/A	0.382571	0.0413745	0.0790988	0.0183195	0.468974	0.257724	0.736463	0.48579	0.852324	0.774495	0.238777	0.701469	0.545201	0.735278	0.432497
N0.HOG0000060	0.442634	0.403587	0.000686053	0.000150924	0.00766984	0.595555	0.467601	0.354758	0.725776	0.284649	0.142886	0.148777	0.0225484	0.0629075	0.896318	0.586426	0.586426	N/A	0.464217	0.0754966	0.160576	0.111279	0.653977	0.00117028	0.611175	0.423709	0.610322	0.303703	0.0816621	0.76589	0.869927	0.280961	0.510121
N0.HOG0000096	0.352188	0.0640766	0.00293701	7.31322e-28	3.23473e-05	0.836562	0.172656	0.53456	0.0515309	0.0183602	0.143232	0.100016	0.779263	0.685397	0.011445	0.142578	0.488281	N/A	0.837304	0.376159	0.0165151	0.409686	0.0407888	0.0182076	0.267129	0.0514934	0.592137	0.637716	0.000880443	0.662269	0.694153	0.180587	0.744168
N0.HOG0000101	0.06084	0.2886	0.834238	1.23585e-29	0.531162	1.73846e-09	0.360373	0.000508172	0.661603	0.000598164	0.503196	0.591242	0.0312566	0.485652	0.000586831	0.203125	0.619141	N/A	0.328118	0.00287406	5.91175e-05	0.0212828	0.0841978	2.81461e-05	0.457669	0.334813	0.515682	0.774495	0.00227611	0.0776564	0.545201	0.00286706	0.744168
N0.HOG0000105	0.753714	0.173402	0.353902	0.613868	0.000744315	0.149565	0.01231	0.738335	0.738335	1.60431e-05	0.0257421	6.36838e-06	0.156048	0.165005	0.823211	0.71875	0.90625	N/A	0.261486	0.0656751	0.465574	0.854507	0.802196	0.764446	0.230267	0.888097	0.112935	0.774495	0.000229222	0.425855	0.179958	0.340037	0.706445
N0.HOG0000108	0.352188	0.0135492	0.391303	0.792452	0.211883	0.640896	0.240142	0.134943	0.599498	0.793698	0.476324	0.000800916	0.732862	0.15304	0.237497	0.71875	0.71875	N/A	0.261486	0.0154907	0.682285	0.202054	0.380003	0.0112413	0.000943866	0.000202037	0.175866	0.839999	0.378133	0.0425549	0.307762	0.806138	0.706445
N0.HOG0000118	0.900193	1.73035e-12	0.761118	0.130381	0.5	0.5	0.5	0.5	0.5	0.569012	3.66341e-10	0.00272523	0.726509	0.737853	0.000151799	0.0595703	0.619141	N/A	0.54912	0.830568	0.262654	0.0487388	0.631229	0.00231199	0.517204	0.0234074	0.5	0.599384	0.746415	0.550752	0.645926	0.0465956	0.744168
N0.HOG0000122	0.766156	0.0606701	0.00993387	1.18358e-16	0.0100946	0.797277	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.375	0.375	N/A	0.667296	0.694611	0.00306604	6.73238e-05	0.319631	0.00162547	0.269496	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.590135
N0.HOG0000128	0.804737	3.01841e-16	0.0238689	0.0576591	1.58049e-13	3.98773e-05	0.182914	0.5	0.5	0.5	0.5	0.5	0.128967	0.165005	0.0364644	0.313751	0.81543	N/A	0.872024	0.886852	0.16716	0.00758112	0.713341	0.67497	0.310926	0.514746	0.00129189	0.670207	0.00117212	0.5	0.0603269	0.697771	0.795847
N0.HOG0000158	0.194885	0.109682	0.613455	0.690932	1.72695e-07	1.78955e-08	0.00189865	0.0159624	0.0805392	5.18554e-10	0.0901467	3.12934e-14	0.686456	0.851224	0.0330779	0	0.5	N/A	0.000838375	0.00447613	0.335453	0.701351	0.602774	0.818709	0.0970054	0.0639934	0.420745	0.846188	9.47517e-07	0.0310724	0.00132299	0.0431361	0.148143
N0.HOG0000307	0.414099	8.66038e-11	0.5	0.5	0.5	0.5	0.617734	0.5	0.5	0.536477	0.0543698	0.0891804	0.011521	0.16184	0.610176	0.0859375	0.40625	N/A	0.756021	0.784321	0.756827	0.0122525	0.5	0.5	0.422707	0.647868	0.135862	0.553981	0.658705	0.526413	0.582988	0.545594	0.656683
N0.HOG0000951	0.75	0.00326416	0.0134466	0.675701	8.22885e-28	2.34185e-05	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	N/A	0.683614	0.113658	0.000172209	0.865329	0.0806988	0.0723402	0.0517414	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.148143
N0.HOG0002570	0.390634	0.10484	0.193221	0.336396	9.9967e-17	4.8645e-05	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.375	0.75	N/A	0.667296	0.694611	0.00306604	0.779658	0.0486185	0.16559	0.269496	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.590135
