FamilyID	Ancistrocerus_nigricornis<1>	Mischocyttarus_mexicanus<2>	Polistes_dominula<3>	Polistes_fuscatus<4>	Polistes_exclamans<5>	Polistes_canadensis<6>	Vespula_germanica<7>	Vespula_pensylvanica<8>	Vespula_vulgaris<9>	Vespa_crabro<10>	Vespa_mandarinia<11>	Vespa_velutina<12>	Dolichovespula_media<13>	Dolichovespula_saxonica<14>	Dolichovespula_sylvestris<15>	Anoplius_nigerrimus<16>	Tiphia_femorata<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>
N0.HOG0000001	-1	-2	5	12	-2	0	0	0	0	0	0	0	-1	0	0	2	-2	0	0	1	3	3	0	-2	-1	-1	-1	0	-1	-1	0	0	0
N0.HOG0000002	-2	9	-4	14	1	-6	0	0	0	0	0	0	0	0	0	2	-1	0	0	0	5	0	2	-1	-2	0	-1	0	-1	0	0	0	0
N0.HOG0000003	4	-4	2	5	-1	1	3	-1	0	0	0	0	2	0	-4	-1	-6	0	3	2	2	3	1	-1	1	0	-2	0	5	1	-1	-1	-1
N0.HOG0000004	0	-2	1	3	0	-2	5	-1	1	-2	2	0	5	5	-6	16	4	0	-4	-5	-4	-2	-1	-2	2	2	-3	0	-3	0	1	0	2
N0.HOG0000009	-2	-3	1	25	-4	0	0	0	0	-2	6	4	0	-2	1	1	-2	0	0	1	1	3	1	-2	0	-2	-2	1	22	1	-1	0	0
N0.HOG0000017	6	-5	-6	11	5	-5	1	0	0	-1	0	0	0	0	6	6	4	0	-2	-4	0	1	5	0	-2	-1	-4	0	-4	0	3	1	1
N0.HOG0000018	-4	-1	5	3	2	-6	0	0	0	0	3	0	-1	-1	2	40	-6	0	-3	0	3	2	0	0	-3	-1	0	0	0	0	0	0	1
N0.HOG0000022	0	15	2	-5	17	-8	5	-7	3	0	0	0	2	5	-7	0	-3	0	1	1	3	-2	-1	0	-1	1	-1	0	-5	-1	0	0	0
N0.HOG0000032	-7	24	-4	5	17	-14	-1	0	0	-3	1	6	5	0	-4	-2	-3	0	1	7	18	3	3	0	-5	-7	-1	1	10	0	-1	-2	-1
N0.HOG0000038	-2	5	-4	0	21	-4	0	0	0	3	5	-5	-3	2	0	1	-2	0	0	2	3	0	3	3	0	-4	0	0	13	10	-1	0	0
N0.HOG0000041	-1	5	-6	2	28	-9	0	0	0	0	13	-2	0	0	0	0	-1	0	0	1	4	1	4	2	-1	-2	0	0	4	5	0	-1	0
N0.HOG0000047	-2	50	-2	-5	26	-6	0	0	0	2	-1	-1	0	1	0	3	-2	0	0	1	6	-3	0	1	-2	-1	0	0	0	0	0	0	0
N0.HOG0000049	-8	0	0	1	2	-4	6	-4	3	0	0	-2	1	7	-11	-10	23	0	-1	3	-1	0	0	-1	4	6	0	0	-1	1	-1	0	0
N0.HOG0000050	2	-2	-1	-3	6	-3	-1	0	2	-6	3	7	3	-1	-5	-6	-4	0	2	3	-5	-1	0	0	11	5	4	1	10	-1	-2	-2	-1
N0.HOG0000056	-2	-4	5	11	0	-2	0	-1	0	-3	1	3	-1	1	-3	-3	-2	0	1	4	4	5	1	-2	-1	1	0	0	2	0	-1	0	-1
N0.HOG0000060	-4	-3	11	10	-4	-1	1	-1	0	1	-2	2	-5	4	0	-3	-3	0	1	4	3	3	-1	-5	1	-2	-1	1	4	0	0	1	-1
N0.HOG0000096	-3	5	-6	42	-6	0	-1	0	-1	-2	1	2	0	0	-2	3	-3	0	0	1	4	1	3	-3	-2	-2	0	0	5	0	0	-1	0
N0.HOG0000101	-5	4	-1	55	1	-13	1	-3	0	5	-1	-1	4	-1	-4	-4	0	0	1	6	11	6	4	-9	-2	-2	-1	0	7	2	-1	-3	0
N0.HOG0000105	-2	3	-2	-1	5	-2	-4	0	0	-6	3	9	2	-2	0	-2	-1	0	1	3	1	0	0	0	2	0	2	0	9	-1	-2	-1	0
N0.HOG0000108	-3	6	1	0	-1	0	3	2	-1	0	-1	6	-1	-3	2	-2	-2	0	1	4	-1	-2	-1	-2	8	11	3	0	2	-2	-2	0	0
N0.HOG0000118	-1	25	0	1	0	0	0	0	0	0	7	-2	0	0	5	5	0	0	-1	0	1	-2	0	-2	-1	-2	0	0	0	0	0	1	0
N0.HOG0000122	-1	-3	6	26	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	1	-4	-1	0	0	0	0	0	0	0	0
N0.HOG0000128	-2	37	-3	-2	14	-4	1	0	0	0	0	0	2	-2	3	2	-2	0	0	0	2	-4	0	0	-2	-1	-3	0	-4	0	2	0	0
N0.HOG0000129	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	13	9	0	-4	-3	-1	0	0	0	0	-1	0	0	-1	0	3	2	2
N0.HOG0000158	3	5	1	-1	11	-9	9	-3	2	-12	3	23	-1	0	-3	1	0	0	4	6	2	-1	-1	0	4	5	-2	0	17	-3	-6	-2	-1
