"sampleName","sampleNumber","colonyNumber","lifeStage","larvalStage","replicate"
"pd2_2_E_L1_1","pd2","2","E","L1","1"
"pd3_2_E_L2_1","pd3","2","E","L2","1"
"pd5_2_E_L3_2","pd5","2","E","L3","2"
"pd6_2_E_L3_4","pd6","2","E","L3","4"
"pd7_2_E_L4_1","pd7","2","E","L4","1"
"pd11_2_E_L5_5","pd11","2","E","L5","5"
"pd12_2_E_P_6","pd12","2","E","P","6"
"pd13_2_E_P_4","pd13","2","E","P","4"
"pd8_2_E_L4_2","pd8","2","E","L4","2"
"pd9_2_E_L5_2","pd9","2","E","L5","2"
"pd14_1_E_L1_2","pd14","1","E","L1","2"
"pd15_1_E_L1_1","pd15","1","E","L1","1"
"pd16_1_E_L2_2","pd16","1","E","L2","2"
"pd17_1_E_L2_3","pd17","1","E","L2","3"
"pd19_1_E_L3_2","pd19","1","E","L3","2"
"pd20_1_E_L3_3","pd20","1","E","L3","3"
"pd21_1_E_L4_2","pd21","1","E","L4","2"
"pd22_1_E_L4_1","pd22","1","E","L4","1"
"pd23_1_E_L5_3","pd23","1","E","L5","3"
"pd24_1_E_L5_2","pd24","1","E","L5","2"
"pd25_1_E_P_1","pd25","1","E","P","1"
"pd26_1_E_P_2","pd26","1","E","P","2"
"pd27_3_E_L1_2","pd27","3","E","L1","2"
"pd28_3_E_L1_1","pd28","3","E","L1","1"
"pd29_3_E_L2_1","pd29","3","E","L2","1"
"pd30_3_E_L2_2","pd30","3","E","L2","2"
"pd31_3_E_L3_2","pd31","3","E","L3","2"
"pd32_3_E_L3_1","pd32","3","E","L3","1"
"pd33_3_E_L4_2","pd33","3","E","L4","2"
"pd34_3_E_L4_3","pd34","3","E","L4","3"
"pd35_3_E_L5_2","pd35","3","E","L5","2"
"pd36_3_E_L5_1","pd36","3","E","L5","1"
"pd37_3_E_P_1","pd37","3","E","P","1"
"pd38_3_E_P_3","pd38","3","E","P","3"
"pd40_5_L_L1_2","pd40","5","L","L1","2"
"pd43_5_L_L1_5","pd43","5","L","L1","5"
"pd45_5_L_L2_1","pd45","5","L","L2","1"
"pd46_5_L_L2_2","pd46","5","L","L2","2"
"pd49_5_L_L2_5","pd49","5","L","L2","5"
"pd51_5_L_L3_2","pd51","5","L","L3","2"
"pd52_5_L_L3_3","pd52","5","L","L3","3"
"pd55_5_L_L3_6","pd55","5","L","L3","6"
"pd56_5_L_L4_1","pd56","5","L","L4","1"
"pd57_5_L_L4_3","pd57","5","L","L4","3"
"pd58_5_L_L4_4","pd58","5","L","L4","4"
"pd63_5_L_L5_2","pd63","5","L","L5","2"
"pd66_5_L_L5_6","pd66","5","L","L5","6"
"pd69_5_L_P_3","pd69","5","L","P","3"
"pd72_5_L_P_10","pd72","5","L","P","10"
"pd75_8_L_L1_2","pd75","8","L","L1","2"
"pd77_8_L_L1_4","pd77","8","L","L1","4"
"pd80_8_L_L2_1","pd80","8","L","L2","1"
"pd84_8_L_L2_6","pd84","8","L","L2","6"
"pd86_8_L_L3_1","pd86","8","L","L3","1"
"pd87_8_L_L3_2","pd87","8","L","L3","2"
"pd103_8_L_L5_8","pd103","8","L","L5","8"
"pd105_8_L_P_2","pd105","8","L","P","2"
"pd93_8_L_L4_2","pd93","8","L","L4","2"
"pd95_8_L_L4_4","pd95","8","L","L4","4"
"pd98_8_L_L5_1","pd98","8","L","L5","1"
"pd106_8_L_P_3","pd106","8","L","P","3"
"pd110_6_L_L1_1","pd110","6","L","L1","1"
"pd112_6_L_L1_3","pd112","6","L","L1","3"
"pd115_6_L_L2_1","pd115","6","L","L2","1"
"pd119_6_L_L2_5","pd119","6","L","L2","5"
"pd120_6_L_L2_6","pd120","6","L","L2","6"
"pd122_6_L_L3_2","pd122","6","L","L3","2"
"pd123_6_L_L3_3","pd123","6","L","L3","3"
"pd128_6_L_L4_2","pd128","6","L","L4","2"
"pd130_6_L_L4_4","pd130","6","L","L4","4"
"pd134_6_L_L5_2","pd134","6","L","L5","2"
"pd137_6_L_L5_5","pd137","6","L","L5","5"
"pd142_6_L_P_5","pd142","6","L","P","5"
"pd143_6_L_P_8","pd143","6","L","P","8"
"pd149_2_E_L2_2","pd149","2","E","L2","2"
"pd150_2_E_L1_3","pd150","2","E","L1","3"
"pd152_3_E_L3_3","pd152","3","E","L3","3"
