"sampleName","sampleNumber","colonyNumber","lifeStage","larvalStage","replicate"
"Vv154_2_W_L1_2","Vv154","2","W","L1","2"
"Vv155_2_W_L1_3","Vv155","2","W","L1","3"
"Vv156_2_W_L2_1","Vv156","2","W","L2","1"
"Vv158_2_W_L2_3","Vv158","2","W","L2","3"
"Vv160_2_W_L3_2","Vv160","2","W","L3","2"
"Vv161_2_W_L3_3","Vv161","2","W","L3","3"
"Vv165_2_W_L5_1","Vv165","2","W","L5","1"
"Vv166_2_W_L5_2","Vv166","2","W","L5","2"
"Vv168_2_W_P_1","Vv168","2","W","P","1"
"Vv169_2_W_P_2","Vv169","2","W","P","2"
"Vv171_5_W_L1_1","Vv171","5","W","L1","1"
"Vv172_5_W_L1_2","Vv172","5","W","L1","2"
"Vv175_5_W_L2_2","Vv175","5","W","L2","2"
"Vv176_5_W_L2_3","Vv176","5","W","L2","3"
"Vv181_5_W_L4_2","Vv181","5","W","L4","2"
"Vv183_5_W_L5_1","Vv183","5","W","L5","1"
"Vv184_5_W_L5_2","Vv184","5","W","L5","2"
"Vv187_5_W_P_2","Vv187","5","W","P","2"
"Vv188_5_W_P_3","Vv188","5","W","P","3"
"Vv190_11_W_L1_2","Vv190","11","W","L1","2"
"Vv191_11_W_L1_3","Vv191","11","W","L1","3"
"Vv193_11_W_L2_2","Vv193","11","W","L2","2"
"Vv194_11_W_L2_3","Vv194","11","W","L2","3"
"Vv195_11_W_L3_1","Vv195","11","W","L3","1"
"Vv197_11_W_L3_3","Vv197","11","W","L3","3"
"Vv199_11_W_L4_2","Vv199","11","W","L4","2"
"Vv200_11_W_L4_3","Vv200","11","W","L4","3"
"Vv201_11_W_L5_1","Vv201","11","W","L5","1"
"Vv202_11_W_L5_2","Vv202","11","W","L5","2"
"Vv204_11_W_P_1","Vv204","11","W","P","1"
"Vv205_11_W_P_2","Vv205","11","W","P","2"
"Vv207_26_Q_L1_1","Vv207","26","Q","L1","1"
"Vv208_26_Q_L1_2","Vv208","26","Q","L1","2"
"Vv211_26_Q_L2_2","Vv211","26","Q","L2","2"
"vv210_26_Q_L2_1","vv210","26","Q","L2","1"
"Vv214_26_Q_L3_2","Vv214","26","Q","L3","2"
"Vv215_26_Q_L3_3","Vv215","26","Q","L3","3"
"Vv217_26_Q_L4_2","Vv217","26","Q","L4","2"
"Vv218_26_Q_L4_3","Vv218","26","Q","L4","3"
"Vv219_26_Q_L5_1","Vv219","26","Q","L5","1"
"Vv220_26_Q_L5_2","Vv220","26","Q","L5","2"
"Vv223_26_Q_P_2","Vv223","26","Q","P","2"
"Vv224_26_Q_P_3","Vv224","26","Q","P","3"
"Vv226_27_Q_L1_2","Vv226","27","Q","L1","2"
"Vv227_27_Q_L1_3","Vv227","27","Q","L1","3"
"Vv228_27_Q_L2_1","Vv228","27","Q","L2","1"
"Vv230_27_Q_L2_3","Vv230","27","Q","L2","3"
"Vv231_27_Q_L3_1","Vv231","27","Q","L3","1"
"Vv232_27_Q_L3_2","Vv232","27","Q","L3","2"
"Vv235_27_Q_L4_2","Vv235","27","Q","L4","2"
"Vv236_27_Q_L4_3","Vv236","27","Q","L4","3"
"Vv239_27_Q_L5_3","Vv239","27","Q","L5","3"
"Vv241_27_Q_P_2","Vv241","27","Q","P","2"
"Vv242_27_Q_P_3","Vv242","27","Q","P","3"
"Vv243_29_Q_L1_1","Vv243","29","Q","L1","1"
"Vv245_29_Q_L1_3","Vv245","29","Q","L1","3"
"Vv246_29_Q_L2_1","Vv246","29","Q","L2","1"
"Vv248_29_Q_L2_3","Vv248","29","Q","L2","3"
"Vv250_29_Q_L3_2","Vv250","29","Q","L3","2"
"Vv251_29_Q_L3_3","Vv251","29","Q","L3","3"
"Vv252_29_Q_L4_1","Vv252","29","Q","L4","1"
"Vv254_29_Q_L4_3","Vv254","29","Q","L4","3"
"Vv255_29_Q_L5_1","Vv255","29","Q","L5","1"
"Vv257_29_Q_L5_3","Vv257","29","Q","L5","3"
"Vv258_29_Q_P_1","Vv258","29","Q","P","1"
"Vv259_29_Q_P_2","Vv259","29","Q","P","2"
