gene_id	gene_name	Pd103	Pd105	Pd106	Pd11	Pd110	Pd112	Pd115	Pd119	Pd12	Pd120	Pd122	Pd123	Pd128	Pd13	Pd130	Pd134	Pd137	Pd14	Pd142	Pd143	Pd149	Pd15	Pd150	Pd152	Pd16	Pd17	Pd19	Pd2	Pd20	Pd21	Pd22	Pd23	Pd24	Pd25	Pd26	Pd27	Pd28	Pd29	Pd3	Pd30	Pd31	Pd32	Pd33	Pd34	Pd35	Pd36	Pd37	Pd38	Pd40	Pd43	Pd45	Pd46	Pd49	Pd5	Pd51	Pd52	Pd55	Pd56	Pd57	Pd58	Pd6	Pd63	Pd66	Pd69	Pd7	Pd72	Pd75	Pd77	Pd8	Pd80	Pd84	Pd86	Pd87	Pd9	Pd93	Pd95	Pd98
LOC107063613	LOC107063613	12.628104	0.857152	1.058515	0.440134	7.755662	4.87799	5.289242	5.551017	1.53067	6.118415	4.102479	2.762442	5.055285	1.068193	5.032007	10.907579	10.713242	3.518333	1.412768	1.634502	10.145888	5.687139	1.726441	4.345014	3.12711	3.219577	7.556733	1.914497	5.748439	15.639263	10.639855	16.58443	13.987055	1.262732	1.47356	2.297308	1.886108	2.87436	2.41132	3.460738	7.112374	6.973919	5.472504	12.950311	19.13923	18.251965	0.897446	1.169072	6.443922	5.458834	4.80283	6.032341	5.952568	9.474518	5.412348	3.680846	12.844839	6.79147	7.472489	7.416006	10.988747	7.950639	5.223762	1.566495	11.886167	1.060032	2.735323	2.896311	7.155706	3.961866	2.679345	2.665464	4.76368	3.192531	9.996224	9.138159	31.193543
LOC107063614	LOC107063614	12.583524	9.257387	9.741197	8.010134	18.498363	13.443258	16.487226	12.420594	10.410822	14.589126	16.201071	15.706398	10.933126	5.679352	12.68479	10.103126	6.924784	15.32398	7.053493	14.764987	15.796352	8.899091	10.176676	2.316961	13.971346	12.289091	11.6515	0.900498	11.021546	4.886566	13.568489	10.284909	14.664664	5.356114	14.50395	0.896206	0.328423	1.670461	5.224367	1.338007	11.318498	7.373913	6.550081	4.796275	13.008197	8.942745	4.242318	8.324615	9.352869	16.270806	6.715632	6.436048	3.890712	11.420496	7.737943	4.931873	4.445807	7.285494	4.072348	11.240887	11.637058	8.882784	4.2987	13.959969	8.618253	10.662108	1.643794	0.226298	8.121134	4.729188	0.279481	4.535315	14.526061	8.269558	10.645047	7.131856	11.107737
LOC107063615	LOC107063615	46.539551	65.296379	72.956819	70.602052	24.346726	167.604063	134.484355	62.473793	68.46375	90.772525	122.513236	240.033228	104.882529	65.935289	131.338827	46.028067	78.55495	65.253706	133.026491	80.098084	149.327335	30.556531	37.468458	17.595226	47.404277	77.134325	53.337006	8.404583	37.312326	20.09619	82.571255	60.445721	50.852881	185.172388	90.566176	5.223428	4.348077	7.445642	27.962652	2.603104	91.610801	27.414003	45.937816	20.574316	88.050409	56.876411	63.409533	83.855155	48.028423	118.044002	42.655332	53.954862	43.579783	63.574773	62.343232	40.460967	24.838582	60.791813	44.048737	83.708696	106.263375	68.600095	32.093912	94.214251	96.809117	73.554202	5.237794	1.131935	99.768749	29.5985	3.387699	71.388855	63.416846	51.426592	85.065195	41.163943	75.723647
LOC107063616	LOC107063616	1.960019	3.245509	6.384372	82.944956	3.044427	5.4203	5.584472	4.297716	2.555814	3.243758	4.309456	419.803873	34.938476	90.013887	21.512838	12.043527	22.618675	13.051427	93.969919	0.970204	194.512928	8.341623	13.278232	2.10526	356.876685	1714.992337	2890.337291	1696.753136	460.546321	0.896821	3.79468	0.832024	2.806158	1.630225	6.330075	139.518622	3.762431	1.925822	6.313473	0.453013	3.562074	0.916781	127.619735	2.232369	1.543463	2.192126	280.241735	264.92284	29.994081	2.464046	11.046168	109.205401	441.674098	0.841208	2732.231245	14.184239	2485.502127	18.609128	14.594021	15.071719	4.462257	38.451232	3.418443	0.994004	2.339994	3.677195	13.169708	1014.0239	2.168919	5.830214	4.433645	296.314288	1.833869	34.021368	3.740508	3.850741	1.774029
LOC107063618	LOC107063618	0.037983	0	0.131889	0.088763	0.233975	0.134719	0	0.060951	0.137248	0.092913	0	0.038397	0.051437	0.196279	0.057014	0.035652	0	0.598114	0	0.17723	0.09915	0.115405	0.166651	0.084021	0.092396	0.030992	0.062871	0	0.147107	0.036309	0.032776	0.075066	0.11056	0.031001	0.179052	0	0.02869	0.235005	0.053082	0.092482	0.132819	0.074575	0.083247	0.057553	0.087538	0	0.059802	0.031619	0.323137	0.135791	0	0.142558	0.027496	0.084079	0.060313	0	0	0.047038	0	0.044105	0.036041	0	0	0.036206	0.101276	0.066281	0.114943	0.019799	0	0.132989	0	0	0.205338	0.063517	0.078469	0	0
LOC107063619	LOC107063619	50.130333	44.689531	27.303779	25.152289	58.421164	75.118388	86.132312	52.420362	36.204094	53.639398	70.370009	143.64402	48.946689	14.561376	67.712422	81.825324	55.396032	25.76736	22.770715	48.027005	73.258344	29.315623	11.417099	9.990267	38.809092	40.85073	31.850286	0	37.598528	13.957653	46.156493	45.816591	42.2608	19.975662	48.938733	4.282599	3.959355	6.025929	21.67928	1e-06	34.548468	11.594072	17.312616	11.927974	43.580885	28.751271	10.674064	25.807246	10.398938	100.053927	35.24409	40.832841	16.770002	34.707916	41.855798	31.782918	21.225394	41.587717	28.877073	54.178954	67.874694	42.641603	36.313382	41.684382	41.423458	56.256433	7.793942	4.006414	37.010814	26.194379	3.016014	14.175249	38.599887	28.151781	37.926141	0	57.532612
LOC107063620	LOC107063620	0.108064	0	0	0	0.23704	0.032032	0.03082	0	0	0.027434	0	0	0	0	0	0.126506	0	0.029427	0.0353	0	0.029315	0	0.073996	0.099458	0	0.027466	0	0.02528	0	0	0.029061	0	0	0	0	0.063284	0.101866	0.023155	0.023916	0.082035	0	0.132261	0.024581	0.076451	0.077482	0.031339	0.02649	0.027993	0	0	0	0.025252	0.024363	0.02482	0.026702	0	0	0	0	0	0	0.05617	0.034667	0	0.029264	0	0.020406	0.071597	0	0.047166	0.064135	0.05501	0.334107	0	0	0.035476	0
LOC107063621	LOC107063621	57.846138	98.544408	76.350385	48.948087	12.777895	24.132175	25.274612	32.757247	54.21531	26.930226	35.275861	14.492196	80.948344	13.303774	70.606681	79.596361	118.852377	32.333927	13.826155	99.144239	17.898988	120.624249	17.579225	25.384061	19.86473	14.163797	19.21141	3.678902	21.752787	109.463964	159.949927	168.73933	200.759549	9.927321	31.99603	12.802844	19.003074	29.336464	19.023829	26.342221	22.913892	32.645906	15.94708	89.911451	130.821674	69.848695	10.303965	17.138505	22.173981	22.887509	29.988167	44.738252	7.037394	33.523967	154.457458	56.082741	60.226702	166.800856	82.117922	62.748761	31.406417	82.383051	48.021186	76.753372	40.976428	210.34058	13.810715	6.919712	40.790908	25.517716	14.75067	10.955815	35.019404	69.739852	169.840645	81.221969	126.145924
LOC107063622	LOC107063622	6.761851	9.546299	9.897393	2.073309	3.887526	7.25459	8.759427	12.691984	8.110389	6.579764	11.084329	2.739037	4.506301	1.871919	3.796124	6.864639	5.186162	8.101613	5.459893	14.857009	2.910835	36.466365	6.380683	7.279194	4.493293	5.774685	5.129868	2.731062	4.832247	10.430527	14.971504	13.013218	33.146514	1.152926	4.660338	6.941049	5.892575	8.833387	6.289815	6.20418	6.833355	11.613968	5.675436	11.14666	6.603555	7.131113	2.924418	3.511067	10.883429	8.350407	14.743151	10.467278	2.521631	10.763524	26.343399	12.424838	13.379146	14.418001	3.620851	5.836527	2.184258	4.790546	4.62655	13.752908	2.673809	23.461376	6.152499	1.267336	6.056551	6.640151	3.061766	1.99724	4.064109	5.723696	7.096308	5.36406	7.000606
LOC107063623	LOC107063623	8.295091	20.286994	19.167876	3.450083	22.48031	21.556328	46.694359	45.474101	9.339617	18.588824	44.078321	2.436564	8.838003	1.595108	8.564787	9.525975	6.592715	24.42822	12.997695	32.348966	2.18943	23.099307	14.02687	26.50432	2.696829	2.431057	1.516039	1.008431	1.924633	10.77874	19.332262	8.710244	21.815737	8.229706	12.622418	3.964548	12.596274	19.269862	9.80022	34.751006	15.276863	29.407511	4.575808	13.677385	13.807588	14.416837	14.026997	16.993048	3.969382	4.555499	3.334965	2.331518	1.345436	28.925373	1.917842	5.88842	2.15032	2.94073	3.031814	14.675475	5.134233	8.734432	3.02931	17.313745	4.496372	23.452106	9.314018	0.701837	14.315835	12.712056	3.073256	0.428694	7.499297	6.68179	4.292139	7.530707	7.120471
