task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	c2/49764c	832247	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (GCF_001465965.1_Pdom_r1.2_genomic.fna)	COMPLETED	0	2025-08-27 15:28:35.026	2.8s	2s	56.2%	5 MB	12 MB	201.2 MB	87.2 KB
2	f8/b195b5	832225	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_FILTER (GCF_001465965.1_Pdom_r1.2_genomic.fna)	COMPLETED	0	2025-08-27 15:28:35.017	5.4s	5s	51.9%	14.4 MB	20 MB	354.8 MB	150.9 MB
157	eb/afe054	834171	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (GCF_001465965.1_Pdom_r1.2_genomic.filtered.gtf)	COMPLETED	0	2025-08-27 15:28:41.410	5.5s	4s	100.6%	457.2 MB	478.7 MB	151.1 MB	3.3 MB
56	49/ff52a7	832011	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Pd32)	COMPLETED	0	2025-08-27 15:28:34.821	4m 11s	4m 10s	177.8%	1.4 GB	6 GB	4.8 GB	3.5 MB
32	41/bbba27	854399	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Pd19)	COMPLETED	0	2025-08-27 15:32:45.348	4m 5s	4m 5s	177.2%	1.4 GB	6 GB	4.8 GB	3.4 MB
63	1e/daa3e5	867079	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Pd36)	COMPLETED	0	2025-08-27 15:36:50.594	3m 27s	3m 26s	194.2%	1.4 GB	6 GB	4.9 GB	3.4 MB
14	78/5fea24	832016	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Pd8)	COMPLETED	0	2025-08-27 15:28:34.830	13m 12s	13m 11s	730.2%	4.9 GB	6.3 GB	107.7 GB	102.9 GB
50	7d/23a9c3	873417	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Pd28)	COMPLETED	0	2025-08-27 15:40:18.003	3m 45s	3m 45s	185.7%	1.5 GB	6 GB	4.8 GB	3.5 MB
160	35/fa73a6	875751	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Pd8)	COMPLETED	0	2025-08-27 15:41:48.217	2m 17s	2m 16s	100.2%	10 MB	15.6 MB	5.9 GB	116.4 MB
13	7d/b2e106	889802	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Pd8)	COMPLETED	0	2025-08-27 15:44:03.338	4m 4s	4m 4s	180.1%	1.4 GB	6.1 GB	4.7 GB	3.4 MB
9	3c/0159c8	906747	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Pd6)	COMPLETED	0	2025-08-27 15:48:07.638	3m 39s	3m 38s	185.4%	1.3 GB	6.1 GB	4.7 GB	3.4 MB
7	ae/03311f	916112	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Pd5)	COMPLETED	0	2025-08-27 15:51:46.882	3m 20s	3m 19s	193.0%	1.3 GB	6 GB	4.9 GB	3.4 MB
37	ee/c5083c	875480	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (Pd23)	COMPLETED	0	2025-08-27 15:41:47.201	13m 32s	13m 32s	737.8%	4.9 GB	6.2 GB	108.5 GB	103.5 GB
161	24/ac1bf3	921368	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (Pd23)	COMPLETED	0	2025-08-27 15:55:20.326	2m 24s	2m 23s	100.2%	10 MB	15.6 MB	6.3 GB	121.3 MB
71	b6/9fb6fe	920201	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Pd45)	COMPLETED	0	2025-08-27 15:55:07.152	4m 11s	4m 11s	176.2%	1.3 GB	6 GB	4.9 GB	3.4 MB
34	3d/10cd5c	943364	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (Pd20)	COMPLETED	0	2025-08-27 15:59:18.569	4m 5s	4m 4s	176.6%	1.3 GB	6.1 GB	4.8 GB	3.4 MB
