"sample"	"PC1: 29% variance"	"PC2: 18% variance"
"Pd40"	11.9643219826963	-22.8489974908574
"Pd20"	7.1573007672493	-27.3849688390531
"Pd49"	12.8521131255569	-42.2587132220803
"Pd123"	6.95478969858442	42.0821289893059
"Pd14"	15.1604358050187	-22.3073459492721
"Pd16"	4.53413652313877	-25.7077970779981
"Pd19"	15.2672437319239	-24.2531315244953
"Pd43"	3.13983599523959	-2.57205502445629
"Pd31"	15.4044201544224	0.616176529322721
"Pd149"	-1.88222523404671	-7.10600600030612
"Pd35"	16.19125421752	69.2453430542433
"Pd98"	-4.16249852086445	67.8494636994368
"Pd130"	18.5871487223765	85.1069609307816
"Pd150"	-4.75553357949113	-36.9188528324849
"Pd51"	20.9503509376078	-8.36979981745502
"Pd137"	-6.86213810731497	87.9124644455082
"Pd115"	25.3717242667888	21.4103244184092
"Pd17"	-12.9512024495743	-38.8549636605908
"Pd128"	26.4507391964	76.8130538355349
"Pd23"	-14.1313032882873	39.2730582014657
"Pd120"	26.4646206142468	4.32348468016774
"Pd66"	-32.1394519105857	59.3979477916591
"Pd63"	27.6807075149521	78.4654479238844
"Pd103"	-39.0477166136191	54.0709487402845
"Pd112"	27.7250414039692	13.3226054954248
"Pd134"	-62.9460770136595	37.4209444725571
"Pd55"	27.932139731722	-28.0292486027048
"Pd11"	-69.3767364351478	2.97222700767036
"Pd8"	28.0610047196759	27.8769088632456
"Pd9"	-75.5853879258413	2.7928036969309
"Pd87"	28.084005287927	30.2429093462136
"Pd105"	-101.510302491034	11.2847643812267
"Pd24"	28.0851480100475	31.8807987174412
"Pd25"	-104.479357897505	-28.8926600606544
"Pd93"	28.1055835958083	65.9333520893268
"Pd72"	-106.826542208698	11.7307525563146
"Pd46"	28.8956182191858	-13.5915124746732
"Pd13"	-111.58429575771	-38.5319175425773
"Pd33"	29.1476091426419	-17.6499908311519
"Pd37"	-111.741036153702	-39.8361124978717
"Pd3"	29.7643674069068	-32.8562833267593
"Pd142"	-111.774857853147	-23.0710796131147
"Pd15"	29.9818635054103	-23.7831173564739
"Pd106"	-113.050942769101	6.03013595237221
"Pd110"	29.9937848702055	-13.277932925294
"Pd38"	-113.734904917827	-25.6287252697843
"Pd86"	30.4558792913495	-19.9044814809561
"Pd143"	-115.315101543725	-2.38646853116197
"Pd95"	31.6541240523443	50.5406182828791
"Pd12"	-119.67222367483	-9.61801700805129
"Pd2"	32.2916926496438	-105.092400053821
"Pd69"	-129.122199049039	-16.8122572496887
"Pd122"	32.6587634850497	25.9446957475682
"Pd26"	-133.243187941584	-16.680381061886
"Pd22"	33.4819327659438	9.06793387759031
"Pd75"	33.6817545996073	-75.7812449134221
"Pd119"	34.1771438266972	-3.59288341238666
"Pd7"	34.189689799696	28.8798838817345
"Pd6"	34.8210642859508	34.6724752820276
"Pd80"	35.5596449227308	-25.4999827216722
"Pd58"	37.5517620865896	61.9991838495705
"Pd56"	38.515200059827	64.40218022508
"Pd27"	39.8460311824904	-83.7054305989669
"Pd52"	39.951564965444	4.38451101982193
"Pd45"	40.6952676986061	-14.7673263652504
"Pd32"	41.2128981751832	-1.0841040199033
"Pd152"	42.6540106404112	-30.531443072992
"Pd36"	42.7662919533379	33.8157857489814
"Pd5"	42.9937960855663	7.5498622589986
"Pd21"	45.1550322293508	25.0249553004746
"Pd57"	45.8131029419489	58.9296916026471
"Pd30"	47.810767643345	-68.0183548560225
"Pd34"	50.8188569095221	4.30301374109127
"Pd29"	53.6477890950466	-55.1817111245082
"Pd28"	56.5275470541846	-92.5179224695108
"Pd77"	58.2285686193229	-110.046743229054
"Pd84"	68.8277371699225	-62.6174325278308
