sample	Pd103	Pd105	Pd106	Pd11	Pd110	Pd112	Pd115	Pd119	Pd12	Pd120	Pd122	Pd123	Pd128	Pd13	Pd130	Pd134	Pd137	Pd14	Pd142	Pd143	Pd149	Pd15	Pd150	Pd152	Pd16	Pd17	Pd19	Pd2	Pd20	Pd21	Pd22	Pd23	Pd24	Pd25	Pd26	Pd27	Pd28	Pd29	Pd3	Pd30	Pd31	Pd32	Pd33	Pd34	Pd35	Pd36	Pd37	Pd38	Pd40	Pd43	Pd45	Pd46	Pd49	Pd5	Pd51	Pd52	Pd55	Pd56	Pd57	Pd58	Pd6	Pd63	Pd66	Pd69	Pd7	Pd72	Pd75	Pd77	Pd8	Pd80	Pd84	Pd86	Pd87	Pd9	Pd93	Pd95	Pd98
Pd103	0	118.430931605273	129.908442759569	134.394951989682	152.803988824913	139.574694227779	135.409576921827	135.792953219636	144.811164165446	131.473225574432	137.624225631375	174.405089814549	133.751370443373	188.808201765565	136.763954267986	73.8453345631535	110.068794543105	138.53752609018	167.729197589199	141.464224060359	144.712154114329	143.78607127652	159.212588813206	151.120611205649	152.196990360514	163.391390878244	160.159190577399	201.840183199014	153.396704902295	135.222814778143	142.390472735173	120.68001286461	134.919291546576	180.266579384143	180.19092291727	187.786191830702	202.875664115677	168.565648414047	148.982716440494	181.683293275855	129.458229517912	147.075776007634	150.832829019967	146.652877710807	109.310696269735	134.316023259797	176.904172055275	171.62932093433	148.337026273218	137.684566065843	155.505323637368	154.284718586929	165.718780675222	142.508492236291	167.192368584166	151.402886408733	177.662797884018	146.144471615048	145.03068761369	135.533097054929	138.08546922089	137.848723776957	75.2671546131559	164.676991282513	134.430291085709	132.568609550393	172.554531185544	216.47537903043	128.659350188241	142.909265596364	190.562817055514	158.466962334555	132.328969296873	106.698778051314	116.906136716942	119.705839499223	80.3734895427018
Pd105	118.430931605273	0	52.4142152955977	109.541600900134	176.652298661542	166.021176506843	164.941072743887	162.310430202858	84.5497976942394	157.194415023036	168.052399622788	195.867799219362	180.23873438142	163.274196841687	180.682983470869	97.5845843440317	165.203790015185	152.627241435351	136.849680043088	89.7195205004603	160.336795685115	162.720094547435	159.770493297211	175.952620101026	167.000423214712	168.662746461614	179.024083399904	206.689805627867	170.079092295417	178.873810928684	172.527286560491	154.38231230361	172.995121001002	157.613601010036	147.695234791272	199.581109241251	214.065106789802	190.58925126255	164.717668544979	199.829017106455	153.984461307175	179.16454637141	173.529397724952	181.224250524783	163.784807327541	174.078881668937	145.444154474667	142.422327839051	164.624487863523	153.717028430203	178.581150426519	175.417741404909	176.678501347938	172.086889974025	189.985647354633	177.476939951238	199.110944733816	188.540938310907	189.551629820356	178.618368859346	170.860776725972	183.935374270664	136.780810231905	121.746438272351	166.319270381116	66.1675840527117	179.347224537908	226.348612366763	162.524486333244	162.464872749014	211.086436855174	179.594150924788	169.347449382418	84.8961639763378	172.121084854367	171.75777577148	145.980092557655
Pd106	129.908442759569	52.4142152955977	0	123.940189055042	178.394840975244	168.613685624286	167.024233270047	166.690846203479	58.108642349819	158.547426846855	172.750317609636	196.589780280745	184.47924499189	155.439468651409	184.485010255698	108.786668023208	170.786110259254	157.04418460447	126.469220229353	66.4520711936532	157.163460234276	168.134269448411	162.790752683965	178.756493707584	164.613352592999	166.172707634961	179.26479647895	209.330560232933	168.441800198276	186.076855597792	176.709301743527	160.763227661226	177.096042183256	150.221562155557	134.151810156943	203.94081707246	219.19878528947	195.400201146466	170.975336738386	204.280994430202	154.888917702476	183.312393650499	177.943032087632	187.340733302692	170.023059281411	179.828452955945	135.065087867083	129.271101519451	162.304905602479	150.656981183323	183.756730319223	179.443305788055	178.901142319502	177.422935690943	190.27883426333	184.086996936841	199.071701718046	193.464661590283	195.073167691062	183.374147993484	174.894191297827	188.34479351549	146.110697801845	104.281684596874	171.951805387662	63.8117215671968	184.670345366366	231.213725261855	168.965634175648	168.107977513869	214.944702854058	183.75670704275	172.624972762625	92.7765891037026	178.032581120025	179.13552805452	153.977888172374
Pd11	134.394951989682	109.541600900134	123.940189055042	0	171.43538881776	153.375820962572	155.234603643194	152.636345266907	132.093335968959	155.589273809013	151.102753786386	164.581121531603	166.437131810864	158.459156391881	168.402899231837	127.59273861965	158.371410953791	140.621066469272	133.248252535105	131.316160175684	153.88516520279	148.585857108541	151.79171772478	170.971505574737	157.178815280435	149.87413625631	152.867047078801	183.611175329811	159.691619326507	164.935996970693	159.749374711577	149.873544877647	156.825007129706	150.085002215412	153.442759678757	170.769584468654	198.084054282558	180.590750434445	142.643077844751	191.112259900036	155.714225275864	166.647178134932	143.849552976074	166.047859056203	152.853401567574	159.63066391433	139.925150755311	141.361570264342	162.903816893233	157.33585224546	150.630851520352	145.737695207223	147.885554101928	156.097956516737	161.94638058831	147.99686290152	173.172760269149	173.237012223583	171.722779012449	163.55257613502	155.092767264652	171.325144260494	142.423583676344	140.096382582411	150.055026630316	122.30078619768	173.649319757269	209.833535032944	147.651153677619	149.049928905277	205.247094881411	149.198687542053	164.635885944503	117.179782682625	158.264045397819	157.160884187414	141.634613367439
Pd110	152.803988824913	176.652298661542	178.394840975244	171.43538881776	0	85.8481810251701	87.7479482131737	87.4184725495686	181.904042504588	102.787303276583	98.3563161698093	157.067705032915	142.043563490061	198.086757926006	149.791419359897	162.453505322779	163.759519899615	94.6040983258977	187.746141704689	182.7660417302	125.855526897	99.0500714329901	124.796669441898	95.62811803028	121.899186576	146.792596919183	132.07044759568	163.507564621698	123.817583658693	131.515403221403	117.244810418091	150.211863664442	122.314936036043	195.07996367044	205.047011711462	142.05596798851	158.120006563976	105.973007047638	100.157016340205	130.804482124372	99.4588846902075	93.5539296876539	118.311266438011	128.105750548216	138.964672847945	125.095649378621	193.195856189349	189.093606323603	104.971040649377	108.445834664292	113.978168709041	124.27060408614	134.507789873713	108.847939909705	150.493569878476	128.236437041995	154.190396218523	149.863967132111	151.744347187458	137.798666442794	124.393200852134	155.863474310863	169.122564534247	195.294639903049	125.296781511765	181.385477702379	126.421349126556	176.174721283203	127.341365697134	104.364161893093	144.961244701661	122.885672631411	96.8554625711887	170.018873897924	131.726265025486	131.723892431863	139.530259628931
Pd112	139.574694227779	166.021176506843	168.613685624286	153.375820962572	85.8481810251701	0	49.0017812785875	68.0134286804768	173.905966919077	72.6890765335673	65.9355136144743	108.447875224646	108.487550743132	190.707681072676	113.751798038885	153.231759563809	131.594148187209	78.145717102662	173.840777603898	171.826218790075	99.3895595789173	84.8546969436666	113.607630887712	101.005459978759	106.134192799731	123.94874028488	110.295109763609	163.309378984824	113.347263132055	118.160132334998	100.1692716457	132.785240267555	97.2024679513637	182.8946158704	192.994312617011	140.631379380429	162.652429347003	117.475907841886	89.0620406653915	141.490220998567	80.4143991826784	91.6772859008869	92.9449873347577	109.939096881208	109.653398811548	98.5889712129768	181.960539945866	175.722786588114	94.3189799299181	82.5366126698662	84.1613552255332	88.0170320654456	107.082414147699	88.4333449398954	118.568222878667	91.9284421451697	129.014558291325	114.765379659711	115.243467793634	99.8452172790438	88.1093727881596	122.142524227347	146.731031761597	183.179403838145	89.009560423262	168.546819480842	134.04935665339	184.775587760594	99.5133736788872	88.593231255494	152.667659404664	97.685483228968	92.8645944947103	163.585181609529	105.593817599819	114.804827334863	115.758466341717
Pd115	135.409576921827	164.941072743887	167.024233270047	155.234603643194	87.7479482131737	49.0017812785875	0	71.3032048520608	173.239484567768	78.3120650256751	67.4070114303456	116.569975010853	103.983464493903	190.734501293905	109.442296127921	148.723429208565	128.883441475625	86.6533694928178	175.150937662672	171.095081512672	100.882745070754	92.0837590742174	117.387621629513	101.531424836472	107.738935566015	126.12684144572	114.697619452985	169.040795382365	113.373526477703	115.287187667213	96.9208980338683	127.802157252766	96.3035012165559	183.32265974172	192.228135141065	148.13253705589	170.149354911289	119.740566797976	95.7270201383629	142.814478809343	79.3393814766511	88.8455374023507	98.7841305868689	109.977597271822	106.017387079098	95.9964852408827	183.35627114844	177.059506741313	99.4937789677472	88.3784379905479	96.8839773735439	100.309584098815	117.543498399301	87.5315393640324	123.931117319162	100.505172471092	135.829744315224	112.874704424528	116.645107053777	98.9261486478147	88.055166024958	119.50766219819	145.002295393476	183.446641917407	88.7271924392066	168.704334234886	138.828450752785	190.216494682499	94.8075916520856	95.7393406882057	157.126885747008	105.295541533596	82.0271019014221	160.715415970049	100.90178270627	111.297045004866	112.213206577656
Pd119	135.792953219636	162.310430202858	166.690846203479	152.636345266907	87.4184725495686	68.0134286804768	71.3032048520608	0	173.214035003865	55.4068010358134	70.7748847353864	139.340019676948	119.025668750043	195.038977346965	129.556833026145	145.067532725858	143.482922690706	73.8818793492866	177.598084441502	168.93579756023	96.6998197442356	67.9424962826002	118.759458481979	84.1739255178231	97.9017617914054	119.49647618234	104.768840460147	145.637702355106	102.557767245772	101.409487562525	99.4182057480006	132.349446475759	101.067690531242	185.686807867808	198.015544772742	127.393469376	146.264110684513	99.6902978299648	74.8054507054206	126.905648025123	78.9428788625042	94.4391881462428	87.0693507399768	94.9157460116068	113.276874036648	89.0925312365944	183.744093309084	180.750797597163	92.0426221010769	84.6588062681661	81.1207052918141	90.9512149836924	110.240889163536	74.3096263794	117.286306098575	87.4797834068326	126.493087487353	120.487734812037	119.126100366086	105.187170925545	87.7894096566693	129.98647942746	147.075931949516	186.282717601601	84.8952638913339	168.939881282688	112.220660648721	160.352312555016	91.1003160831328	61.5403429999178	133.210028858435	99.3742487144975	96.4877406555047	151.444660367637	109.312366435057	106.497288822965	117.843075857523
Pd12	144.811164165446	84.5497976942394	58.108642349819	132.093335968959	181.904042504588	173.905966919077	173.239484567768	173.214035003865	0	164.388516507626	180.246628651304	201.66544003964	192.70798759958	146.744458506145	192.717251788285	125.143638866329	180.747674821396	159.305833218732	121.421552125999	49.0385766052149	153.069173912521	171.281676857994	161.779995112689	180.967977516729	158.335585337521	158.989892629165	177.391406931028	205.133481174569	163.510297566567	191.470364213704	179.574994094379	166.334394848486	180.149918490503	143.770393254067	119.8136431371	202.255636525789	218.633554345075	196.111518787904	173.482592429276	202.843438493561	157.541741455545	185.257835451307	180.512403445413	190.73114143124	179.148798719378	186.808670418241	126.73423706972	119.191036219752	158.985230367674	150.944960923942	187.676983711041	182.095460490087	177.514445086739	182.421584796752	189.134704606753	189.487524611128	194.875981627722	201.091069220271	202.432745195758	191.463156748761	182.111751368871	196.331245361935	156.840345252668	84.5316042204787	178.50231463172	80.1063461663128	186.231052565656	232.134980449981	174.819482333931	175.229214293701	218.106512623285	186.788598434303	179.009528423269	102.981881644542	188.246437247574	189.19770834408	166.7440121949
Pd120	131.473225574432	157.194415023036	158.547426846855	155.589273809013	102.787303276583	72.6890765335673	78.3120650256751	55.4068010358134	164.388516507626	0	79.0507831011916	140.458289875745	116.168187558761	195.669940935504	125.294313479872	139.060400061152	137.434890099692	85.8305579128766	175.82005338877	159.911780416539	83.4516176488786	84.826852181538	122.745159754909	90.2805843358168	92.7520701473301	116.645292196202	104.170245672897	151.060404680028	97.8688257269256	106.194064851788	103.10910658899	131.507532438704	101.94584672822	184.573565537053	195.225214025676	137.745079561214	152.754352714354	113.494344507588	91.4926197772766	135.484689109472	71.2325808196214	101.922409472025	95.1095482612807	97.1376803375744	109.628467584853	87.3527573440432	183.195169290753	178.421327122256	84.8556486807843	70.5589376294477	90.3703715127018	96.3978201178102	112.746897988514	82.2382354124943	113.35610797327	95.0352804782724	122.730980757067	118.693508108538	113.944295053419	101.088805066659	85.3655243394476	124.559362999718	140.675558290871	180.454442675073	82.3397939768604	162.466096941586	122.152734534659	167.581481473091	90.6672794685095	71.3794669667823	132.846660524433	100.319336331477	100.477197605943	143.89752514412	107.422556626161	106.75894879594	113.935436364492
