tx	gene_id	Pd103	Pd105	Pd106	Pd11	Pd110	Pd112	Pd115	Pd119	Pd12	Pd120	Pd122	Pd123	Pd128	Pd13	Pd130	Pd134	Pd137	Pd14	Pd142	Pd143	Pd149	Pd15	Pd150	Pd152	Pd16	Pd17	Pd19	Pd2	Pd20	Pd21	Pd22	Pd23	Pd24	Pd25	Pd26	Pd27	Pd28	Pd29	Pd3	Pd30	Pd31	Pd32	Pd33	Pd34	Pd35	Pd36	Pd37	Pd38	Pd40	Pd43	Pd45	Pd46	Pd49	Pd5	Pd51	Pd52	Pd55	Pd56	Pd57	Pd58	Pd6	Pd63	Pd66	Pd69	Pd7	Pd72	Pd75	Pd77	Pd8	Pd80	Pd84	Pd86	Pd87	Pd9	Pd93	Pd95	Pd98
XR_001475461.1	LOC107064227	178.667	251.07	399.331	123.846	37.517	53.212	121.778	0	413.115	27.435	82.215	26.983	0	203.993	21.558	78.65	0	222.272	103.559	115.555	104.275	93.27	274.33	49.608	113.546	32.074	55.905	192.431	41.896	66.164	47.798	19.426	38.366	131.656	274.795	174.77	129.712	143.789	257.671	82.752	30.785	44.706	153.722	71.584	27.284	41.86	215.064	165.797	93.956	38.2	0	90.023	72.62	134.376	57.739	33.964	10.692	21.495	6.539	0	36.859	0	76.206	113.084	14.313	245.239	274.876	156.922	34.545	121.814	72.614	116.799	81.302	322.987	55.441	40.375	91.567
XR_001475460.1	LOC107064227	320.621	482.275	114.781	580.175	210.758	140.849	126.99	263.023	356.269	177.706	91.789	51.889	67.465	325.773	50.816	316.636	97.685	102.768	202.444	396.883	266.699	228.03	186.893	229.645	321.661	532.033	311.663	280.253	380.432	232.667	452.99	363.145	238.319	270.278	449.718	204.002	167.622	384.084	253.105	244.125	462.622	260.911	214.782	214.399	168.649	124.941	273.867	351.151	222.037	226.092	161.425	85.768	185.777	148.424	71.254	132.392	118.34	71.509	53.748	68	195.162	59.989	132.162	353.131	254.689	269.857	349.742	149.44	250.807	61.732	14.023	57.499	374.798	430.594	132.86	111.614	81.658
XM_015316566.1	LOC107064169	389.912	112.829	110.347	203.959	50.206	509.71	653.454	277.868	219.732	354.039	612.389	454.296	75.207	249.347	53.853	314.567	101.25	50.799	85.832	99.944	545.038	66.114	44.883	247.122	164.515	202.705	409.812	22.466	274.73	131.42	749.9	282.174	384.224	188.296	715.782	77.176	0	187.621	136.006	34.136	474.285	369.347	139.533	149.667	277.746	213.526	440.537	374.146	180.042	266.372	428.838	287.668	183.051	405.577	496.399	76.573	336.724	135.112	173.879	434.786	292.405	97.568	141.137	386.889	180.394	498.309	81.361	59.066	94.552	90.18	0	116.165	138.698	234.595	148.245	193.022	297.919
XM_015316593.1	LOC107064169	69.135	13.382	143.697	0	59.912	362.856	670.792	216.485	93.468	197.718	151.794	175.752	49.281	0	14.663	107.326	5.551	169.915	31.852	0	79.029	197.129	47.904	71.233	191.135	98.07	20.608	0	258.974	80.55	32.719	226.595	73.833	0	52.527	120.213	0	51.483	145.671	0	224.192	278.949	39.237	0	92.161	69.145	0	0	251.961	309.764	128.225	52.207	255.674	104.667	209.151	137.74	74.94	38.35	35.159	33.546	0	47.444	23.351	157.892	43.602	137.396	0	0	0	143.179	0	130.539	141.592	45.802	198.539	70.268	94.393
XM_015316630.1	LOC107064169	152.745	87.968	49.35	13.928	174.705	389.651	460.763	227.836	35.303	220.967	227.324	330.282	49.075	91.426	25.92	107.877	45.363	94.178	52.872	38.139	143.889	194.325	26.656	66.88	78.927	24.444	254.009	21.355	100.52	174.33	229.817	130.998	141.006	165.147	78.439	9.062	0	9.45	161.744	0	160.269	235.133	189.089	129.995	46.811	108.823	104.827	82.568	130.784	379.067	288.808	284.917	288.198	189.123	116.444	110.081	96.139	64.086	6.202	103.752	6.803	5.706	31.969	68.404	80.195	29.275	100.283	7.086	159.515	77.162	41.559	189.648	71.494	31.773	100.996	80.547	292.977
XM_015316625.1	LOC107064169	18.051	31.27	20.853	21.158	883.114	129.474	69.891	115.146	21.109	45.793	166.188	182.524	123.859	15.486	167.094	125.835	87.978	44.308	230.507	141.308	29.852	51.356	35.08	20.455	66.597	57.912	43.326	9.261	8.687	29.702	55.671	6.187	29.699	13.663	8.767	8.787	0	1.74	24.825	1.763	22.436	29.576	25.157	8.75	11.133	15.606	6.542	11.322	13.379	52.189	52.483	37.138	32.637	24.736	22.624	19.733	17.888	28.737	12.935	48.761	42.734	30.622	19.087	11.247	13.071	13.517	114.641	124.125	27.606	113.196	6.635	13.432	117.144	19.914	20.479	99.439	89.634
XM_015316575.1	LOC107064169	8.222	0	10.993	0	7.061	22.639	29.089	0	13.039	0	0	30.834	9.24	0	7.545	0	18.072	0	0	0	8.547	0	0	0	6.025	0	7.793	0	8.709	24.2	8.95	0	0	0	0	0	0	0	0	0	0	7.955	9.275	0	10.006	0	0	0	0	33.736	34.269	0	35.524	0	0	0	0	0	6.357	6.249	0	0	0	0	0	10.77	0	0	9.461	0	0	24.214	0	0	8.745	8.245	0
XM_015316617.1	LOC107064169	0	0	0	0	26.143	5.435	14.314	0	0	0	20.728	5.884	4.714	3.942	0	0	0	3.685	13.508	0	0	9.963	0	7.056	0	0	0	0	11.074	4.209	0	0	0	0	0	0	0	18.629	0	0	0	0	18.214	6.262	0	4.975	0	0	0	3.891	15.947	5.643	12.079	3.986	0	34.59	0	34.358	3.685	0	0	0	0	0	3.806	0	0	0	0	10.143	0	0	27.15	0	0	5.39	0
XM_015316585.1	LOC107064169	8.44	0	0	0	0	20.176	20.739	19.014	0	0	123.346	40.431	12.255	0	16.964	0	4.17	0	0	8.74	0	0	0	48.592	27.908	0	0	0	0	0	26.114	0	0	0	0	0	38.802	0	0	108.441	0	8.278	0	79.926	0	37.215	0	0	0	0	24.164	25.037	10.682	22.804	9.004	0	39.869	0	18.025	17.696	0	0	0	0	0	11.171	41.64	61.423	9.758	6.882	0	24.909	65.454	7.272	25.464	21.128	7.925
XM_015316608.1	LOC107064169	7.664	0	0	0	2.422	30.123	37.862	0	0	0	0	42.786	16.64	4.818	6.392	4.6	3.258	4.256	3.571	0	13.756	7.107	0	13.624	18.156	14.076	21.228	0	31.483	0	0	0	0	0	0	0	0	0	0	0	0	21.781	0	0	0	13.396	0	0	5.063	0	4.731	24.45	10.659	13.129	13.845	26.697	0	0	11.47	4.227	0	0	0	0	4.515	0	0	0	0	11.971	0	0	33.21	0	0	0	4.777
