"sample"	"PC1: 32% variance"	"PC2: 25% variance"
"Vv171"	-84.8553003044314	-32.5065908097855
"Vv194"	-83.1563482209876	-16.2990503730075
"Vv156"	-83.0751892805955	-30.0714224442601
"Vv210"	-78.0269653614101	-16.7309969316656
"Vv245"	-77.0589535539306	-43.2173209414867
"Vv243"	-76.3169037231195	-32.1237079890302
"Vv158"	-72.1873180304986	-31.8901598898529
"Vv211"	-71.6721020522303	-25.6152359728744
"Vv190"	-70.3788682392252	-27.9290780767156
"Vv172"	-69.9317074210777	-49.491440234723
"Vv230"	-69.7248226558524	-6.60771378927096
"Vv193"	-69.4582311910806	-18.6044588627836
"Vv176"	-69.1328012066198	5.86988399806832
"Vv175"	-68.8680730750381	2.02563355908922
"Vv214"	-68.3980985605565	-4.95917355507201
"Vv191"	-67.3003119183916	-32.6737154093348
"Vv208"	-66.578317892636	-66.9158299640182
"Vv227"	-64.6890811633468	-37.988271976577
"Vv207"	-63.2556663845538	-41.4534587701282
"Vv226"	-63.2235360355357	-65.6723681696283
"Vv154"	-56.2256559034853	-41.2797528129792
"Vv155"	-53.800713880226	-43.7888356940421
"Vv195"	-49.495339163004	28.0675678900331
"Vv246"	-49.3486573033529	18.0690601756208
"Vv197"	-46.1984135107809	7.27464266140944
"Vv215"	-33.619878796948	5.03880383957705
"Vv228"	-31.9703387675471	8.02514109315575
"Vv248"	-25.3638475402656	2.94009176041726
"Vv231"	-24.4958228075656	46.8492672558065
"Vv232"	-20.3887282239802	40.5340683352746
"Vv251"	-17.0380523261052	33.6503599411437
"Vv250"	-14.8617704070059	45.6428021735814
"Vv160"	-13.9615514692356	39.9960584125423
"Vv161"	-9.04523847213377	41.3989084125006
"Vv217"	-8.48222865919475	67.1154866299157
"Vv199"	5.54940942899305	73.5064554096293
"Vv235"	8.04397495680651	75.2570729739762
"Vv218"	10.4581573661874	87.0641335258862
"Vv254"	11.2482762369218	75.5462497866315
"Vv181"	16.7772187849195	79.3143474882846
"Vv236"	19.7358204694197	69.9524828721486
"Vv252"	22.6210393353409	83.2207304616945
"Vv239"	29.6751631446692	78.9750761728679
"Vv200"	31.8216376823413	68.8888725416739
"Vv220"	42.8842790592366	72.6740144370307
"Vv201"	52.1027153829594	73.097618594058
"Vv255"	57.6360610473578	63.9624960957163
"Vv257"	58.2912734461095	44.4287389179927
"Vv219"	61.3441671006044	56.0478175620362
"Vv187"	73.8236433512506	-83.4150908928771
"Vv202"	73.9579477461923	28.5438473959626
"Vv205"	75.0321239214101	-87.666927544447
"Vv165"	75.2606353789756	61.9558489554517
"Vv184"	79.956247812093	47.6881326144211
"Vv166"	80.8493744246491	42.5818344941828
"Vv223"	84.8177203834699	-94.4002294329161
"Vv242"	85.7394973058202	-54.1619679723565
"Vv224"	86.4232032653311	-74.4497366208651
"Vv241"	86.8472189233545	-52.3674430770696
"Vv188"	89.4402738978334	-87.5950359477131
"Vv169"	92.1865749756976	-91.24510638587
"Vv183"	92.8193633333269	31.9017240042765
"Vv168"	93.5274172838723	-89.7152512931543
"Vv258"	95.3971824647544	-83.0815511175007
"Vv259"	98.0373742142062	-68.9334426626021
"Vv204"	99.2798413778446	-74.2549048274494
