sample	Vv154	Vv155	Vv156	Vv158	Vv160	Vv161	Vv165	Vv166	Vv168	Vv169	Vv171	Vv172	Vv175	Vv176	Vv181	Vv183	Vv184	Vv187	Vv188	Vv190	Vv191	Vv193	Vv194	Vv195	Vv197	Vv199	Vv200	Vv201	Vv202	Vv204	Vv205	Vv207	Vv208	Vv210	Vv211	Vv214	Vv215	Vv217	Vv218	Vv219	Vv220	Vv223	Vv224	Vv226	Vv227	Vv228	Vv230	Vv231	Vv232	Vv235	Vv236	Vv239	Vv241	Vv242	Vv243	Vv245	Vv246	Vv248	Vv250	Vv251	Vv252	Vv254	Vv255	Vv257	Vv258	Vv259
Vv154	0	58.4917819257573	98.337280070743	121.283474727718	138.717606010107	138.790092650521	187.108968901935	188.990305093314	194.100044222123	192.088085921776	116.138156345387	85.822993822798	113.768032308175	115.783318074203	170.565250188229	191.040276794003	187.904183533335	179.021629410229	190.074279440859	70.8141227307864	67.8288373011543	115.362237582805	101.949846778949	136.616498823096	120.36289180233	162.394865401847	167.775488006763	177.237884472233	191.690096493313	182.793505733742	179.039535458325	87.0205580132902	111.092572576481	92.3819397145208	103.378976693639	90.8084237237714	105.671992399501	153.224068041601	172.168884043596	182.520938612322	185.540380608897	187.174882237294	175.792290757956	101.583832974157	68.5448910948788	147.038079278877	98.8505430148073	140.833615553618	148.371839683542	164.809618697534	165.761230411124	175.904430589817	176.78115220892	171.571953183496	123.921878014641	112.140046783541	119.975374603191	150.228944184414	149.692879622895	154.519045435619	173.436482218629	165.552723267736	183.611952652984	184.073379405867	187.315704426227	184.004018845583
Vv155	58.4917819257573	0	99.5332345974022	130.871602806017	137.934523403608	140.00944556326	191.506298387969	190.327819593428	189.403740635864	188.504168254369	121.974236080567	102.535910324691	117.763689491405	117.195490626422	177.670795096577	195.726717308713	193.655428563655	178.436815303	187.079410149045	93.8417809916966	76.6362620631153	131.014252436889	105.154042289629	135.604729842457	134.452707877917	167.726604653993	170.598547789047	182.387911092466	194.371515849095	186.250968186408	175.968733391358	95.8805750213537	104.469203049313	108.230036521287	116.852736226727	97.7522222272499	115.838605103866	156.472885246734	176.634326269145	186.665721353437	189.856979549014	188.992964120018	179.564922494299	98.3462200985371	81.3007666976513	155.71293600972	117.528923963319	142.8180291788	144.661481819118	168.947891495781	169.825904584872	183.789565611277	179.542174155365	175.386994424569	128.221300859942	119.023092425281	132.96961830473	153.402001714714	144.615505349338	148.401738044733	176.629760352407	167.491194607231	186.982955654533	187.66747117933	191.759642169547	188.425281548651
Vv156	98.337280070743	99.5332345974022	0	97.259521488796	140.002891443028	140.95631269089	204.454045746822	202.437757657015	209.088319139973	207.906206739865	79.1141588671569	108.519400465647	90.6409880884232	87.1452309399736	173.335544070407	212.018559849437	205.107405060289	193.880093786339	206.374841862325	99.6448815591938	97.585469954298	107.022873238845	76.6097129005385	106.230459534875	124.093604359737	164.40024667414	177.863632428075	189.387637642028	206.670030338066	211.37160579407	193.406464081289	115.539428348128	96.3346159328291	102.849861337026	110.277290316704	95.7761031739245	120.705450799758	153.00515846769	175.853418851407	195.536306372927	198.570913763983	207.716776186295	202.818344704471	95.0937509734524	100.436358935265	143.234126753301	100.282545856183	137.538051831514	137.525651744908	165.908989037422	171.32415009662	180.575037467743	198.336974092233	196.122213157895	90.7101956197773	99.3679858311753	118.397503023453	143.278705524857	144.10555650195	137.803201379865	178.864200332648	168.914574366989	193.2362770693	192.377113831982	211.713401956304	209.232008951
Vv158	121.283474727718	130.871602806017	97.259521488796	0	144.807071980211	144.237407174088	198.935116324309	194.771333233315	202.404109202799	199.517077642951	80.9405289617917	113.275881765613	106.961552298164	110.347298820587	171.900389932737	207.176679330068	199.858764150511	190.715335391235	202.657476357713	112.812805285759	121.174320424016	76.2275619304889	112.187331406603	122.314898231796	106.688170245863	164.278560865336	177.143968725819	185.713464948423	205.174581750334	206.234661925389	192.250983213109	141.643454011863	115.03597678895	119.443775433792	101.149413947797	117.366665418175	118.13447081305	156.13250794351	177.281306698447	195.906433488967	197.731915202044	191.753602286764	202.203631963168	102.01636721638	120.828721127259	99.9898873708623	102.781251224656	141.543294935176	144.973705779194	165.795097293196	170.089149304535	181.693861291163	196.742011845748	193.566612731577	72.7392318065354	75.6156963302023	111.885094434169	102.313987888327	151.916432665375	143.654835781073	178.86388455089	169.877336601012	193.659354175735	194.848586485819	199.997195915042	205.322572967189
Vv160	138.717606010107	137.934523403608	140.002891443028	144.807071980211	0	50.4648912146711	138.99505166845	142.473716690545	189.686393294221	190.927603087824	150.077027462645	163.535247347173	106.307981167029	106.919663182092	106.821885664914	161.277186692307	152.284260394065	179.130093067502	186.888783481851	141.838862529201	142.704551640284	139.093477727126	136.390941134416	86.8905316310474	114.667753258343	95.7165834815627	110.253159299246	125.090978765065	173.315098268262	186.401715904771	181.555449171423	158.631476463465	170.186815753028	140.60246029093	146.283188151052	118.844433494326	99.2167049539124	91.1400198079181	113.814938571365	156.249542925975	150.272116118043	199.793401431894	189.903254365277	162.122750128861	140.87591617022	117.75609327676	125.286073493882	72.1448179538701	70.2007791607024	100.345999153875	106.134301660247	137.200289555527	175.182270280906	172.214152557385	150.912982558308	161.57490209545	109.035790960832	120.412182882991	81.5717795781397	94.5499995052257	120.750788841323	109.046689024492	154.539225022394	168.769038477687	193.934810509365	185.826904948721
Vv161	138.790092650521	140.00944556326	140.95631269089	144.237407174088	50.4648912146711	0	132.276189207017	137.514157645542	187.821709133953	187.814810382332	149.629293237737	161.607336137996	109.509055246522	110.160644050012	99.7817494699558	155.380241340386	145.587344741252	176.793021818305	184.76156188828	141.642233301246	143.208388888089	137.670792397643	137.969695587244	89.9200997138398	114.00240212048	89.352932468774	105.477480472848	117.460849059468	167.370352512233	183.495728733264	179.818767890432	156.856927972005	170.055545385868	141.110631363849	145.854845083176	121.235624414614	100.713374808637	90.5480198857755	109.554136075391	150.122930061749	144.080967338984	196.957109908184	186.682038727794	161.771065277336	140.315414345011	118.818946004929	125.49146033539	72.3302352831643	80.1563558065191	96.6246446438366	102.113964224395	131.083510046199	173.314856612125	169.989373889359	151.934527327287	161.435977456072	109.462720000576	121.78543625629	88.7536147021676	100.365148939181	117.137480873216	106.895197328158	148.807833530906	163.288269757707	190.873010830783	183.100395668659
Vv165	187.108968901935	191.506298387969	204.454045746822	198.935116324309	138.99505166845	132.276189207017	0	59.8893881912441	186.920131774408	187.202022620592	207.423500387861	205.739930510116	184.233586667233	184.186418452211	113.449516491642	89.2234122975996	73.5877701429478	184.1971970236	186.254180682474	190.559524354168	193.404162645826	191.383387592074	203.012880427966	171.157145285299	167.54069490814	126.32549679526	106.240653278296	66.9350050663782	126.175452604141	169.932031071402	185.863566712831	202.007527171829	217.554769129721	196.888718932295	196.90460166615	184.16820748418	155.309321497974	138.488627987526	128.878847147222	101.74673779058	121.453864319039	191.479460125884	177.763339261978	208.931762079579	191.846840488019	167.382894294822	183.639608003522	148.929941225769	152.264945779662	129.663649696636	120.02640864044	114.748222913632	160.829434494603	157.404263687288	204.685623863862	208.869195803998	166.679043860154	167.248709789079	150.529966282928	157.620341050332	122.634651621261	130.747826743807	104.32719357612	125.458694696093	181.027698238512	170.209781081934
Vv166	188.990305093314	190.327819593428	202.437757657015	194.771333233315	142.473716690545	137.514157645542	59.8893881912441	0	162.867725256725	165.289659604586	204.292558818762	208.222415433713	184.893193900606	185.324928913504	127.931912171309	96.6718696901481	84.9874602740416	167.061825799872	164.983758401159	195.062117045658	195.788307212183	192.374558014059	204.146512973338	169.958194721136	172.370505821434	137.381065989706	117.912114516408	87.1502710905012	130.989641828284	164.763664676785	165.887150004374	204.811531325627	211.768928912902	201.837379055334	199.678924785251	187.583541500496	160.998340580537	146.812197364521	141.362714105172	114.087902831929	133.41410151421	179.686633098919	175.034900923093	202.837400258286	194.156471529761	166.586440372339	188.923378352752	153.094108236594	152.100246212799	139.453428484582	130.552977109419	130.215837213445	160.128797769826	156.161705005027	201.050114337812	206.444745745856	172.798119310687	161.943804900796	151.94615716013	153.700763828183	133.78335505384	139.238581627809	115.979082071147	133.276894214792	174.24568239055	167.476260019385
Vv168	194.100044222123	189.403740635864	209.088319139973	202.404109202799	189.686393294221	187.821709133953	186.920131774408	162.867725256725	0	45.5297559358264	211.289246996577	211.98120704843	211.157046221696	213.350168200572	210.021020525498	176.860652408232	186.397938885556	85.6697301947648	60.0586405351637	212.69454332982	206.300867936538	211.9900804411	220.941021729072	204.902583616934	206.406756688676	207.818186706406	195.697305742872	195.382069629717	191.867392295799	123.716256620785	75.5591774743069	212.439783204595	193.776749251098	221.69138364432	213.662685580556	211.576722288744	190.381564573037	207.950373358679	217.592297750102	200.88203165196	212.071844725909	114.868924347912	139.381574029689	186.235432324716	203.622631515947	195.290949906598	216.213918130197	200.632830578036	193.698949589074	207.313704067258	201.565628041118	215.514945928201	143.143962171878	137.202536505618	206.846928276141	209.343171034199	211.207987351676	184.017340087819	196.078518553581	188.942894304415	209.490159654172	206.644517884047	202.422923546646	201.510416547618	123.811691280014	133.59397526075
Vv169	192.088085921776	188.504168254369	207.906206739865	199.517077642951	190.927603087824	187.814810382332	187.202022620592	165.289659604586	45.5297559358264	0	209.945456116547	207.06858207588	209.917213192214	212.74411260448	208.642528163087	175.959466203309	184.816029184336	87.3607464149059	68.7629287314404	208.662115603253	203.361262492849	207.749733780596	217.884576946408	205.765967340562	202.419653640979	206.778405287694	194.35010346836	195.263836285272	189.805989818794	118.443906461329	79.7145826265767	209.64922832196	193.385017665039	217.893834739889	210.223864526073	209.590396072515	187.617111476543	207.534844778564	216.529175563768	197.717737339535	210.337632600049	108.542470252787	133.252033264352	185.128400029767	201.108337267106	192.931771195261	212.764153008121	200.866939143417	195.464285299664	206.452511211415	200.002858344369	213.038303434492	139.041229139751	133.228798156535	204.016157137822	205.108025702185	207.888537262994	182.789121564156	196.930428053628	191.250464094182	208.811190778007	205.844015174375	199.977996222392	197.993939950326	116.344131868435	128.806982484795
