tx	gene_id	Vv154	Vv155	Vv156	Vv158	Vv160	Vv161	Vv165	Vv166	Vv168	Vv169	Vv171	Vv172	Vv175	Vv176	Vv181	Vv183	Vv184	Vv187	Vv188	Vv190	Vv191	Vv193	Vv194	Vv195	Vv197	Vv199	Vv200	Vv201	Vv202	Vv204	Vv205	Vv207	Vv208	Vv210	Vv211	Vv214	Vv215	Vv217	Vv218	Vv219	Vv220	Vv223	Vv224	Vv226	Vv227	Vv228	Vv230	Vv231	Vv232	Vv235	Vv236	Vv239	Vv241	Vv242	Vv243	Vv245	Vv246	Vv248	Vv250	Vv251	Vv252	Vv254	Vv255	Vv257	Vv258	Vv259
XR_007785300.1	LOC127072015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_007785299.1	LOC127072015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.131	0	0
XR_007785289.1	LOC127072015	0	0	8.505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.792	0	0	0	0	0	0	0	0	3.016	0	0	35.723	0	0	0	0	0	29.645	0	0	0	0	13.358	0	0	0	0	0	0	0	0	0	0	28.89	0	0	0	77.907	0	0	0	0	0
XR_007785295.1	LOC127072015	0	0	0	0	7.071	0	0	16.406	0	0	0	0	5.364	0	41.066	82.745	23.963	32.7	52.16	3.603	5.328	0	0	0	51.449	0	0	23.107	76.022	71.556	36.18	0	0	0	0	6.932	215.838	0	41.476	0	0	0	0	0	0	0	0	0	51.154	0	121.028	12.07	0	0	0	0	0	5.143	51.303	0	0	0	39.822	0	34.779	0
XR_007785293.1	LOC127072015	0	0	0	0	6.404	0	11.595	29.076	0	19.834	0	0	0	0	0	0	0	0	28.14	0	0	0	0	0	0	0	0	0	0	0	8.735	0	0	0	0	0	0	0	5.743	0	0	9.602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.974	0	0	0	0	0	17.479	0
XR_007785291.1	LOC127072015	0	7.895	0	0	0	0	0	0	0	30.284	0	0	0	0	0	0	0	0	9.896	0	0	0	0	0	0	0	115.482	0	0	0	0	0	0	0	0	0	0	0	0	24.422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.551	35.183
XR_007785288.1	LOC127072015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_007785297.1	LOC127072015	0	0	0	0	0	16.034	0	9.405	29.51	55.037	0	0	0	0	33.542	24.544	0	5.194	19.396	1.732	14.295	3.67	0	17.422	53.13	3.993	78.39	0	0	9.479	23.671	0	14.817	0	0	0	0	44.341	4.469	0	0	37.587	62.415	0	0	0	0	24.457	0	0	7.053	0	0	15.512	16.343	6.756	0	33.722	107.195	23.489	0	0	20.958	6.445	11.937	29.502
XR_007785294.1	LOC127072015	6.532	0	0	0	0	20.34	21.007	0	44.351	5.597	0	0	0	0	12.224	8.835	0	10.464	0	0	0	3.08	0	0	7.748	0	0	0	0	17.398	3.397	0	0	0	0	0	0	0	0	0	0	4.684	6.098	0	0	0	0	8.347	0	16.531	10.863	0	0	0	0	0	0	0	9.538	6.248	0	21.59	0	0	0	18.636
XR_007785292.1	LOC127072015	0	0	0	2.521	14.045	0	0	0	0	33.118	0	0	0	5.712	3.83	3.219	29.328	0	10.301	0	0	2.701	0	6.288	0	0	21.556	0	10.792	3.651	0	0	0	0	0	0	15.892	0	2.527	0	14.315	0	0	0	0	0	0	0	0	0	3.317	4.505	2.991	0	0	0	6.561	0	22.686	5.195	0	0	0	0	19.926	0
