tx	gene_id	Vv154	Vv155	Vv156	Vv158	Vv160	Vv161	Vv165	Vv166	Vv168	Vv169	Vv171	Vv172	Vv175	Vv176	Vv181	Vv183	Vv184	Vv187	Vv188	Vv190	Vv191	Vv193	Vv194	Vv195	Vv197	Vv199	Vv200	Vv201	Vv202	Vv204	Vv205	Vv207	Vv208	Vv210	Vv211	Vv214	Vv215	Vv217	Vv218	Vv219	Vv220	Vv223	Vv224	Vv226	Vv227	Vv228	Vv230	Vv231	Vv232	Vv235	Vv236	Vv239	Vv241	Vv242	Vv243	Vv245	Vv246	Vv248	Vv250	Vv251	Vv252	Vv254	Vv255	Vv257	Vv258	Vv259
XR_007785300.1	LOC127072015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_007785299.1	LOC127072015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.293571	0	0
XR_007785289.1	LOC127072015	0	0	0.038065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033396	0	0	0	0	0	0	0	0	0.015577	0	0	0.164574	0	0	0	0	0	0.222363	0	0	0	0	0.058822	0	0	0	0	0	0	0	0	0	0	0.121129	0	0	0	0.495565	0	0	0	0	0
XR_007785295.1	LOC127072015	0	0	0	0	0.037763	0	0	0.152264	0	0	0	0	0.023652	0	0.268271	0.826229	0.204492	0.229924	0.405642	0.018284	0.026759	0	0	0	0.229216	0	0	0.185454	0.665189	0.542216	0.255994	0	0	0	0	0.031288	1.080148	0	0.275167	0	0	0	0	0	0	0	0	0	0.254518	0	0.95338	0.10288	0	0	0	0	0	0.027511	0.26795	0	0	0	0.318985	0	0.273067	0
XR_007785293.1	LOC127072015	0	0	0	0	0.032604	0	0.098177	0.25727	0	0.149409	0	0	0	0	0	0	0	0	0.20863	0	0	0	0	0	0	0	0	0	0	0	0.058923	0	0	0	0	0	0	0	0.036322	0	0	0.065586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.094462	0	0	0	0	0	0.130827	0
XR_007785291.1	LOC127072015	0	0.039093	0	0	0	0	0	0	0	0.228224	0	0	0	0	0	0	0	0	0.073401	0	0	0	0	0	0	0	0.767516	0	0	0	0	0	0	0	0	0	0	0	0	0.175476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198816	0.275236
XR_007785288.1	LOC127072015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_007785297.1	LOC127072015	0	0	0	0	0	0.086504	0	0.087294	0.238341	0.43487	0	0	0	0	0.219119	0.245078	0	0.036517	0.150842	0.008788	0.071793	0.016739	0	0.077443	0.236703	0.023902	0.546291	0	0	0.071827	0.167487	0	0.070527	0	0	0	0	0.250118	0.02965	0	0	0.269295	0.521086	0	0	0	0	0.114925	0	0	0.055558	0	0	0.11926	0.0768	0.032155	0	0.180377	0.559873	0.125745	0	0	0.167877	0.046368	0.093727	0.242001
XR_007785294.1	LOC127072015	0.034243	0	0	0	0	0.104606	0.177866	0	0.341523	0.042165	0	0	0	0	0.076118	0.084107	0	0.070146	0	0	0	0.013393	0	0	0.032906	0	0	0	0	0.125674	0.022916	0	0	0	0	0	0	0	0	0	0	0.031993	0.048532	0	0	0	0	0.037395	0	0.099315	0.08156	0	0	0	0	0	0	0	0.047484	0.031881	0	0.132138	0	0	0	0.145726
XR_007785292.1	LOC127072015	0	0	0	0.011136	0.068337	0	0	0	0	0.238457	0	0	0	0.022764	0.022797	0.02929	0.228057	0	0.072999	0	0	0.011224	0	0.025459	0	0	0.13687	0	0.086017	0.025203	0	0	0	0	0	0	0.072456	0	0.015274	0	0.106292	0	0	0	0	0	0	0	0	0	0.023799	0.03499	0.021929	0	0	0	0.02723	0	0.107932	0.02533	0	0	0	0	0.14255	0
XR_007785298.1	LOC127072015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033939	0	0	0	0	0	0	0	0	0.044773	0	0.090273	0	0.084958	0.031464	0	0	0	0	0	0	0	0	0	0	0	0.013901	0	0	0	0	0	0	0	0	0	0	0	0.099713	0	0	0	0	0.016242	0	0	0	0	0	0	0
XR_007785296.1	LOC127072015	0	0	0	0	0.028153	0.045095	0	0.103188	0.212154	0.272535	0	0	0	0	0.02327	0	0	0.029713	0.104542	0	0	0	0	0	0	0	0.094893	0	0.028119	0.100832	0	0	0	0	0	0	0.05649	0.140688	0.036942	0	0	0	0.254891	0	0	0	0	0	0	0	0.082138	0.020968	0	0.10618	0	0	0	0	0	0.064165	0.031593	0.051403	0.043295	0	0	0.154164
XR_007785302.1	LOC127072015	0	0	0	0	0	0	0	0.031999	0.017948	0	0	0	0	0	0	0	0	0.031659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006069	0	0	0	0	0.013731	0	0	0	0	0	0	0	0	0	0	0	0	0.045806	0	0	0
XR_007785301.1	LOC127072015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_007785290.1	LOC127072015	0	0	0	0.010494	0.12154	0.203528	0.153851	0.084467	0.135898	0.596909	0.009974	0	0	0	0.222031	0	0.128854	0.10295	0.278747	0	0	0	0	0	0.049753	0.103051	0.566614	0	0.538756	0.045028	0.063741	0	0	0	0	0.019909	0.029944	0.254076	0.018845	0	0	0.402317	0.401926	0	0	0.09684	0.034896	0	0.144127	0.078654	0.889525	0	0.208758	0	0	0	0.053784	0.025831	0.121257	0.031851	0	0.26493	0	0.058336	0.137099	0.339568
XM_051011858.1	LOC127071962	0	0	0	0	0	0	0	0	0.6625	0.790741	0	0	0	0	0	0	0	0.387798	0	0	0	0	0	0	0	0	0	0	1.116116	1.486432	0.494753	0	0	0.220121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.290861	0	0	0.876607	0	0	0	0	0	0	0	0	0	0	1.939714	0.772647
XM_051011887.1	LOC127071962	0	0	0	0	0	0	0	0	0.062007	0.180362	0	0	0	0	0	0	0	0.242359	0	0	0	0	0	0	0	0.041211	0	0	0.58382	0.157079	0.046621	0	0	0	0	0	0	0	0	0	0.155025	0.076669	0	0	0	0	0	0	0	0	0.071304	0	0	0	0	0.038183	0.151559	0	0	0	0	0.044347	0	0	0.063005	0
XM_051011867.1	LOC127071962	0	0	0	0	0	0	0	0.405282	0.103362	0.143153	0	0.261859	0	0	0	0	0	0	0	0	0.211033	0.145049	0	0	0	0	0	0	10.749368	0.113584	0.273307	0	0	0	0	0.071494	0	0	0	0	0	0	0	0	0.174087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11009	0
XM_051011876.1	LOC127071962	0	0.055557	0	0	0.052954	0.116068	0.182063	0	0.385653	0.4733	0	0	0	0.109873	0	0	0	0.157303	0.065587	0	0	0	0.140875	0	0	0	0	0	1.292436	0	0.196226	0	0	0	0	0	0	0	0	0	0	0.092509	0.066398	0	0	0	0	0	0.159538	0.068589	0	0.163729	0.206187	0.606378	0	0	0	0	0	0.154585	0	0	0	0	0.180067	0.412686
XM_051011847.1	LOC127071962	0.475134	0.287549	0.336084	0.273852	0.191391	0	0	0	2.797123	1.043549	0.297973	0	0.115228	0	0.171451	0.462787	0.073632	0.65495	2.239863	0.218414	0.448345	0	0.071613	0.058229	0.193303	0	0.3025	0.238456	0	1.38488	0.82759	0.047962	0.224927	0	0.064894	0	0.152225	0.097099	0.028687	0.260101	0	1.649981	1.296736	0.397313	0	0.146125	0.189354	0.152517	0	0	0	0	1.40101	0	0.285591	0.118134	0	0.140099	0.091141	0	0.060561	0	0.042741	0.093726	1.923735	1.59435
XM_051011633.1	LOC127071863	0	0.047297	0	0	0.106442	0.154749	0.254513	0	0.508098	0	0.018054	0	0	0.028521	0.076698	0.377247	0.177892	0.54955	0.658516	0.066096	0.085006	0	0.027528	0	0.040652	0	0	0.271874	0.574934	0.297343	0.543644	0	0.037192	0	0.046462	0	0	0	0	0.147206	0	0	0.12264	0.081173	0.057512	0.056164	0	0	0	0	0.123335	0.088864	0.51381	0.440709	0	0	0	0	0	0.258447	0	0	0	0	0.596866	0
XM_051011650.1	LOC127071863	0	0	0.025713	0	0	0	0	0	0	0.500155	0	0	0	0	0	0	0	0	0	0	0	0.012062	0	0	0	0.023756	0.147444	0	0	0	0	0.014817	0	0	0	0.041764	0.032851	0	0	0	0	0.255731	0.173695	0	0	0	0	0	0.085504	0	0	0	0	0	0	0	0	0.019751	0.089856	0	0.073214	0	0	0	0	0
XM_051011641.1	LOC127071863	0	0	0	0	0.098992	0	0	0.241191	0	0.113994	0	0	0	0	0	0	0	0	0	0	0	0	0.027025	0	0	0	0	0	0.35983	0.21564	0	0	0	0.024585	0.012201	0	0.07833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043207	0	0	0	0	0	0	0.119044	0.927691
XR_007785263.1	LOC127071863	0.007488	0	0	0.013234	0	0	0	0	0	0	0	0.006947	0.012038	0	0	0	0	0	0	0	0	0	0	0.018208	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076896	0.036195	0	0.156903	0	0	0	0	0	0.023653	0.032029	0	0.017217	0	0	0	0	0.006412	0.006494	0.055982	0	0	0	0	0.061358	0.120193	0.029453	0	0
unassigned_transcript_1	Trnac-gca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.688013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
