Orthogroup	Acromyrmex_echinatior.clean	Ancistrocerus_nigricornis.clean	Andrena_flavipes.clean	Anoplius_nigerrimus.clean	Apis_cerana.clean	Apis_dorsata.clean	Apis_florea.clean	Apis_laboriosa.clean	Apis_mellifera.clean	Atta_cephalotes.clean	Belonocnema_kinseyi.clean	Bombus_campestris.clean	Bombus_hortorum.clean	Bombus_hypnorum.clean	Bombus_impatiens.clean	Bombus_lapidarius.clean	Bombus_monticola.clean	Bombus_muscorum.clean	Bombus_pascuorum.clean	Bombus_pratorum.clean	Bombus_sylvestris.clean	Bombus_terrestris.clean	Bombus_vestalis.clean	Buathra_laborator.clean	Caenorhabditis_elegans.clean	Camponotus_floridanus.clean	Ceratina_calcarata.clean	Colletes_latitarsis.clean	Copidosoma_floridanum.clean	Dolichovespula_media.clean	Dolichovespula_saxonica.clean	Dolichovespula_sylvestris.clean	Drosophila_melanogaster.clean	Dufourea_novaeangliae.clean	Eufriesea_mexicana.clean	Gasteruption_jaculator.clean	Habropoda_laboriosa.clean	Halictus_rubicundus.clean	Harpegnathos_saltator.clean	Lasioglossum_calceatum.clean	Lasioglossum_lativentre.clean	Lasioglossum_morio.clean	Linepithema_humile.clean	Macropis_europaea.clean	Megachile_rotundata.clean	Megalopta_genalis.clean	Melipona_bicolor.clean	Melipona_quadrifasciata.clean	Mischocyttarus_mexicanus.clean	Monomorium_pharaonis.clean	Nasonia_vitripennis.clean	Nysson_spinosus.clean	Ooceraea_biroi.clean	Orussus_abietinus.clean	Osmia_bicornis_bicornis.clean	Pemphredon_lugubris.clean	Polistes_canadensis.clean	Polistes_dominula.clean	Polistes_exclamans.clean	Polistes_fuscatus.clean	Solenopsis_invicta.clean	Tetragonisca_angustula.clean	Tiphia_femorata.clean	Tribolium_castaneum.clean	Venturia_canescens.clean	Vespa_crabro.clean	Vespa_mandarinia.clean	Vespa_velutina.clean	Vespula_germanica.clean	Vespula_pensylvanica.clean	Vespula_vulgaris.clean	Xylocopa_sonorina.clean	Total
OG0000000	62	33	32	52	39	30	40	30	35	91	25	29	31	35	40	23	22	40	31	30	25	31	25	46	0	168	48	36	20	39	38	23	0	0	22	38	32	45	138	66	38	45	101	23	64	49	29	21	34	117	68	41	162	1	21	27	12	30	35	28	182	16	40	0	24	36	55	75	66	37	43	27	3137
OG0000001	32	5	19	18	2	0	0	0	0	0	100	29	12	53	33	13	14	19	75	39	33	20	18	8	1	70	46	13	32	7	9	13	0	8	17	196	12	22	203	14	12	8	124	11	40	16	20	8	128	38	46	22	104	9	69	16	19	14	148	40	118	83	7	5	12	49	90	21	1	0	0	32	2515
OG0000002	61	15	29	6	52	48	50	48	55	62	4	28	46	44	44	22	28	19	46	42	32	40	23	14	0	39	40	12	4	17	13	7	0	11	28	17	20	26	57	30	20	24	41	14	34	32	51	27	10	35	8	2	24	6	16	2	19	20	17	24	40	33	0	0	20	20	20	20	17	13	13	41	1842
OG0000003	12	16	33	21	18	18	20	15	16	11	13	45	45	50	25	37	46	51	32	56	48	29	47	19	2	14	26	16	14	31	27	25	12	15	13	16	15	22	15	44	46	34	12	29	16	20	74	16	23	19	13	22	21	17	18	33	13	14	15	18	14	13	11	12	19	13	14	18	31	15	15	18	1696
OG0000004	40	16	23	4	4	4	4	3	3	61	9	6	12	10	12	9	10	4	11	12	6	11	7	28	0	38	6	11	10	45	45	23	3	4	6	8	6	10	59	20	14	13	46	6	9	15	18	9	20	44	29	4	64	6	8	14	13	21	29	21	92	21	40	0	21	47	56	59	59	54	63	6	1524
OG0000005	1	2	22	11	0	1	10	1	1	0	67	34	32	59	39	13	24	14	7	38	28	9	15	2	0	7	11	4	0	18	12	4	2	29	46	26	43	3	23	3	2	2	5	15	4	11	47	39	136	6	9	9	6	9	32	8	38	41	96	107	22	18	4	10	15	34	34	43	2	3	2	15	1485
OG0000006	16	12	17	12	10	10	10	10	9	13	23	29	23	31	29	17	43	30	23	23	18	26	23	18	1	31	23	13	14	20	30	24	17	9	17	17	16	15	20	13	17	25	28	11	16	14	32	24	17	25	16	18	9	14	11	11	19	36	11	40	30	25	19	27	13	27	22	27	22	16	17	13	1407
OG0000007	14	10	13	12	16	17	16	18	17	14	51	17	18	17	28	16	19	20	25	17	17	23	20	15	1	18	26	16	33	12	13	11	14	16	13	29	12	16	14	16	16	17	16	13	12	21	52	24	11	18	39	13	14	12	11	16	11	11	12	11	34	21	3	26	16	11	19	11	13	11	13	16	1254
OG0000008	12	10	12	12	11	12	13	12	12	13	10	15	16	16	13	12	14	15	12	19	15	12	13	11	1	12	13	12	14	12	10	10	16	12	12	13	14	12	12	11	12	12	12	10	12	12	60	231	17	12	11	12	12	12	12	12	11	11	19	11	12	16	10	10	10	11	11	11	12	10	10	12	1146
OG0000009	3	9	69	26	3	3	2	3	0	1	46	25	15	52	10	7	21	11	2	52	21	5	10	4	0	7	10	14	13	6	3	4	3	7	12	186	1	15	3	59	60	58	11	7	12	4	12	20	13	19	18	9	11	1	27	9	1	2	9	1	44	18	5	0	4	2	1	0	2	0	1	0	1124
