task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
10	3f/0d006c	3653454	AGAT_CONVERTSPGXF2GXF (Atta_cephalotes)	COMPLETED	0	2026-03-30 16:10:32.954	1m 11s	1m 10s	100.3%	760.8 MB	764.8 MB	271.4 MB	175.5 MB
36	70/5a5151	3653650	AGAT_CONVERTSPGXF2GXF (Gasteruption_jaculator)	COMPLETED	0	2026-03-30 16:10:33.029	1m 21s	1m 19s	97.4%	751.4 MB	756 MB	217.2 MB	147.4 MB
24	a0/d09fa5	3653611	AGAT_CONVERTSPGXF2GXF (Buathra_laborator)	COMPLETED	0	2026-03-30 16:10:33.021	1m 43s	1m 41s	99.3%	931.6 MB	935.6 MB	248.6 MB	171.4 MB
18	af/7bd691	3653510	AGAT_CONVERTSPGXF2GXF (Bombus_muscorum)	COMPLETED	0	2026-03-30 16:10:32.994	2m 51s	2m 50s	98.4%	1.5 GB	1.5 GB	405.9 MB	284.4 MB
23	b9/bd80c1	3653470	AGAT_CONVERTSPGXF2GXF (Bombus_vestalis)	COMPLETED	0	2026-03-30 16:10:32.979	2m 53s	2m 52s	98.5%	1.5 GB	1.5 GB	409.6 MB	287.2 MB
11	5f/3d265d	3653462	AGAT_CONVERTSPGXF2GXF (Belonocnema_kinseyi)	COMPLETED	0	2026-03-30 16:10:32.971	3m 13s	3m 12s	99.4%	2 GB	2 GB	696.9 MB	502 MB
12	3b/c654d4	3653487	AGAT_CONVERTSPGXF2GXF (Bombus_campestris)	COMPLETED	0	2026-03-30 16:10:32.985	3m 30s	3m 29s	99.1%	1.8 GB	1.8 GB	499.2 MB	351.7 MB
33	f0/2432bc	3653675	AGAT_CONVERTSPGXF2GXF (Drosophila_melanogaster)	COMPLETED	0	2026-03-30 16:10:33.037	3m 51s	3m 50s	99.5%	2.4 GB	2.4 GB	949 MB	712.4 MB
17	e1/6d7053	3670793	AGAT_CONVERTSPGXF2GXF (Bombus_monticola)	COMPLETED	0	2026-03-30 16:11:43.793	3m 2s	3m 1s	98.9%	1.6 GB	1.6 GB	432.7 MB	303.9 MB
9	c4/91af8f	3653542	AGAT_CONVERTSPGXF2GXF (Apis_mellifera)	COMPLETED	0	2026-03-30 16:10:33.003	4m 19s	4m 18s	99.2%	2.4 GB	2.4 GB	883.4 MB	628.9 MB
34	65/691e40	3687008	AGAT_CONVERTSPGXF2GXF (Dufourea_novaeangliae)	COMPLETED	0	2026-03-30 16:13:23.678	1m 33s	1m 32s	98.7%	960.1 MB	964.2 MB	342.7 MB	236.5 MB
5	fb/88945b	3653573	AGAT_CONVERTSPGXF2GXF (Apis_cerana)	COMPLETED	0	2026-03-30 16:10:33.011	5m 14s	5m 13s	99.4%	3 GB	3 GB	1.1 GB	831 MB
40	a9/29a35f	3687497	AGAT_CONVERTSPGXF2GXF (Lasioglossum_calceatum)	COMPLETED	0	2026-03-30 16:13:26.135	2m 32s	2m 32s	98.3%	1.3 GB	1.3 GB	360.3 MB	251.7 MB
15	55/ba9e3e	3676811	AGAT_CONVERTSPGXF2GXF (Bombus_impatiens)	COMPLETED	0	2026-03-30 16:12:15.676	3m 59s	3m 58s	99.2%	2.3 GB	2.3 GB	824.2 MB	589.4 MB
25	2c/0c79e9	3672964	AGAT_CONVERTSPGXF2GXF (Caenorhabditis_elegans)	COMPLETED	0	2026-03-30 16:11:53.705	4m 27s	4m 26s	99.8%	2.7 GB	2.7 GB	990.5 MB	687 MB
6	11/d89800	3691391	AGAT_CONVERTSPGXF2GXF (Apis_dorsata)	COMPLETED	0	2026-03-30 16:13:45.910	3m 3s	3m 2s	98.8%	1.8 GB	1.8 GB	663.4 MB	472.7 MB
1	31/cdd4ea	3697727	AGAT_CONVERTSPGXF2GXF (Acromyrmex_echinatior)	COMPLETED	0	2026-03-30 16:14:24.050	2m 49s	2m 48s	98.7%	1.7 GB	1.7 GB	611.8 MB	438.6 MB
