FamilyID	Ancistrocerus_nigricornis<1>	Mischocyttarus_mexicanus<2>	Polistes_dominula<3>	Polistes_fuscatus<4>	Polistes_exclamans<5>	Polistes_canadensis<6>	Vespula_germanica<7>	Vespula_pensylvanica<8>	Vespula_vulgaris<9>	Vespa_crabro<10>	Vespa_mandarinia<11>	Vespa_velutina<12>	Dolichovespula_media<13>	Dolichovespula_saxonica<14>	Dolichovespula_sylvestris<15>	Anoplius_nigerrimus<16>	Tiphia_femorata<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>
N0.HOG0000005	0.601002	0.546951	0.530432	0.520023	0.512107	0.512107	0.5	0.5	0.5	0.520345	0.0104388	0.53409	0.5	0.5	0.5	0.612512	0.165187	N/A	0.52935	0.535941	0.529519	0.518134	0.511063	0.50821	0.534014	0.0374342	0.5	0.507897	1.07381e-05	0.514628	0.0189604	0.5	0.513908
N0.HOG0000007	0.601002	0.546951	0.0454098	0.538851	0.0121793	8.118e-05	0.518973	0.5	0.5	0.505207	0.00780307	0.0132828	0.523789	0.517541	0.00884604	0.688607	0.688607	N/A	0.0842396	0.535941	0.529519	0.518134	0.00556166	0.516219	0.534014	0.525064	0.0213398	0.507897	0.527417	0.503719	0.512667	0.506591	0.527239
N0.HOG0000008	0.148657	0.546951	4.16261e-13	0.520023	0.5	0.5	0.5	0.5	0.5	0.525235	2.88141e-08	0.525906	0.0355391	0.0262332	0.517541	0.612512	0.165187	N/A	0.52935	0.535941	0.529519	0.518134	0.511063	0.0122984	0.534014	0.0374342	0.5	0.507897	0.000386216	8.26065e-05	0.512667	0.506591	0.513908
N0.HOG0000015	0.148657	0.0698472	0.530432	0.0101096	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.00705817	0.612512	N/A	0.52935	0.535941	0.529519	0.518134	0.511063	0.0122984	0.0507211	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.513908
N0.HOG0000019	0.82842	0.739444	0.68003	0.0799046	0.0484895	0.585527	0.084954	0.0630137	0.0221703	0.0664827	2.99371e-11	0.108988	0.66332	0.628925	0.197457	0.109923	1.39486e-05	N/A	0.659552	0.124687	0.676122	0.620667	0.578977	0.560333	0.133969	0.669733	0.608729	0.564747	0.681088	0.532018	0.598334	0.55487	0.586116
N0.HOG0000028	0.00824667	0.139852	0.646442	0.60372	0.0364541	0.00113336	9.16301e-06	0.0428258	0.528456	0.53005	0.53005	0.000604013	0.182965	0.140445	0.5925	0.13724	0.0258411	N/A	0.623517	0.0903894	0.642957	0.59522	0.561151	0.546344	0.65965	0.625249	0.577011	0.544677	0.634751	0.5217	0.569204	0.537652	0.564025
N0.HOG0000029	0.861572	0.00164829	0.0161446	0.0191458	0.594584	0.00263708	0.00164881	0.546076	0.0695707	0.544052	0.544052	0.571903	0.0365549	0.650288	0.650288	0.432694	0.0142513	N/A	0.703376	0.731231	0.704149	0.220666	0.587462	0.567075	0.164353	0.694499	0.195823	0.577366	0.0192109	0.532018	0.616024	0.565799	0.61603
N0.HOG0000031	0.148657	0.0698472	0.530432	0.5	0.5	0.5	0.518973	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.612512	0.165187	N/A	0.52935	0.535941	0.529519	0.518134	0.0165633	0.5	0.534014	0.525064	0.0213398	0.0118292	0.5	0.5	0.5	0.5	0.513908
N0.HOG0000036	0.761791	0.117817	0.194078	0.588932	5.83593e-10	0.0850206	0.56972	0.51925	0.51925	0.520345	0.520345	0.53409	0.0480051	0.564868	0.564868	0.439461	0.778538	N/A	0.603015	0.622549	0.0596464	0.581436	0.551788	0.539089	0.616961	0.589647	0.553514	0.530486	0.597051	0.514628	0.547873	0.525595	0.552273
N0.HOG0000037	0.148657	0.546951	0.0454098	0.0101096	0.512107	0.0181232	0.00957497	0.50492	0.50492	0.510332	0.510332	0.517502	0.523789	0.0262332	0.00884604	0.0589792	0.612512	N/A	0.52935	0.535941	0.529519	0.518134	0.511063	0.50821	0.534014	0.525064	0.514261	0.507897	0.013891	0.507396	0.512667	0.506591	0.513908
N0.HOG0000039	0.0133957	0.0431005	0.224451	0.60372	0.566413	0.100449	7.85421e-05	0.537395	0.537395	0.539457	1.5692e-05	0.557374	0.129459	0.0979064	0.564868	0.841496	0.109923	N/A	0.245537	0.666467	0.642957	0.59522	0.561151	0.546344	0.65965	0.625249	0.00478335	0.544677	0.0824419	0.0130347	0.00124207	0.525595	0.586116
N0.HOG0000040	0.567356	0.000784341	0.68003	0.630799	4.58222e-06	0.585527	0.0757661	0.532958	0.532958	0.539457	0.539457	0.564734	0.0946737	0.605272	0.605272	0.130715	0.853735	N/A	0.675393	0.702103	0.676122	0.620667	0.578977	0.560333	0.694663	0.655965	0.150064	0.558214	0.666843	0.528617	0.588985	0.0743573	0.596498
N0.HOG0000042	0.811614	0.678895	0.194078	1.98213e-10	0.54587	0.54587	0.0757661	0.000256725	0.532958	0.00119165	0.539457	0.0979773	0.649851	0.0701027	4.14448e-06	0.000139852	0.0383709	N/A	0.642309	0.666467	0.21896	0.581436	0.551788	0.0588799	0.0243326	0.655965	0.150064	0.558214	0.666843	0.528617	0.588985	0.549243	0.575299
N0.HOG0000043	0.00178622	0.652597	0.606305	0.573235	0.000464459	0.54587	0.56972	0.0218339	0.514544	3.07425e-07	0.0104388	0.53409	0.0480051	0.549924	0.0751225	0.741236	0.741236	N/A	0.580623	0.0547408	0.603529	0.566886	0.54211	0.531653	0.616961	0.589647	0.0806716	0.530486	0.597051	0.514628	0.547873	0.0384794	0.540019
N0.HOG0000044	0.0566467	0.652597	0.161248	0.0403628	0.54587	2.4881e-08	0.057138	0.528456	0.528456	0.0104388	0.520345	0.00024586	0.0598552	0.579046	4.27108e-07	0.0258411	0.805672	N/A	0.623517	0.645672	0.189141	0.566886	0.54211	0.531653	0.639378	0.0630647	0.577011	0.537666	0.177593	0.514628	0.55874	0.531683	0.564025
N0.HOG0000045	0.246002	0.0480119	0.530432	0.520023	0.00608963	0.0181232	0.536874	0.5	0.5	0.00261004	0.505207	0.0132828	0.0240663	0.0512521	0.534164	3.09058e-09	0.13724	N/A	0.623517	0.000313132	0.55645	0.0529381	0.511063	0.50821	0.564597	0.548259	0.000114558	0.515607	0.0789207	0.503719	0.524855	0.513052	0.564025
N0.HOG0000046	0.672517	3.02375e-13	9.58504e-08	0.00912672	1.57417e-06	2.18255e-12	0.5	0.5	0.5	0.00261004	0.505207	0.0132828	0.0355391	0.0262332	0.00884604	0.118525	0.01204	N/A	0.556142	0.568055	1.91911e-06	0.59522	0.561151	0.546344	0.096936	0.0374342	0.5	0.507897	0.527417	0.503719	0.512667	0.506591	0.527239
N0.HOG0000048	0.724016	0.546951	0.0454098	0.0299322	1.11944e-11	0.523776	0.000903289	0.5	0.5	0.5	0.5	0.5	0.545895	0.00500542	0.579046	0.174655	0.741236	N/A	0.580623	0.14621	0.0847017	0.518134	0.511063	0.00412185	0.564597	0.548259	0.000114558	0.515607	0.00046611	0.5	0.524855	5.72631e-07	0.540019
N0.HOG0000051	0.156475	0.0698472	0.0454098	0.0299322	0.512107	0.0181232	0.5	0.5	0.5	0.5	0.5	0.5	0.0355391	0.0262332	0.00884604	0.00261102	8.69167e-08	N/A	0.580623	0.00233105	0.529519	0.518134	0.511063	0.50821	0.534014	0.0374342	0.5	0.507897	0.0409321	0.5	0.512667	0.506591	0.540019
N0.HOG0000052	0.790045	0.275474	0.0765721	0.134812	0.556327	0.556327	0.584788	0.51925	0.51925	0.00013822	0.525235	0.542058	0.619961	0.00710352	0.5925	0.778538	0.0480271	N/A	0.0593038	0.645672	0.624106	0.581436	0.551788	0.539089	0.639378	0.608111	0.0989992	0.537666	0.616668	0.518184	0.0318179	0.537652	0.552273
N0.HOG0000053	0.00928304	0.587395	1.02145e-07	5.99991e-12	0.512107	0.512107	0.5	0.5	0.5	0.510332	0.0154981	0.517502	0.0355391	0.517541	0.0262332	5.88716e-05	0.28447	N/A	0.556142	0.568055	0.55645	1.19221e-05	0.551788	1.58775e-08	0.096936	0.0374342	0.5	0.507897	0.013891	0.507396	0.512667	0.506591	0.527239
N0.HOG0000054	0.410484	0.622332	0.00535723	0.0303102	0.523776	0.0356655	0.553769	0.000144403	0.514544	0.0130467	0.525235	0.542058	0.523789	0.517541	0.517541	3.23061e-05	0.130715	N/A	0.000504685	0.186304	0.581045	0.55152	0.532104	0.0360982	0.592133	0.569739	0.54099	0.523135	0.00436433	0.518184	0.000259251	0.506591	0.0487961
N0.HOG0000055	1.88604e-06	7.43155e-05	0.0914234	0.60372	0.566413	0.0364541	0.599027	0.528456	0.528456	0.53479	0.53479	0.557374	0.619961	0.5925	0.5925	0.312004	0.312004	N/A	0.642309	0.666467	0.642957	0.59522	0.561151	0.546344	0.65965	0.625249	0.577011	0.544677	0.0824419	0.525178	0.569204	0.537652	0.575299
N0.HOG0000057	0.538781	0.701816	0.646442	0.157762	0.566413	0.100449	0.599027	0.528456	0.0428258	0.520345	0.520345	0.53409	0.157034	0.579046	0.579046	0.0984942	0.0984942	N/A	0.0150569	0.286711	0.642957	0.59522	0.561151	0.546344	0.65965	0.625249	0.577011	0.0673755	0.177593	0.514628	0.55874	0.531683	0.0625146
N0.HOG0000058	0.146669	0.346934	9.83252e-05	0.0701443	0.100449	0.566413	0.0757661	0.0563715	0.537395	0.0524136	0.000913928	0.557374	0.000407316	0.639876	0.0870968	0.00291254	0.00124828	N/A	0.642309	0.107731	0.660247	0.608283	0.57021	0.0806946	0.118187	0.655965	0.598597	0.558214	0.257454	0.525178	0.588985	0.00188681	0.575299
N0.HOG0000059	0.0566467	0.0122559	0.106025	0.0701443	0.00156986	0.576142	0.584788	0.523887	0.523887	0.520345	0.520345	0.53409	0.619961	0.0528281	0.5925	0.13724	0.00150154	N/A	0.623517	0.645672	0.624106	0.00533648	0.57021	0.553424	0.639378	0.608111	0.565513	0.537666	0.177593	0.514628	0.0318179	0.537652	0.564025
N0.HOG0000061	0.761791	0.0316912	0.194078	0.0503618	5.83593e-10	8.45033e-08	0.5	0.5	0.5	0.505207	0.00780307	3.53417e-07	0.5	0.5	0.5	0.778538	0.0480271	N/A	0.603015	0.622549	0.0596464	0.581436	0.551788	0.539089	0.000118964	0.0374342	0.5	0.507897	0.527417	0.503719	0.0189604	0.5	0.552273
N0.HOG0000062	0.146669	0.701816	0.224451	0.60372	0.566413	0.100449	0.150509	0.537395	0.537395	0.53479	0.0524136	0.557374	0.0715953	0.5925	0.140445	0.53229	0.825944	N/A	0.642309	0.666467	0.642957	0.59522	0.561151	0.546344	0.65965	0.625249	0.00478335	0.544677	0.0824419	0.525178	0.569204	0.537652	0.575299
N0.HOG0000063	0.790045	0.000735236	0.646442	0.60372	0.566413	0.566413	0.599027	0.528456	0.528456	0.53005	0.53005	0.542058	0.157034	0.579046	0.00162841	0.805672	0.271471	N/A	0.623517	0.645672	0.624106	0.0455997	0.561151	0.546344	0.639378	0.0630647	0.577011	0.537666	0.616668	0.0093124	0.55874	0.531683	0.564025
N0.HOG0000066	0.148657	0.00555885	0.558115	0.538851	0.523776	0.523776	0.536874	0.509768	0.509768	0.510332	0.510332	0.517502	0.0688558	0.534164	0.534164	0.612512	0.165187	N/A	0.52935	0.0182811	0.55645	0.535288	0.52176	0.516219	0.564597	0.548259	0.527915	0.515607	0.5526	0.507396	0.524855	0.513052	0.513908
N0.HOG0000068	0.724016	0.185267	0.583324	0.556564	0.000236095	0.535024	0.553769	0.514544	0.514544	0.0104388	0.520345	0.53409	0.036067	0.549924	0.549924	0.372669	0.372669	N/A	0.580623	0.596792	0.581045	0.55152	0.532104	0.524031	0.592133	0.569739	0.54099	0.523135	0.041626	0.514628	0.536584	0.519386	0.540019
