#Taxon_ID	Increase	Decrease
<22>	27	62
Polistes_dominula<3>	122	361
<30>	14	46
<19>	8	42
Ancistrocerus_nigricornis<1>	307	1176
Polistes_canadensis<6>	75	338
<28>	14	36
<24>	40	57
<20>	75	100
<21>	65	138
Vespula_pensylvanica<8>	26	85
<27>	21	211
Polistes_fuscatus<4>	105	326
Vespula_germanica<7>	380	270
Mischocyttarus_mexicanus<2>	1138	759
<33>	3	1
Polistes_exclamans<5>	549	450
<29>	66	251
<23>	28	27
Vespa_mandarinia<11>	50	183
Dolichovespula_sylvestris<15>	282	503
<31>	55	156
Dolichovespula_media<13>	337	498
<32>	38	81
Vespa_velutina<12>	46	215
<25>	54	86
Vespula_vulgaris<9>	28	118
<26>	26	85
Tiphia_femorata<17>	428	1089
Vespa_crabro<10>	45	100
Dolichovespula_saxonica<14>	320	231
Anoplius_nigerrimus<16>	264	683
