#FamilyID	Likelihood of Family
N0.HOG0000005	-31.078
N0.HOG0000007	-47.7419
N0.HOG0000008	-87.5128
N0.HOG0000015	-27.416
N0.HOG0000019	-69.6797
N0.HOG0000021	-29.4399
N0.HOG0000028	-57.0556
N0.HOG0000029	-56.6803
N0.HOG0000031	-26.6631
N0.HOG0000035	-26.83
N0.HOG0000036	-43.0485
N0.HOG0000037	-38.0264
N0.HOG0000039	-66.9466
N0.HOG0000040	-42.1276
N0.HOG0000042	-89.0024
N0.HOG0000043	-59.313
N0.HOG0000044	-73.68
N0.HOG0000045	-78.1526
N0.HOG0000046	-139.361
N0.HOG0000048	-91.3776
N0.HOG0000051	-68.6127
N0.HOG0000052	-39.3554
N0.HOG0000053	-110.583
N0.HOG0000054	-70.7671
N0.HOG0000055	-41.3892
N0.HOG0000057	-37.2739
N0.HOG0000058	-76.0028
N0.HOG0000059	-46.5534
N0.HOG0000061	-93.183
N0.HOG0000062	-35.4626
N0.HOG0000063	-34.4993
N0.HOG0000064	-27.6741
N0.HOG0000066	-22.6039
N0.HOG0000068	-29.6292
N0.HOG0000069	-57.1192
N0.HOG0000070	-19.9357
N0.HOG0000085	-18.9853
N0.HOG0000087	-24.7576
N0.HOG0000088	-15.4417
N0.HOG0000089	-52.0464
N0.HOG0000090	-59.5097
N0.HOG0000091	-39.6766
N0.HOG0000092	-11.7207
N0.HOG0000094	-27.2533
N0.HOG0000095	-8.88427
N0.HOG0000097	-47.3745
N0.HOG0000098	-103.811
N0.HOG0000099	-29.7821
N0.HOG0000100	-31.8971
N0.HOG0000103	-86.4802
N0.HOG0000104	-36.2219
N0.HOG0000106	-34.2031
N0.HOG0000109	-20.5246
N0.HOG0000112	-21.3353
N0.HOG0000113	-35.598
N0.HOG0000114	-96.5218
N0.HOG0000115	-16.0257
N0.HOG0000116	-16.2876
N0.HOG0000117	-20.2814
N0.HOG0000121	-42.1832
N0.HOG0000123	-31.7117
N0.HOG0000124	-15.0648
N0.HOG0000125	-38.7878
