HOG	n_species_present	n_max	n_min	total_genes	differential	exclusion_reason	excluded
N0.HOG0000101	15	87	0	267	87	differential_gt_threshold	TRUE
N0.HOG0001568	2	81	0	82	81	differential_gt_threshold	TRUE
N0.HOG0000047	10	59	0	110	59	differential_gt_threshold	TRUE
N0.HOG0000320	8	59	0	91	59	differential_gt_threshold	TRUE
N0.HOG0000032	17	57	1	322	56	differential_gt_threshold	TRUE
N0.HOG0000096	14	55	0	127	55	differential_gt_threshold	TRUE
N0.HOG0000158	16	55	0	261	55	differential_gt_threshold	TRUE
N0.HOG0008776	4	53	0	60	53	differential_gt_threshold	TRUE
N0.HOG0000018	11	48	0	105	48	differential_gt_threshold	TRUE
N0.HOG0000951	6	47	0	82	47	differential_gt_threshold	TRUE
N0.HOG0000128	11	45	0	107	45	differential_gt_threshold	TRUE
N0.HOG0000041	14	42	0	122	42	differential_gt_threshold	TRUE
N0.HOG0000050	17	44	3	348	41	differential_gt_threshold	TRUE
N0.HOG0000004	17	47	9	373	38	differential_gt_threshold	TRUE
N0.HOG0000122	7	37	0	67	37	differential_gt_threshold	TRUE
N0.HOG0000120	8	35	0	92	35	differential_gt_threshold	TRUE
N0.HOG0000417	4	35	0	70	35	differential_gt_threshold	TRUE
N0.HOG0000582	14	35	0	114	35	differential_gt_threshold	TRUE
N0.HOG0000009	15	34	0	165	34	differential_gt_threshold	TRUE
N0.HOG0000038	11	34	0	153	34	differential_gt_threshold	TRUE
N0.HOG0000049	17	34	1	261	33	differential_gt_threshold	TRUE
N0.HOG0000108	17	32	1	215	31	differential_gt_threshold	TRUE
N0.HOG0000056	17	31	1	190	30	differential_gt_threshold	TRUE
N0.HOG0000291	17	31	1	76	30	differential_gt_threshold	TRUE
N0.HOG0008387	5	30	0	65	30	differential_gt_threshold	TRUE
N0.HOG0009144	3	30	0	41	30	differential_gt_threshold	TRUE
N0.HOG0000118	11	29	0	73	29	differential_gt_threshold	TRUE
N0.HOG0000022	17	28	2	163	26	differential_gt_threshold	TRUE
N0.HOG0000060	17	29	3	226	26	differential_gt_threshold	TRUE
N0.HOG0000105	17	27	1	152	26	differential_gt_threshold	TRUE
N0.HOG0002570	7	26	0	46	26	differential_gt_threshold	TRUE
N0.HOG0009968	2	26	0	27	26	differential_gt_threshold	TRUE
N0.HOG0009969	2	25	0	27	25	differential_gt_threshold	TRUE
N0.HOG0000002	12	24	0	70	24	differential_gt_threshold	TRUE
N0.HOG0000017	14	24	0	148	24	differential_gt_threshold	TRUE
N0.HOG0002263	8	24	0	52	24	differential_gt_threshold	TRUE
N0.HOG0008623	14	24	0	39	24	differential_gt_threshold	TRUE
N0.HOG0000003	16	23	0	230	23	differential_gt_threshold	TRUE
N0.HOG0000129	6	23	0	65	23	differential_gt_threshold	TRUE
N0.HOG0002073	5	23	0	78	23	differential_gt_threshold	TRUE
N0.HOG0000001	12	21	0	63	21	differential_gt_threshold	TRUE
