Desc	HOG	Ancistrocerus_nigricornis	Mischocyttarus_mexicanus	Polistes_dominula	Polistes_fuscatus	Polistes_exclamans	Polistes_canadensis	Vespula_germanica	Vespula_pensylvanica	Vespula_vulgaris	Vespa_crabro	Vespa_mandarinia	Vespa_velutina	Dolichovespula_media	Dolichovespula_saxonica	Dolichovespula_sylvestris	Anoplius_nigerrimus	Tiphia_femorata
n/a	N0.HOG0000001	1	4	14	21	5	7	1	0	0	0	0	1	1	2	2	4	0
n/a	N0.HOG0000002	1	17	4	24	10	3	1	0	0	0	0	0	1	1	1	5	2
n/a	N0.HOG0000003	14	10	19	23	16	18	16	10	11	19	19	18	14	11	7	5	0
n/a	N0.HOG0000004	25	14	15	16	11	9	29	20	22	17	21	19	28	28	17	47	35
n/a	N0.HOG0000009	1	2	9	34	3	7	2	0	0	26	34	31	4	2	5	4	1
n/a	N0.HOG0000017	17	2	2	24	18	8	5	0	0	0	1	1	8	9	15	20	18
n/a	N0.HOG0000018	0	6	14	12	11	3	0	0	0	1	4	1	0	0	3	48	2
n/a	N0.HOG0000022	9	28	13	5	27	2	15	2	12	3	3	4	11	14	2	8	5
n/a	N0.HOG0000032	1	57	32	44	56	25	2	2	2	18	22	27	15	8	4	4	3
n/a	N0.HOG0000038	0	12	3	10	34	9	0	0	0	30	32	12	0	5	3	3	0
n/a	N0.HOG0000041	1	12	2	14	42	5	0	0	0	11	24	4	2	1	1	2	1
n/a	N0.HOG0000047	0	59	4	1	33	1	0	0	0	3	0	0	1	2	1	5	0
n/a	N0.HOG0000049	2	12	12	13	13	7	29	19	26	17	17	14	17	23	5	1	34
n/a	N0.HOG0000050	14	8	8	6	15	6	30	35	37	30	39	44	28	22	18	3	5
n/a	N0.HOG0000056	4	10	24	31	18	16	10	9	10	8	12	14	7	9	5	1	2
n/a	N0.HOG0000060	4	12	29	27	8	11	12	9	10	19	16	20	9	19	15	3	3
n/a	N0.HOG0000096	1	14	4	55	4	10	0	1	0	6	9	10	3	2	0	7	1
n/a	N0.HOG0000101	0	26	27	87	24	10	8	3	6	23	17	15	12	4	1	0	4
n/a	N0.HOG0000105	2	11	6	7	13	6	5	11	11	11	20	27	9	4	6	1	2
n/a	N0.HOG0000108	1	13	6	4	1	2	30	32	29	16	15	24	13	11	16	1	1
n/a	N0.HOG0000118	2	29	2	3	0	0	0	0	0	2	9	0	2	3	8	9	4
n/a	N0.HOG0000120	0	5	1	13	35	3	0	0	0	5	25	5	0	0	0	0	0
n/a	N0.HOG0000122	0	1	16	37	4	7	0	0	0	0	0	0	0	0	0	1	1
n/a	N0.HOG0000128	4	45	1	2	18	0	4	0	0	0	0	0	8	4	9	8	4
n/a	N0.HOG0000129	4	0	0	0	0	0	0	0	0	0	0	0	4	8	7	23	19
n/a	N0.HOG0000158	8	18	13	10	22	2	29	15	20	17	32	55	8	7	4	1	0
n/a	N0.HOG0000291	5	2	2	4	3	2	3	2	3	2	2	1	3	3	3	5	31
n/a	N0.HOG0000307	2	21	0	0	0	0	1	0	0	1	0	0	3	0	1	5	2
n/a	N0.HOG0000320	0	24	0	1	59	2	0	1	1	0	2	1	0	0	0	0	0
n/a	N0.HOG0000417	0	35	3	29	3	0	0	0	0	0	0	0	0	0	0	0	0
n/a	N0.HOG0000582	0	10	9	35	15	10	5	2	2	5	3	4	6	5	3	0	0
n/a	N0.HOG0000951	0	17	3	9	47	5	0	0	0	0	0	0	0	0	0	1	0
n/a	N0.HOG0001568	0	81	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
n/a	N0.HOG0002073	0	21	23	19	8	7	0	0	0	0	0	0	0	0	0	0	0
n/a	N0.HOG0002263	0	14	2	3	24	3	0	0	0	3	1	2	0	0	0	0	0
n/a	N0.HOG0002570	1	7	2	7	26	2	0	0	0	0	0	0	0	0	0	1	0
n/a	N0.HOG0008387	0	30	5	19	8	3	0	0	0	0	0	0	0	0	0	0	0
n/a	N0.HOG0008623	1	1	1	1	1	1	3	1	24	1	1	0	1	1	1	0	0
n/a	N0.HOG0008776	0	0	2	2	53	3	0	0	0	0	0	0	0	0	0	0	0
n/a	N0.HOG0009144	0	10	0	0	30	0	0	0	0	0	1	0	0	0	0	0	0
n/a	N0.HOG0009670	0	21	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
n/a	N0.HOG0009968	0	26	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
n/a	N0.HOG0009969	0	25	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
