#Taxon_ID	Increase	Decrease
<22>	31	56
<30>	17	45
<19>	49	1
Ancistrocerus_nigricornis<1>	324	1111
Polistes_canadensis<6>	75	339
Polistes_fuscatus<4>	104	322
<28>	16	35
<24>	44	57
<20>	133	77
<21>	74	134
Vespula_pensylvanica<8>	27	85
<27>	24	200
Vespula_germanica<7>	390	266
Mischocyttarus_mexicanus<2>	1141	753
<33>	53	0
Polistes_exclamans<5>	548	450
<29>	67	238
Polistes_dominula<3>	122	353
<23>	31	27
Tiphia_femorata<17>	463	1012
Vespa_velutina<12>	47	213
<31>	133	154
Dolichovespula_media<13>	271	490
<32>	40	82
<25>	52	78
Vespula_vulgaris<9>	28	117
<26>	32	83
Anoplius_nigerrimus<16>	311	609
Vespa_crabro<10>	45	100
Dolichovespula_saxonica<14>	270	242
Vespa_mandarinia<11>	50	183
Dolichovespula_sylvestris<15>	270	552
