FamilyID	Ancistrocerus_nigricornis<1>	Mischocyttarus_mexicanus<2>	Polistes_dominula<3>	Polistes_fuscatus<4>	Polistes_exclamans<5>	Polistes_canadensis<6>	Vespula_germanica<7>	Vespula_pensylvanica<8>	Vespula_vulgaris<9>	Vespa_crabro<10>	Vespa_mandarinia<11>	Vespa_velutina<12>	Dolichovespula_media<13>	Dolichovespula_saxonica<14>	Dolichovespula_sylvestris<15>	Anoplius_nigerrimus<16>	Tiphia_femorata<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>
N0.HOG0000005	1	1	1	1	1	1	0	0	0	4	5	4	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	4	4	0	0	1
N0.HOG0000007	1	1	0	2	3	0	1	0	0	1	0	0	1	1	2	2	2	1	1	1	1	1	2	2	1	1	0	1	1	1	1	1	2
N0.HOG0000008	0	1	9	1	0	0	0	0	0	5	9	3	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	3	5	1	1	1
N0.HOG0000015	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1
N0.HOG0000019	7	8	8	9	9	8	10	8	10	8	15	8	9	9	8	9	1	5	6	8	8	8	8	8	9	9	9	9	9	9	9	9	5
N0.HOG0000021	5	7	8	7	7	7	7	6	7	7	7	7	5	7	5	5	7	5	5	7	7	7	7	7	7	7	7	7	7	7	6	6	5
N0.HOG0000028	2	7	6	6	7	4	10	5	6	6	6	4	5	5	6	3	8	3	3	5	6	6	6	6	5	6	6	5	5	6	5	5	3
N0.HOG0000029	10	14	7	11	9	7	14	10	9	9	9	9	13	11	11	11	6	6	9	10	10	9	9	9	10	10	10	10	9	9	11	11	6
N0.HOG0000031	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1
N0.HOG0000035	5	7	6	6	9	6	6	6	6	6	6	6	6	6	5	5	6	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	5
N0.HOG0000036	4	6	4	5	11	4	4	4	4	4	4	4	5	4	4	3	4	4	4	4	5	5	5	5	4	4	4	4	4	4	4	4	4
N0.HOG0000037	0	1	0	2	1	0	2	1	1	2	2	2	1	0	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1
N0.HOG0000039	3	8	5	6	6	5	3	8	8	8	11	7	3	3	4	7	9	5	5	6	6	6	6	6	6	6	8	6	7	8	4	4	6
N0.HOG0000040	7	12	8	8	12	8	9	7	7	8	8	8	9	7	7	10	8	6	7	8	8	8	8	8	8	8	7	8	8	8	8	7	7
N0.HOG0000042	6	5	4	12	4	4	9	5	7	10	8	7	8	9	4	1	9	5	5	5	5	5	5	4	8	8	7	8	8	8	8	8	5
N0.HOG0000043	0	4	4	4	2	4	4	2	3	1	5	4	5	3	2	3	3	3	3	4	4	4	4	4	4	4	3	4	4	4	4	3	3
