#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
N0.HOG0000005	1.20356e-05	4.70345e-35	2.18191e-10	2.15565e-25	N/S
N0.HOG0000005	0.00342583	1.6046e-25	2.18191e-10	7.35409e-16	N/S
N0.HOG0000005	0.0476762	9.16083e-20	2.18191e-10	4.19853e-10	N/S
N0.HOG0000005	0.276994	1.18313e-15	2.18191e-10	5.42245e-06	N/S
N0.HOG0000005	1.11814	1.84445e-12	2.18191e-10	0.00845336	N/S
N0.HOG0000005	4.55375	2.16346e-10	2.18191e-10	0.991541	*
N0.HOG0000007	1.20356e-05	1.00072e-27	7.96034e-15	1.25713e-13	N/S
N0.HOG0000007	0.00342583	4.17797e-25	7.96034e-15	5.24849e-11	N/S
N0.HOG0000007	0.0476762	7.04387e-23	7.96034e-15	8.8487e-09	N/S
N0.HOG0000007	0.276994	3.05757e-20	7.96034e-15	3.841e-06	N/S
N0.HOG0000007	1.11814	2.28874e-17	7.96034e-15	0.00287517	N/S
N0.HOG0000007	4.55375	7.93742e-15	7.96034e-15	0.997121	*
N0.HOG0000008	1.20356e-05	1.16256e-112	2.40143e-24	4.84113e-89	N/S
N0.HOG0000008	0.00342583	7.23662e-77	2.40143e-24	3.01346e-53	N/S
N0.HOG0000008	0.0476762	4.15656e-59	2.40143e-24	1.73087e-35	N/S
N0.HOG0000008	0.276994	4.18723e-46	2.40143e-24	1.74364e-22	N/S
N0.HOG0000008	1.11814	4.72617e-35	2.40143e-24	1.96807e-11	N/S
N0.HOG0000008	4.55375	2.40143e-24	2.40143e-24	1	*
N0.HOG0000015	1.20356e-05	2.60791e-24	2.42508e-08	1.07539e-16	N/S
N0.HOG0000015	0.00342583	2.58742e-19	2.42508e-08	1.06694e-11	N/S
N0.HOG0000015	0.0476762	2.00125e-16	2.42508e-08	8.25228e-09	N/S
N0.HOG0000015	0.276994	1.77461e-13	2.42508e-08	7.31774e-06	N/S
N0.HOG0000015	1.11814	1.3045e-10	2.42508e-08	0.00537919	N/S
N0.HOG0000015	4.55375	2.41202e-08	2.42508e-08	0.994613	*
N0.HOG0000019	1.20356e-05	1.07395e-105	3.00959e-26	3.56844e-80	N/S
N0.HOG0000019	0.00342583	1.58944e-73	3.00959e-26	5.28126e-48	N/S
N0.HOG0000019	0.0476762	1.20128e-57	3.00959e-26	3.99153e-32	N/S
N0.HOG0000019	0.276994	9.2677e-45	3.00959e-26	3.0794e-19	N/S
N0.HOG0000019	1.11814	5.55963e-34	3.00959e-26	1.84731e-08	N/S
N0.HOG0000019	4.55375	3.00959e-26	3.00959e-26	1	*
N0.HOG0000021	1.20356e-05	7.31894e-34	4.6348e-17	1.57913e-17	N/S
N0.HOG0000021	0.00342583	9.88599e-29	4.6348e-17	2.13299e-12	N/S
N0.HOG0000021	0.0476762	1.6736e-24	4.6348e-17	3.61095e-08	N/S
N0.HOG0000021	0.276994	4.40307e-20	4.6348e-17	0.000950003	N/S
N0.HOG0000021	1.11814	1.37025e-17	4.6348e-17	0.295644	N/S
N0.HOG0000021	4.55375	3.26015e-17	4.6348e-17	0.703406	N/S
N0.HOG0000028	1.20356e-05	8.96419e-88	1.75138e-20	5.11834e-68	N/S
N0.HOG0000028	0.00342583	1.67318e-60	1.75138e-20	9.55348e-41	N/S
N0.HOG0000028	0.0476762	1.2724e-46	1.75138e-20	7.26514e-27	N/S
N0.HOG0000028	0.276994	2.00863e-35	1.75138e-20	1.14688e-15	N/S
N0.HOG0000028	1.11814	2.50222e-26	1.75138e-20	1.42871e-06	N/S
N0.HOG0000028	4.55375	1.75138e-20	1.75138e-20	0.999999	*
N0.HOG0000029	1.20356e-05	2.90151e-131	8.2738e-25	3.50686e-107	N/S
N0.HOG0000029	0.00342583	1.06352e-84	8.2738e-25	1.28541e-60	N/S
N0.HOG0000029	0.0476762	9.49448e-62	8.2738e-25	1.14754e-37	N/S
N0.HOG0000029	0.276994	5.60383e-45	8.2738e-25	6.77298e-21	N/S
N0.HOG0000029	1.11814	8.63912e-33	8.2738e-25	1.04415e-08	N/S
N0.HOG0000029	4.55375	8.2738e-25	8.2738e-25	1	*
N0.HOG0000031	1.20356e-05	2.3945e-13	1.0705e-06	2.23682e-07	N/S
N0.HOG0000031	0.00342583	7.18487e-11	1.0705e-06	6.71172e-05	N/S
N0.HOG0000031	0.0476762	1.30641e-09	1.0705e-06	0.00122037	N/S
N0.HOG0000031	0.276994	1.60056e-08	1.0705e-06	0.0149516	N/S
