#Taxon_ID	Increase	Decrease
<22>	12	9
<30>	6	6
Ancistrocerus_nigricornis<1>	4	19
Polistes_fuscatus<4>	18	7
<24>	5	13
<20>	18	4
<21>	21	5
<27>	3	13
Mischocyttarus_mexicanus<2>	16	11
Polistes_exclamans<5>	16	7
<29>	13	9
Polistes_dominula<3>	11	14
Tiphia_femorata<17>	5	18
Dolichovespula_media<13>	10	7
<25>	8	17
<26>	7	14
Anoplius_nigerrimus<16>	15	10
Polistes_canadensis<6>	1	20
<23>	13	5
<19>	10	7
Vespula_pensylvanica<8>	1	9
Vespula_germanica<7>	10	4
<33>	5	7
<31>	4	11
<32>	4	8
Dolichovespula_sylvestris<15>	7	10
Vespula_vulgaris<9>	5	2
Vespa_crabro<10>	4	9
Dolichovespula_saxonica<14>	8	8
Vespa_mandarinia<11>	12	5
<28>	4	0
Vespa_velutina<12>	9	8
