FamilyID	Ancistrocerus_nigricornis<1>	Mischocyttarus_mexicanus<2>	Polistes_dominula<3>	Polistes_fuscatus<4>	Polistes_exclamans<5>	Polistes_canadensis<6>	Vespula_germanica<7>	Vespula_pensylvanica<8>	Vespula_vulgaris<9>	Vespa_crabro<10>	Vespa_mandarinia<11>	Vespa_velutina<12>	Dolichovespula_media<13>	Dolichovespula_saxonica<14>	Dolichovespula_sylvestris<15>	Anoplius_nigerrimus<16>	Tiphia_femorata<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>
N0.HOG0000001	1	4	14	21	5	7	1	0	0	0	0	1	1	2	2	4	0	2	2	3	6	9	9	7	2	1	0	2	1	0	2	2	2
N0.HOG0000002	1	17	4	24	10	3	1	0	0	0	0	0	1	1	1	5	2	3	3	3	8	8	10	9	1	1	0	1	0	0	1	1	3
N0.HOG0000003	14	10	19	23	16	18	16	10	11	19	19	18	14	11	7	5	0	7	10	12	14	17	18	17	13	13	11	13	18	19	12	11	6
N0.HOG0000004	25	14	15	16	11	9	29	20	22	17	21	19	28	28	17	47	35	29	25	20	16	14	13	11	22	24	21	22	19	19	23	23	31
N0.HOG0000009	1	2	9	34	3	7	2	0	0	26	34	31	4	2	5	4	1	3	3	4	5	8	9	7	4	2	0	5	27	28	4	4	3
N0.HOG0000017	17	2	2	24	18	8	5	0	0	0	1	1	8	9	15	20	18	13	11	7	7	8	13	13	5	4	0	5	1	1	8	9	14
N0.HOG0000018	0	6	14	12	11	3	0	0	0	1	4	1	0	0	3	48	2	7	4	4	7	9	9	9	1	0	0	1	1	1	1	1	8
N0.HOG0000022	9	28	13	5	27	2	15	2	12	3	3	4	11	14	2	8	5	8	9	10	13	11	10	10	9	10	9	9	4	3	9	9	8
N0.HOG0000032	1	57	32	44	56	25	2	2	2	18	22	27	15	8	4	4	3	7	8	15	33	36	39	39	10	3	2	11	21	21	10	8	6
N0.HOG0000038	0	12	3	10	34	9	0	0	0	30	32	12	0	5	3	3	0	2	2	4	7	7	10	13	4	0	0	4	17	27	3	3	2
N0.HOG0000041	1	12	2	14	42	5	0	0	0	11	24	4	2	1	1	2	1	2	2	3	7	8	12	14	2	0	0	2	6	11	2	1	2
N0.HOG0000047	0	59	4	1	33	1	0	0	0	3	0	0	1	2	1	5	0	2	2	3	9	6	6	7	1	0	0	1	1	1	1	1	2
N0.HOG0000049	2	12	12	13	13	7	29	19	26	17	17	14	17	23	5	1	34	11	10	13	12	12	12	11	17	23	23	17	16	17	16	16	11
N0.HOG0000050	14	8	8	6	15	6	30	35	37	30	39	44	28	22	18	3	5	10	12	15	10	9	9	9	26	31	35	27	37	36	25	23	9
N0.HOG0000056	4	10	24	31	18	16	10	9	10	8	12	14	7	9	5	1	2	5	6	10	14	19	20	18	9	10	10	9	11	11	8	8	4
N0.HOG0000060	4	12	29	27	8	11	12	9	10	19	16	20	9	19	15	3	3	7	8	12	15	18	17	12	13	11	10	14	18	18	14	15	6
N0.HOG0000096	1	14	4	55	4	10	0	1	0	6	9	10	3	2	0	7	1	4	4	5	9	10	13	10	3	1	1	3	8	8	3	2	4
N0.HOG0000101	0	26	27	87	24	10	8	3	6	23	17	15	12	4	1	0	4	4	5	11	22	28	32	23	9	7	6	9	16	18	8	5	4
N0.HOG0000105	2	11	6	7	13	6	5	11	11	11	20	27	9	4	6	1	2	3	4	7	8	8	8	8	9	9	11	9	18	17	7	6	3
N0.HOG0000108	1	13	6	4	1	2	30	32	29	16	15	24	13	11	16	1	1	3	4	8	7	5	4	2	16	27	30	16	18	16	14	14	3
N0.HOG0000118	2	29	2	3	0	0	0	0	0	2	9	0	2	3	8	9	4	4	3	3	4	2	2	0	2	0	0	2	2	2	2	3	4
N0.HOG0000122	0	1	16	37	4	7	0	0	0	0	0	0	0	0	0	1	1	1	1	1	4	10	11	7	0	0	0	0	0	0	0	0	1
N0.HOG0000128	4	45	1	2	18	0	4	0	0	0	0	0	8	4	9	8	4	6	6	6	8	4	4	4	4	3	0	4	0	0	6	6	6
N0.HOG0000129	4	0	0	0	0	0	0	0	0	0	0	0	4	8	7	23	19	8	4	1	0	0	0	0	1	0	0	1	0	0	4	6	10
N0.HOG0000158	8	18	13	10	22	2	29	15	20	17	32	55	8	7	4	1	0	1	5	11	13	12	11	11	15	20	18	15	32	29	9	7	0
N0.HOG0000291	5	2	2	4	3	2	3	2	3	2	2	1	3	3	3	5	31	7	5	3	3	3	3	3	3	3	3	3	2	2	3	3	8
N0.HOG0000307	2	21	0	0	0	0	1	0	0	1	0	0	3	0	1	5	2	2	2	2	2	0	0	0	1	1	0	1	1	1	1	1	2
N0.HOG0000951	0	17	3	9	47	5	0	0	0	0	0	0	0	0	0	1	0	1	1	2	8	8	10	12	0	0	0	0	0	0	0	0	0
N0.HOG0002570	1	7	2	7	26	2	0	0	0	0	0	0	0	0	0	1	0	1	1	1	4	4	6	7	0	0	0	0	0	0	0	0	1
