#FamilyID	pvalue	Significant at 0.05
N0.HOG0000001	0.001	y
N0.HOG0000002	0	y
N0.HOG0000003	0.006	y
N0.HOG0000004	0.007	y
N0.HOG0000009	0	y
N0.HOG0000017	0	y
N0.HOG0000018	0	y
N0.HOG0000022	0	y
N0.HOG0000032	0	y
N0.HOG0000038	0	y
N0.HOG0000041	0	y
N0.HOG0000047	0	y
N0.HOG0000049	0	y
N0.HOG0000050	0	y
N0.HOG0000056	0.001	y
N0.HOG0000060	0	y
N0.HOG0000096	0	y
N0.HOG0000101	0	y
N0.HOG0000105	0	y
N0.HOG0000108	0	y
N0.HOG0000118	0	y
N0.HOG0000122	0	y
N0.HOG0000128	0	y
N0.HOG0000129	0.632	n
N0.HOG0000158	0	y
N0.HOG0000291	0.796	n
N0.HOG0000307	0.001	y
N0.HOG0000951	0	y
N0.HOG0002570	0	y
