HOG	lambda	neg_lnL
N0.HOG0000001	0.007987220436635	56.3731
N0.HOG0000002	0.0079872204349749	67.7457
N0.HOG0000003	0.0079872203002509	57.6842
N0.HOG0000004	0.0079872204299127	65.3131
N0.HOG0000009	0.0079872202236508	125.004
N0.HOG0000017	0.0079872205734047	96.1342
N0.HOG0000018	0.007987220443964	83.6718
N0.HOG0000022	0.0079872200674425	137.696
N0.HOG0000032	0.007987220289082	132.653
N0.HOG0000038	0.0079872201006348	139.643
N0.HOG0000041	0.0079872209231836	155.522
N0.HOG0000047	0.0079872206276324	165.195
N0.HOG0000049	0.007987220166259	92.2547
N0.HOG0000050	0.0079872200030567	86.2265
N0.HOG0000056	0.0079872204760587	65.9848
N0.HOG0000060	0.0079872209286774	76.237
N0.HOG0000096	0.0079872202672491	135.866
N0.HOG0000101	0.0079872204026271	181.564
N0.HOG0000105	0.0079872206899322	83.1629
N0.HOG0000108	0.0079872203217119	72.5782
N0.HOG0000118	0.0079872200608285	91.8826
N0.HOG0000120	0.0016941996169254	-0
N0.HOG0000122	0.0079872205953422	78.4554
N0.HOG0000128	0.0079872205661078	126.603
N0.HOG0000129	0.0079872201924086	44.5457
N0.HOG0000158	0.0090909094665257	168.574
N0.HOG0000291	0.0079872199849293	42.0369
N0.HOG0000307	0.0079872204920579	54.3629
N0.HOG0000320	0.0019543043134132	-0
N0.HOG0000417	0.003066754827784	-0
N0.HOG0000582	0.0040290408741067	-0
N0.HOG0000951	0.0090909090134913	111.747
N0.HOG0001568	0.003035342081393	-0
N0.HOG0002073	0.0026017884487558	-0
N0.HOG0002263	0.0040258425451063	-0
N0.HOG0002570	0.0079872206170091	70.6725
N0.HOG0008387	0.00021234359106555	-0
N0.HOG0008623	0.00311967653122	-0
N0.HOG0008776	0.0047233050934864	-0
N0.HOG0009144	0.0016326817736152	-0
N0.HOG0009670	0.0011724356533681	-0
N0.HOG0009968	0.0037732191441856	-0
N0.HOG0009969	0.003843248371138	-0
