focus_node	focus_label	HOG	OG	change	pvalue	msa_file	tree_file	msa_found	tree_found
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000114	OG0000066	6	2.43212e-08	""	OG0000066_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000504	OG0000365	3	8.39423e-05	""	OG0000365_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000042	OG0000019	3	0.00101874	""	OG0000019_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000155	OG0000091	2	0.00304223	""	OG0000091_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000814	OG0000632	2	0.00304223	""	OG0000632_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000162	OG0000098	2	0.00695568	""	OG0000098_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000442	OG0000312	1	0.0176761	""	OG0000312_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000484	OG0000347	1	0.0176761	""	OG0000347_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000744	OG0000577	1	0.0176761	""	OG0000577_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000794	OG0000618	1	0.0176761	""	OG0000618_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000808	OG0000627	1	0.0176761	""	OG0000627_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000817	OG0000634	1	0.0176761	""	OG0000634_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000854	OG0000665	1	0.0176761	""	OG0000665_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0001139	OG0000900	1	0.0176761	""	OG0000900_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0001157	OG0000916	1	0.0176761	""	OG0000916_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0001246	OG0001001	1	0.0176761	""	OG0001001_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0001284	OG0001039	1	0.0176761	""	OG0001039_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0001351	OG0001095	1	0.0176761	""	OG0001095_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0001384	OG0001125	1	0.0176761	""	OG0001125_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0010095	OG0009659	1	0.0176761	""	OG0009659_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000069	OG0000042	2	0.0330191	""	OG0000042_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000094	OG0000047	1	0.0353568	""	OG0000047_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000223	OG0000142	1	0.0353568	""	OG0000142_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000058	OG0000034	3	0.000638988	""	OG0000034_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000103	OG0000055	2	0.000699837	""	OG0000055_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000299	OG0000205	2	0.000699837	""	OG0000205_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000470	OG0000334	2	0.000699837	""	OG0000334_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000518	OG0000379	2	0.000699837	""	OG0000379_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000592	OG0000443	2	0.000699837	""	OG0000443_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000639	OG0000485	2	0.000699837	""	OG0000485_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000028	OG0000009	2	0.00774613	""	OG0000009_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000066	OG0000041	1	0.018693	""	OG0000041_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000351	OG0000243	1	0.018693	""	OG0000243_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000382	OG0000265	1	0.018693	""	OG0000265_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000465	OG0000329	1	0.018693	""	OG0000329_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000496	OG0000358	1	0.018693	""	OG0000358_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000504	OG0000365	1	0.018693	""	OG0000365_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000550	OG0000403	1	0.018693	""	OG0000403_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000589	OG0000440	1	0.018693	""	OG0000440_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000633	OG0000479	1	0.018693	""	OG0000479_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000643	OG0000489	1	0.018693	""	OG0000489_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000658	OG0000504	1	0.018693	""	OG0000504_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000666	OG0000510	1	0.018693	""	OG0000510_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000668	OG0000512	1	0.018693	""	OG0000512_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000679	OG0000521	1	0.018693	""	OG0000521_tree.txt	FALSE	TRUE
