Node	HOG	change	pvalue	direction	significant
19	N0.HOG0000291	-2		contraction	FALSE
19	N0.HOG0000129	-4		contraction	FALSE
19	N0.HOG0000158	4	0.000838375	expansion	TRUE
19	N0.HOG0000003	3	0.0722938	expansion	FALSE
19	N0.HOG0000018	-3	0.12178	contraction	FALSE
19	N0.HOG0000105	1	0.261486	expansion	FALSE
19	N0.HOG0000108	1	0.261486	expansion	FALSE
19	N0.HOG0000050	2	0.279972	expansion	FALSE
19	N0.HOG0000004	-4	0.296856	contraction	FALSE
19	N0.HOG0000101	1	0.328118	expansion	FALSE
19	N0.HOG0000056	1	0.382571	expansion	FALSE
19	N0.HOG0000017	-2	0.461366	contraction	FALSE
19	N0.HOG0000032	1	0.464217	expansion	FALSE
19	N0.HOG0000060	1	0.464217	expansion	FALSE
19	N0.HOG0000022	1	0.495283	expansion	FALSE
19	N0.HOG0000118	-1	0.54912	contraction	FALSE
19	N0.HOG0000049	-1	0.729001	contraction	FALSE
20	N0.HOG0000291	-2		contraction	FALSE
20	N0.HOG0000129	-3		contraction	FALSE
20	N0.HOG0000101	6	0.00287406	expansion	TRUE
20	N0.HOG0000032	7	0.00419161	expansion	TRUE
20	N0.HOG0000158	6	0.00447613	expansion	TRUE
20	N0.HOG0000108	4	0.0154907	expansion	TRUE
20	N0.HOG0000056	4	0.0413745	expansion	TRUE
20	N0.HOG0000105	3	0.0656751	expansion	FALSE
20	N0.HOG0000060	4	0.0754966	expansion	FALSE
20	N0.HOG0000038	2	0.0979145	expansion	FALSE
20	N0.HOG0000951	1	0.113658	expansion	FALSE
20	N0.HOG0000017	-4	0.128378	contraction	FALSE
20	N0.HOG0000049	3	0.163919	expansion	FALSE
20	N0.HOG0000004	-5	0.201209	contraction	FALSE
20	N0.HOG0000050	3	0.203329	expansion	FALSE
20	N0.HOG0000001	1	0.213888	expansion	FALSE
20	N0.HOG0000041	1	0.213888	expansion	FALSE
20	N0.HOG0000047	1	0.213888	expansion	FALSE
20	N0.HOG0000009	1	0.304886	expansion	FALSE
20	N0.HOG0000003	2	0.33037	expansion	FALSE
20	N0.HOG0000096	1	0.376159	expansion	FALSE
20	N0.HOG0000022	1	0.565919	expansion	FALSE
21	N0.HOG0000129	-1		contraction	FALSE
21	N0.HOG0000032	18	1.23381e-07	expansion	TRUE
21	N0.HOG0000101	11	5.91175e-05	expansion	TRUE
21	N0.HOG0000951	6	0.000172209	expansion	TRUE
21	N0.HOG0000047	6	0.000278592	expansion	TRUE
21	N0.HOG0000002	5	0.00115509	expansion	TRUE
21	N0.HOG0000122	3	0.00306604	expansion	TRUE
21	N0.HOG0002570	3	0.00306604	expansion	TRUE
21	N0.HOG0000041	4	0.00460137	expansion	TRUE
21	N0.HOG0000096	4	0.0165151	expansion	TRUE
21	N0.HOG0000001	3	0.0237129	expansion	TRUE
21	N0.HOG0000018	3	0.0449508	expansion	TRUE
21	N0.HOG0000038	3	0.0449508	expansion	TRUE
21	N0.HOG0000050	-5	0.0461354	contraction	TRUE
21	N0.HOG0000056	4	0.0790988	expansion	FALSE
21	N0.HOG0000022	3	0.125944	expansion	FALSE
21	N0.HOG0000060	3	0.160576	expansion	FALSE
21	N0.HOG0000128	2	0.16716	expansion	FALSE
21	N0.HOG0000004	-4	0.210387	contraction	FALSE
21	N0.HOG0000118	1	0.262654	expansion	FALSE
21	N0.HOG0000003	2	0.32601	expansion	FALSE
21	N0.HOG0000009	1	0.329439	expansion	FALSE
21	N0.HOG0000158	2	0.335453	expansion	FALSE
21	N0.HOG0000105	1	0.465574	expansion	FALSE
21	N0.HOG0000108	-1	0.682285	contraction	FALSE
21	N0.HOG0000049	-1	0.751777	contraction	FALSE
22	N0.HOG0000122	6	6.73238e-05	expansion	TRUE
22	N0.HOG0000128	-4	0.00758112	contraction	TRUE
22	N0.HOG0000307	-2	0.0122525	contraction	TRUE
22	N0.HOG0000056	5	0.0183195	expansion	TRUE
22	N0.HOG0000101	6	0.0212828	expansion	TRUE
22	N0.HOG0000009	3	0.0263277	expansion	TRUE
22	N0.HOG0000001	3	0.0390494	expansion	TRUE
22	N0.HOG0000047	-3	0.0462545	contraction	TRUE
22	N0.HOG0000118	-2	0.0487388	contraction	TRUE
22	N0.HOG0000003	3	0.100376	expansion	FALSE
22	N0.HOG0000018	2	0.111168	expansion	FALSE
22	N0.HOG0000060	3	0.111279	expansion	FALSE
22	N0.HOG0000108	-2	0.202054	contraction	FALSE
22	N0.HOG0000032	3	0.276769	expansion	FALSE
22	N0.HOG0000022	-2	0.344834	contraction	FALSE
22	N0.HOG0000017	1	0.349824	expansion	FALSE
22	N0.HOG0000041	1	0.349824	expansion	FALSE
22	N0.HOG0000004	-2	0.395006	contraction	FALSE
22	N0.HOG0000096	1	0.409686	expansion	FALSE
22	N0.HOG0000050	-1	0.637131	contraction	FALSE
22	N0.HOG0000158	-1	0.701351	contraction	FALSE
23	N0.HOG0000017	5	0.000522856	expansion	TRUE
23	N0.HOG0000041	4	0.00381833	expansion	TRUE
23	N0.HOG0000038	3	0.0188247	expansion	TRUE
23	N0.HOG0000096	3	0.0407888	expansion	TRUE
23	N0.HOG0002570	2	0.0486185	expansion	TRUE
23	N0.HOG0000002	2	0.0670651	expansion	FALSE
23	N0.HOG0000951	2	0.0806988	expansion	FALSE
23	N0.HOG0000101	4	0.0841978	expansion	FALSE
23	N0.HOG0000032	3	0.182407	expansion	FALSE
23	N0.HOG0000009	1	0.270723	expansion	FALSE
23	N0.HOG0000122	1	0.319631	expansion	FALSE
23	N0.HOG0000108	-1	0.380003	contraction	FALSE
23	N0.HOG0000003	1	0.443356	expansion	FALSE
23	N0.HOG0000056	1	0.468974	expansion	FALSE
23	N0.HOG0000022	-1	0.55939	contraction	FALSE
23	N0.HOG0000158	-1	0.602774	contraction	FALSE
23	N0.HOG0000004	-1	0.608164	contraction	FALSE
23	N0.HOG0000060	-1	0.653977	contraction	FALSE
24	N0.HOG0000101	-9	2.81461e-05	contraction	TRUE
24	N0.HOG0000060	-5	0.00117028	contraction	TRUE
24	N0.HOG0000122	-4	0.00162547	contraction	TRUE
24	N0.HOG0000118	-2	0.00231199	contraction	TRUE
24	N0.HOG0000108	-2	0.0112413	contraction	TRUE
24	N0.HOG0000096	-3	0.0182076	contraction	TRUE
24	N0.HOG0000038	3	0.0216842	expansion	TRUE
24	N0.HOG0000001	-2	0.0502724	contraction	FALSE
24	N0.HOG0000009	-2	0.0502724	contraction	FALSE
24	N0.HOG0000951	2	0.0723402	expansion	FALSE
24	N0.HOG0000041	2	0.0782351	expansion	FALSE
24	N0.HOG0000047	1	0.16559	expansion	FALSE
24	N0.HOG0002570	1	0.16559	expansion	FALSE
24	N0.HOG0000004	-2	0.166778	contraction	FALSE
24	N0.HOG0000056	-2	0.257724	contraction	FALSE
24	N0.HOG0000002	-1	0.472337	contraction	FALSE
24	N0.HOG0000049	-1	0.513853	contraction	FALSE
24	N0.HOG0000003	-1	0.599357	contraction	FALSE
25	N0.HOG0000050	11	0.000801973	expansion	TRUE
25	N0.HOG0000108	8	0.000943866	expansion	TRUE
25	N0.HOG0000018	-3	0.0308355	contraction	TRUE
25	N0.HOG0000951	-2	0.0517414	contraction	FALSE
25	N0.HOG0000032	-5	0.0630034	contraction	FALSE
25	N0.HOG0000158	4	0.0970054	expansion	FALSE
25	N0.HOG0000049	4	0.103794	expansion	FALSE
25	N0.HOG0000002	-2	0.158494	contraction	FALSE
25	N0.HOG0000047	-2	0.158494	contraction	FALSE
25	N0.HOG0000105	2	0.230267	expansion	FALSE
25	N0.HOG0000096	-2	0.267129	contraction	FALSE
25	N0.HOG0000122	-1	0.269496	contraction	FALSE
25	N0.HOG0002570	-1	0.269496	contraction	FALSE
25	N0.HOG0000128	-2	0.310926	contraction	FALSE
25	N0.HOG0000017	-2	0.348718	contraction	FALSE
25	N0.HOG0000307	-1	0.422707	contraction	FALSE
25	N0.HOG0000101	-2	0.457669	contraction	FALSE
25	N0.HOG0000004	2	0.482813	expansion	FALSE
25	N0.HOG0000001	-1	0.517204	contraction	FALSE
25	N0.HOG0000041	-1	0.517204	contraction	FALSE
25	N0.HOG0000118	-1	0.517204	contraction	FALSE
25	N0.HOG0000003	1	0.611175	expansion	FALSE
25	N0.HOG0000060	1	0.611175	expansion	FALSE
25	N0.HOG0000022	-1	0.736463	contraction	FALSE
25	N0.HOG0000056	-1	0.736463	contraction	FALSE
26	N0.HOG0000129	-1		contraction	FALSE
26	N0.HOG0000032	-7	0.000130021	contraction	TRUE
26	N0.HOG0000108	11	0.000202037	expansion	TRUE
26	N0.HOG0000038	-4	0.000824985	contraction	TRUE
26	N0.HOG0000041	-2	0.0234074	contraction	TRUE
26	N0.HOG0000118	-2	0.0234074	contraction	TRUE
26	N0.HOG0000049	6	0.0258568	expansion	TRUE
26	N0.HOG0000096	-2	0.0514934	contraction	FALSE
26	N0.HOG0000158	5	0.0639934	expansion	FALSE
26	N0.HOG0000050	5	0.0967743	expansion	FALSE
26	N0.HOG0000009	-2	0.156109	contraction	FALSE
26	N0.HOG0000018	-1	0.215339	contraction	FALSE
26	N0.HOG0000047	-1	0.215339	contraction	FALSE
26	N0.HOG0000101	-2	0.334813	contraction	FALSE
26	N0.HOG0000001	-1	0.354352	contraction	FALSE
26	N0.HOG0000060	-2	0.423709	contraction	FALSE
26	N0.HOG0000004	2	0.432382	expansion	FALSE
26	N0.HOG0000022	1	0.48579	expansion	FALSE
26	N0.HOG0000056	1	0.48579	expansion	FALSE
26	N0.HOG0000128	-1	0.514746	contraction	FALSE
26	N0.HOG0000017	-1	0.563706	contraction	FALSE
27	N0.HOG0000017	-4	8.01667e-05	contraction	TRUE
27	N0.HOG0000128	-3	0.00129189	contraction	TRUE
27	N0.HOG0000009	-2	0.0074496	contraction	TRUE
