focus_node	focus_label	HOG	OG	change	pvalue	msa_file	tree_file	msa_found	tree_found
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000050	OG0000026	11	0.000801973	""	OG0000026_tree.txt	FALSE	TRUE
25	node25_Vespa_crabro-Vespula_vulgaris	N0.HOG0000108	OG0000060	8	0.000943866	""	OG0000060_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000101	OG0000053	6	0.00287406	""	OG0000053_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000032	OG0000011	7	0.00419161	""	OG0000011_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000158	OG0000094	6	0.00447613	""	OG0000094_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000108	OG0000060	4	0.0154907	""	OG0000060_tree.txt	FALSE	TRUE
20	node20_Vespa_crabro-Polistes_dominula	N0.HOG0000056	OG0000032	4	0.0413745	""	OG0000032_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000032	OG0000011	18	1.23381e-07	""	OG0000011_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000101	OG0000053	11	5.91175e-05	""	OG0000053_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000951	OG0000748	6	0.000172209	""	OG0000748_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000047	OG0000024	6	0.000278592	""	OG0000024_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000002	OG0000000	5	0.00115509	""	OG0000000_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000122	OG0000073	3	0.00306604	""	OG0000073_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0002570	OG0002237	3	0.00306604	""	OG0002237_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000041	OG0000018	4	0.00460137	""	OG0000018_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000096	OG0000048	4	0.0165151	""	OG0000048_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000001	OG0000000	3	0.0237129	""	OG0000000_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000018	OG0000005	3	0.0449508	""	OG0000005_tree.txt	FALSE	TRUE
21	node21_Polistes_dominula-Mischocyttarus_mexicanus	N0.HOG0000038	OG0000015	3	0.0449508	""	OG0000015_tree.txt	FALSE	TRUE
