FamilyID	TaxonID	Count	Change	Pvalue
N0.HOG0000005	22	1	0	0.518548
N0.HOG0000005	30	4	0	0.514963
N0.HOG0000005	19	1	0	0.530008
N0.HOG0000005	Ancistrocerus_nigricornis	1	0	0.602993
N0.HOG0000005	Polistes_canadensis	1	0	0.512386
N0.HOG0000005	Polistes_fuscatus	1	0	0.520478
N0.HOG0000005	28	1	0	0.50808
N0.HOG0000005	24	1	0	0.508401
N0.HOG0000005	20	1	0	0.536738
N0.HOG0000005	21	1	0	0.53018
N0.HOG0000005	Vespula_pensylvanica	0	0	0.5
N0.HOG0000005	27	0	0	0.5
N0.HOG0000005	Vespula_germanica	0	0	0.5
N0.HOG0000005	Mischocyttarus_mexicanus	1	0	0.547972
N0.HOG0000005	33	1	0	0.514228
N0.HOG0000005	Polistes_exclamans	1	0	0.512386
N0.HOG0000005	29	4	3	1.14893e-05
N0.HOG0000005	Polistes_dominula	1	0	0.531113
N0.HOG0000005	23	1	0	0.511318
N0.HOG0000005	Tiphia_femorata	0	-1	0.16829
N0.HOG0000005	Vespa_velutina	4	0	0.534847
N0.HOG0000005	31	0	-1	0.0193959
N0.HOG0000005	Dolichovespula_media	0	0	0.5
N0.HOG0000005	32	0	0	0.5
N0.HOG0000005	25	1	0	0.53477
N0.HOG0000005	Vespula_vulgaris	0	0	0.5
N0.HOG0000005	26	0	-1	0.038275
N0.HOG0000005	Anoplius_nigerrimus	1	0	0.614679
N0.HOG0000005	Vespa_crabro	4	0	0.520807
N0.HOG0000005	Dolichovespula_saxonica	0	0	0.5
N0.HOG0000005	Vespa_mandarinia	5	1	0.0106824
N0.HOG0000005	Dolichovespula_sylvestris	0	0	0.5
N0.HOG0000007	22	1	0	0.518548
N0.HOG0000007	30	1	0	0.503805
N0.HOG0000007	19	1	0	0.530008
N0.HOG0000007	Ancistrocerus_nigricornis	1	0	0.602993
N0.HOG0000007	Polistes_canadensis	0	-2	8.51512e-05
N0.HOG0000007	Polistes_fuscatus	2	0	0.539708
N0.HOG0000007	28	1	0	0.50808
N0.HOG0000007	24	2	0	0.51659
N0.HOG0000007	20	1	0	0.536738
N0.HOG0000007	21	1	0	0.53018
N0.HOG0000007	Vespula_pensylvanica	0	0	0.5
N0.HOG0000007	27	0	-1	0.0218285
N0.HOG0000007	Vespula_germanica	1	0	0.519406
N0.HOG0000007	Mischocyttarus_mexicanus	1	0	0.547972
N0.HOG0000007	33	2	1	0.00716376
N0.HOG0000007	Polistes_exclamans	3	1	0.0124616
N0.HOG0000007	29	1	0	0.528033
N0.HOG0000007	Polistes_dominula	0	-1	0.0464199
N0.HOG0000007	23	2	1	0.00569069
N0.HOG0000007	Tiphia_femorata	2	0	0.69156
N0.HOG0000007	Vespa_velutina	0	-1	0.0135898
N0.HOG0000007	31	1	0	0.512959
N0.HOG0000007	Dolichovespula_media	1	0	0.524327
N0.HOG0000007	32	1	0	0.506744
N0.HOG0000007	25	1	0	0.53477
N0.HOG0000007	Vespula_vulgaris	0	0	0.5
N0.HOG0000007	26	1	0	0.525629
N0.HOG0000007	Anoplius_nigerrimus	2	0	0.69156
N0.HOG0000007	Vespa_crabro	1	0	0.505328
N0.HOG0000007	Dolichovespula_saxonica	1	0	0.517942
N0.HOG0000007	Vespa_mandarinia	0	-1	0.00798461
N0.HOG0000007	Dolichovespula_sylvestris	2	1	0.0090498
N0.HOG0000008	22	1	0	0.518548
N0.HOG0000008	30	5	2	8.64987e-05
N0.HOG0000008	19	1	0	0.530008
N0.HOG0000008	Ancistrocerus_nigricornis	0	-1	0.151523
N0.HOG0000008	Polistes_canadensis	0	0	0.5
N0.HOG0000008	Polistes_fuscatus	1	0	0.520478
N0.HOG0000008	28	1	0	0.50808
N0.HOG0000008	24	0	-1	0.0125831
N0.HOG0000008	20	1	0	0.536738
N0.HOG0000008	21	1	0	0.53018
N0.HOG0000008	Vespula_pensylvanica	0	0	0.5
N0.HOG0000008	27	0	0	0.5
N0.HOG0000008	Vespula_germanica	0	0	0.5
N0.HOG0000008	Mischocyttarus_mexicanus	1	0	0.547972
N0.HOG0000008	33	1	0	0.514228
N0.HOG0000008	Polistes_exclamans	0	0	0.5
N0.HOG0000008	29	3	2	0.000404019
N0.HOG0000008	Polistes_dominula	9	8	4.98244e-13
N0.HOG0000008	23	1	0	0.511318
N0.HOG0000008	Tiphia_femorata	0	-1	0.16829
N0.HOG0000008	Vespa_velutina	3	0	0.52649
N0.HOG0000008	31	1	0	0.512959
N0.HOG0000008	Dolichovespula_media	0	-1	0.0363393
N0.HOG0000008	32	1	0	0.506744
N0.HOG0000008	25	1	0	0.53477
N0.HOG0000008	Vespula_vulgaris	0	0	0.5
N0.HOG0000008	26	0	-1	0.038275
N0.HOG0000008	Anoplius_nigerrimus	1	0	0.614679
N0.HOG0000008	Vespa_crabro	5	0	0.525804
N0.HOG0000008	Dolichovespula_saxonica	0	-1	0.0268305
N0.HOG0000008	Vespa_mandarinia	9	4	3.15785e-08
N0.HOG0000008	Dolichovespula_sylvestris	1	0	0.517942
N0.HOG0000015	22	1	0	0.518548
N0.HOG0000015	30	0	0	0.5
N0.HOG0000015	19	1	0	0.530008
N0.HOG0000015	Ancistrocerus_nigricornis	0	-1	0.151523
N0.HOG0000015	Polistes_canadensis	0	0	0.5
N0.HOG0000015	Polistes_fuscatus	2	1	0.0103418
N0.HOG0000015	28	0	0	0.5
