FamilyID	TaxonID	Count	Change	Pvalue
N0.HOG0000001	22	9	3	0.0390494
N0.HOG0000001	30	0	-1	0.0394406
N0.HOG0000001	Ancistrocerus_nigricornis	1	-1	0.867478
N0.HOG0000001	Polistes_fuscatus	21	12	2.48735e-07
N0.HOG0000001	24	7	-2	0.0502724
N0.HOG0000001	20	3	1	0.213888
N0.HOG0000001	21	6	3	0.0237129
N0.HOG0000001	27	0	-1	0.135862
N0.HOG0000001	Mischocyttarus_mexicanus	4	-2	0.391332
N0.HOG0000001	Polistes_exclamans	5	-2	0.127263
N0.HOG0000001	29	1	-1	0.374188
N0.HOG0000001	Polistes_dominula	14	5	0.0228469
N0.HOG0000001	Tiphia_femorata	0	-2	0.625
N0.HOG0000001	Dolichovespula_media	1	-1	0.342971
N0.HOG0000001	25	2	-1	0.517204
N0.HOG0000001	26	1	-1	0.354352
N0.HOG0000001	Anoplius_nigerrimus	4	2	0.148437
N0.HOG0000001	Polistes_canadensis	7	0	0.797277
N0.HOG0000001	23	9	0	0.81572
N0.HOG0000001	19	2	0	0.756021
N0.HOG0000001	Vespula_pensylvanica	0	0	0.5
N0.HOG0000001	Vespula_germanica	1	0	0.617734
N0.HOG0000001	33	2	0	0.656683
N0.HOG0000001	31	2	0	0.645926
N0.HOG0000001	32	2	0	0.58505
N0.HOG0000001	Dolichovespula_sylvestris	2	0	0.685397
N0.HOG0000001	Vespula_vulgaris	0	0	0.5
N0.HOG0000001	Vespa_crabro	0	0	0.5
N0.HOG0000001	Dolichovespula_saxonica	2	0	0.685397
N0.HOG0000001	Vespa_mandarinia	0	0	0.5
N0.HOG0000001	28	2	0	0.599384
N0.HOG0000001	Vespa_velutina	1	0	0.560095
N0.HOG0000002	22	8	0	0.854507
N0.HOG0000002	30	0	0	0.5
N0.HOG0000002	Ancistrocerus_nigricornis	1	-2	0.707418
N0.HOG0000002	Polistes_fuscatus	24	14	2.18452e-08
N0.HOG0000002	24	9	-1	0.472337
N0.HOG0000002	20	3	0	0.830568
N0.HOG0000002	21	8	5	0.00115509
N0.HOG0000002	27	0	-1	0.135862
N0.HOG0000002	Mischocyttarus_mexicanus	17	9	0.00191703
N0.HOG0000002	Polistes_exclamans	10	1	0.315935
N0.HOG0000002	29	0	-1	0.230505
N0.HOG0000002	Polistes_dominula	4	-4	0.03164
N0.HOG0000002	Tiphia_femorata	2	-1	0.90625
N0.HOG0000002	Dolichovespula_media	1	0	0.64182
N0.HOG0000002	25	1	-2	0.158494
N0.HOG0000002	26	1	0	0.647868
N0.HOG0000002	Anoplius_nigerrimus	5	2	0.185547
N0.HOG0000002	Polistes_canadensis	3	-6	1.68258e-05
N0.HOG0000002	23	10	2	0.0670651
N0.HOG0000002	19	3	0	0.806433
N0.HOG0000002	Vespula_pensylvanica	0	0	0.5
N0.HOG0000002	Vespula_germanica	1	0	0.617734
N0.HOG0000002	33	3	0	0.706445
N0.HOG0000002	31	1	0	0.582988
N0.HOG0000002	32	1	0	0.545594
N0.HOG0000002	Dolichovespula_sylvestris	1	0	0.610176
N0.HOG0000002	Vespula_vulgaris	0	0	0.5
N0.HOG0000002	Vespa_crabro	0	0	0.5
N0.HOG0000002	Dolichovespula_saxonica	1	0	0.610176
N0.HOG0000002	Vespa_mandarinia	0	0	0.5
N0.HOG0000002	28	1	0	0.553981
N0.HOG0000002	Vespa_velutina	0	0	0.5
N0.HOG0000003	22	17	3	0.100376
N0.HOG0000003	30	19	1	0.218354
N0.HOG0000003	Ancistrocerus_nigricornis	14	4	0.239427
N0.HOG0000003	Polistes_fuscatus	23	5	0.0443098
N0.HOG0000003	24	17	-1	0.599357
N0.HOG0000003	20	12	2	0.33037
N0.HOG0000003	21	14	2	0.32601
N0.HOG0000003	27	11	-2	0.28671
N0.HOG0000003	Mischocyttarus_mexicanus	10	-4	0.239027
N0.HOG0000003	Polistes_exclamans	16	-1	0.659573
N0.HOG0000003	29	18	5	0.0436319
N0.HOG0000003	Polistes_dominula	19	2	0.41853
N0.HOG0000003	Tiphia_femorata	0	-6	0.0395966
N0.HOG0000003	Dolichovespula_media	14	2	0.272981
N0.HOG0000003	25	13	1	0.611175
N0.HOG0000003	26	13	0	0.90829
N0.HOG0000003	Anoplius_nigerrimus	5	-1	0.938477
N0.HOG0000003	Polistes_canadensis	18	1	0.464193
N0.HOG0000003	23	18	1	0.443356
N0.HOG0000003	19	10	3	0.0722938
