task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f4/2c39a2	148810	CAFE_PREP (1)	COMPLETED	0	2026-08-16 09:22:41.250	29m 19s	17m 54s	237.2%	673 MB	1.5 GB	26.6 MB	35.7 MB
41	fe/124f49	148903	CAFE_RUN_LARGE (N0.HOG0002073)	COMPLETED	0	2026-08-16 09:52:10.315	4m 55s	1m 59s	191.0%	71.1 MB	185.4 MB	121 KB	9.4 KB
13	b6/006656	148872	CAFE_RUN_LARGE (N0.HOG0000017)	COMPLETED	0	2026-08-16 09:52:06.058	5m 4s	2m 9s	181.5%	71 MB	185.7 MB	131.8 KB	19.8 KB
8	02/b79ffb	148869	CAFE_RUN_LARGE (N0.HOG0000001)	COMPLETED	0	2026-08-16 09:52:05.690	5m 10s	2m 13s	185.5%	71 MB	185.7 MB	132.1 KB	20.6 KB
11	ae/d7e519	148873	CAFE_RUN_LARGE (N0.HOG0000004)	COMPLETED	0	2026-08-16 09:52:06.149	5m 9s	2m 13s	181.5%	71 MB	185.7 MB	131.9 KB	20.2 KB
10	0c/3155fb	148870	CAFE_RUN_LARGE (N0.HOG0000003)	COMPLETED	0	2026-08-16 09:52:05.848	5m 30s	2m 17s	170.7%	71 MB	185.7 MB	131.8 KB	19.8 KB
22	25/d55896	148882	CAFE_RUN_LARGE (N0.HOG0000056)	COMPLETED	0	2026-08-16 09:52:07.543	5m 28s	2m 31s	191.7%	71 MB	185.7 MB	123.7 KB	20.3 KB
48	ba/e0bf1c	148909	CAFE_RUN_LARGE (N0.HOG0009670)	COMPLETED	0	2026-08-16 09:52:10.909	5m 24s	2m 28s	164.5%	71.1 MB	185.3 MB	120.7 KB	8.7 KB
9	1a/862ec5	148871	CAFE_RUN_LARGE (N0.HOG0000002)	COMPLETED	0	2026-08-16 09:52:05.949	5m 34s	2m 28s	174.6%	71 MB	185.7 MB	132.5 KB	21.8 KB
21	13/a3185b	148883	CAFE_RUN_LARGE (N0.HOG0000050)	COMPLETED	0	2026-08-16 09:52:07.635	5m 33s	2m 35s	191.6%	71.1 MB	185.7 MB	124 KB	21.3 KB
