analysis	species	source	busco_version	lineage	mode	busco_C_pct	busco_S_pct	busco_D_pct	busco_F_pct	busco_M_pct	busco_n	n_complete	n_single	n_duplicated	n_fragmented	n_missing
Vespidae_plus_outgroups	Ancistrocerus_nigricornis	ENSEMBL	6.0.0	insecta_odb10	proteins	93.5	92.1	1.4	0.6	5.9	1367	1278	1259	19	8	81
Vespidae_plus_outgroups	Anoplius_nigerrimus	ENSEMBL	6.0.0	insecta_odb10	proteins	96.1	95	1.2	0.5	3.4	1367	1314	1298	16	7	46
Vespidae_plus_outgroups	Dolichovespula_media	ENSEMBL	6.0.0	insecta_odb10	proteins	95.3	94.1	1.2	0.9	3.8	1367	1303	1286	17	12	52
Vespidae_plus_outgroups	Dolichovespula_saxonica	ENSEMBL	6.0.0	insecta_odb10	proteins	97.2	95.3	1.9	0.6	2.2	1367	1329	1303	26	8	30
Vespidae_plus_outgroups	Dolichovespula_sylvestris	ENSEMBL	6.0.0	insecta_odb10	proteins	96.7	94.8	1.9	0.7	2.6	1367	1322	1296	26	9	36
Vespidae_plus_outgroups	Mischocyttarus_mexicanus	NCBI	6.0.0	insecta_odb10	proteins	92.9	85.5	7.4	1.5	5.6	1367	1270	1169	101	20	77
Vespidae_plus_outgroups	Polistes_canadensis	NCBI	6.0.0	insecta_odb10	proteins	99.2	98.5	0.7	0.1	0.7	1367	1356	1347	9	1	10
Vespidae_plus_outgroups	Polistes_dominula	NCBI	6.0.0	insecta_odb10	proteins	99.6	98.8	0.8	0.1	0.4	1367	1361	1350	11	1	5
Vespidae_plus_outgroups	Polistes_exclamans	NCBI	6.0.0	insecta_odb10	proteins	96.9	95	2	0.7	2.4	1367	1325	1298	27	9	33
Vespidae_plus_outgroups	Polistes_fuscatus	NCBI	6.0.0	insecta_odb10	proteins	99	97.8	1.2	0.1	0.9	1367	1354	1337	17	1	12
Vespidae_plus_outgroups	Tiphia_femorata	ENSEMBL	6.0.0	insecta_odb10	proteins	91.1	89	2	1	7.9	1367	1245	1217	28	14	108
Vespidae_plus_outgroups	Vespa_crabro	NCBI	6.0.0	insecta_odb10	proteins	99.5	98.5	1	0.1	0.4	1367	1360	1347	13	1	6
Vespidae_plus_outgroups	Vespa_mandarinia	NCBI	6.0.0	insecta_odb10	proteins	99	98.1	1	0.1	0.9	1367	1354	1341	13	1	12
Vespidae_plus_outgroups	Vespa_velutina	NCBI	6.0.0	insecta_odb10	proteins	98.2	97.2	1	0.1	1.7	1367	1343	1329	14	1	23
Vespidae_plus_outgroups	Vespula_germanica	ENSEMBL	6.0.0	insecta_odb10	proteins	95.5	95	0.5	1.3	3.1	1367	1306	1299	7	18	43
Vespidae_plus_outgroups	Vespula_pensylvanica	NCBI	6.0.0	insecta_odb10	proteins	99.2	98.6	0.6	0.2	0.6	1367	1356	1348	8	3	8
Vespidae_plus_outgroups	Vespula_vulgaris	NCBI	6.0.0	insecta_odb10	proteins	99.1	98.3	0.8	0	0.9	1367	1355	1344	11	0	12
