Species	Stage	x	y	xend	yend	source_n	target_n	displacement
Polistes dominula	L1	-21.410217911553	-41.273299256553976	2.6142412010027196	-27.48580208405935	6	6	27.69963382307443
Polistes dominula	L2	-13.944632103514152	-26.507726015597925	10.259357052351934	-22.087395877018125	6	8	24.604316889345252
Polistes dominula	L3	-3.9905462287048135	-15.907855666783586	13.572639598580896	-4.930570315466658	7	7	20.711501396277548
Polistes dominula	L4	-0.8065622842525485	-15.625455732106632	21.97048567861178	10.951247035239577	6	7	35.001643445508236
Polistes dominula	L5	0.08079614659590562	13.878308343414478	18.02169535919643	29.41986277436579	6	6	23.736380909627155
Polistes dominula	P	-28.00726088453297	27.77346522332958	-9.332109092067617	37.195366315834306	6	6	20.917301801823378
Vespula vulgaris	L1	-8.198979378442093	-39.347374225124014	-2.26294533612333	-40.36843186468768	6	6	6.023210012516462
Vespula vulgaris	L2	-0.5301955768036232	-36.4226890455979	13.52351603822833	-23.16686556882984	6	6	19.31899754660472
Vespula vulgaris	L3	1.8612021219302586	-4.2790484457765885	14.656211707609797	-3.220837561267824	4	6	12.838694660039396
Vespula vulgaris	L4	6.523349584794756	21.770954624699474	19.316872735364477	18.572668330901706	3	6	13.187238900590906
Vespula vulgaris	L5	-0.34865856908610066	48.37385437808387	8.679907886304015	29.73763032771303	6	5	20.708062659143568
Vespula vulgaris	P	-33.08393813273188	40.94612790918594	-12.514051657532978	45.42959439798646	6	6	21.05283119579806
