GO.ID	Term	FoldEnrichment	p	Significant	Expected	Members_n	MembersStr	Category	Term_key
GO:0016333	morphogenesis of follicular epithelium	2.9556650246305423	0.01324	6	2.03	6	N13.HOG0002495;N13.HOG0003324;N13.HOG0005834;N13.HOG0007833;N13.HOG0008502;N13.HOG0010849	Reproduction / caste-related development	morphogenesis of follicular epithelium___GO:0016333
GO:0008585	female gonad development	2.5454545454545454	0.00745	7	2.75	7	N13.HOG0003345;N13.HOG0003347;N13.HOG0006427;N13.HOG0008012;N13.HOG0008968;N13.HOG0009652;N13.HOG0011999	Reproduction / caste-related development	female gonad development___GO:0008585
GO:0009066	aspartate family amino acid metabolic process	3.333333333333333	0.00378	7	2.1	7	N13.HOG0001967;N13.HOG0004983;N13.HOG0005222;N13.HOG0005902;N13.HOG0006699;N13.HOG0006706;N13.HOG0008882	Differential feeding / nutrient metabolism	aspartate family amino acid metabolic process___GO:0009066
GO:0170041	non-proteinogenic amino acid metabolic process	3.333333333333333	0.00378	7	2.1	7	N13.HOG0001967;N13.HOG0004383;N13.HOG0004983;N13.HOG0005902;N13.HOG0006699;N13.HOG0006706;N13.HOG0008882	Differential feeding / nutrient metabolism	non-proteinogenic amino acid metabolic process___GO:0170041
GO:0006891	intra-Golgi vesicle-mediated transport	3.9473684210526314	0.00293	6	1.52	6	N13.HOG0004886;N13.HOG0004934;N13.HOG0006290;N13.HOG0008434;N13.HOG0008852;N13.HOG0008887	Other	intra-Golgi vesicle-mediated transport___GO:0006891
GO:0071166	ribonucleoprotein complex localization	2.576112412177986	0.00287	11	4.27	11	N13.HOG0002495;N13.HOG0004297;N13.HOG0005785;N13.HOG0006291;N13.HOG0006539;N13.HOG0006797;N13.HOG0007453;N13.HOG0008530;N13.HOG0008706;N13.HOG0008968;N13.HOG0009717	Other	ribonucleoprotein complex localization___GO:0071166
GO:0006606	protein import into nucleus	2.375809935205184	0.00281	11	4.63	11	N13.HOG0002963;N13.HOG0005679;N13.HOG0005785;N13.HOG0006291;N13.HOG0007037;N13.HOG0007453;N13.HOG0008289;N13.HOG0008530;N13.HOG0008968;N13.HOG0010401;N13.HOG0011108	Other	protein import into nucleus___GO:0006606
GO:0006979	response to oxidative stress	1.7255546425636812	0.00281	21	12.17	21	N13.HOG0000906;N13.HOG0001720;N13.HOG0001742;N13.HOG0002708;N13.HOG0004879;N13.HOG0005558;N13.HOG0005679;N13.HOG0005834;N13.HOG0006510;N13.HOG0006805;N13.HOG0007037;N13.HOG0007383;N13.HOG0008012;N13.HOG0008215;N13.HOG0008395;N13.HOG0008511;N13.HOG0008818;N13.HOG0009311;N13.HOG0009420;N13.HOG0009669;N13.HOG0009810	Hibernation / diapause / long-term survival	response to oxidative stress___GO:0006979
GO:0071806	protein transmembrane transport	2.1551724137931036	0.00256	5	2.32	5	N13.HOG0005679;N13.HOG0006854;N13.HOG0008494;N13.HOG0008536;N13.HOG0011108	Other	protein transmembrane transport___GO:0071806
GO:0036503	ERAD pathway	3.252032520325203	0.00236	8	2.46	8	N13.HOG0003332;N13.HOG0005899;N13.HOG0006381;N13.HOG0007010;N13.HOG0008814;N13.HOG0008828;N13.HOG0008844;N13.HOG0011108	Hibernation / diapause / long-term survival	ERAD pathway___GO:0036503
GO:0042178	xenobiotic catabolic process	3.252032520325203	0.00236	8	2.46	8	N13.HOG0001967;N13.HOG0002708;N13.HOG0005107;N13.HOG0005558;N13.HOG0006063;N13.HOG0006699;N13.HOG0007164;N13.HOG0007555	Differential feeding / nutrient metabolism	xenobiotic catabolic process___GO:0042178
GO:0042866	pyruvate biosynthetic process	4.137931034482759	0.00222	6	1.45	6	N13.HOG0001742;N13.HOG0002865;N13.HOG0006174;N13.HOG0006298;N13.HOG0007840;N13.HOG0008484	Other	pyruvate biosynthetic process___GO:0042866
GO:0071364	cellular response to epidermal growth factor stimulus	4.137931034482759	0.00222	6	1.45	6	N13.HOG0002352;N13.HOG0004383;N13.HOG0005679;N13.HOG0010084;N13.HOG0011272;N13.HOG0011999	Reproduction / caste-related development	cellular response to epidermal growth factor stimulus___GO:0071364
GO:0032868	response to insulin	1.5738498789346247	0.0022	13	8.26	13	N13.HOG0002563;N13.HOG0004383;N13.HOG0005558;N13.HOG0005679;N13.HOG0005834;N13.HOG0005902;N13.HOG0006174;N13.HOG0007372;N13.HOG0007797;N13.HOG0007840;N13.HOG0008395;N13.HOG0008762;N13.HOG0010367	Differential feeding / nutrient metabolism	response to insulin___GO:0032868
GO:0046395	carboxylic acid catabolic process	4.825291181364393	0.00193	29	6.01	29	N13.HOG0001745;N13.HOG0001967;N13.HOG0002821;N13.HOG0003614;N13.HOG0004983;N13.HOG0005222;N13.HOG0005438;N13.HOG0005629;N13.HOG0005679;N13.HOG0005902;N13.HOG0006063;N13.HOG0006510;N13.HOG0006706;N13.HOG0006783;N13.HOG0007413;N13.HOG0007450;N13.HOG0007555;N13.HOG0007686;N13.HOG0007797;N13.HOG0007897;N13.HOG0007931;N13.HOG0008016;N13.HOG0008139;N13.HOG0008494;N13.HOG0008677;N13.HOG0008908;N13.HOG0008957;N13.HOG0009118;N13.HOG0011003	Differential feeding / nutrient metabolism	carboxylic acid catabolic process___GO:0046395
GO:1901607	alpha-amino acid biosynthetic process	3.7656903765690375	0.00143	9	2.39	9	N13.HOG0004383;N13.HOG0004957;N13.HOG0004983;N13.HOG0005902;N13.HOG0006699;N13.HOG0006706;N13.HOG0008882;N13.HOG0009118;N13.HOG0011003	Differential feeding / nutrient metabolism	alpha-amino acid biosynthetic process___GO:1901607
GO:0001666	response to hypoxia	1.9562715765247412	0.0013	17	8.69	17	N13.HOG0000906;N13.HOG0001742;N13.HOG0002474;N13.HOG0002563;N13.HOG0002821;N13.HOG0002833;N13.HOG0005169;N13.HOG0005558;N13.HOG0005679;N13.HOG0006106;N13.HOG0006706;N13.HOG0007037;N13.HOG0008395;N13.HOG0009311;N13.HOG0009420;N13.HOG0010084;N13.HOG0011999	Hibernation / diapause / long-term survival	response to hypoxia___GO:0001666
GO:0006633	fatty acid biosynthetic process	3.571428571428571	0.00124	8	2.24	8	N13.HOG0000561;N13.HOG0003382;N13.HOG0006063;N13.HOG0006707;N13.HOG0007450;N13.HOG0007931;N13.HOG0008395;N13.HOG0008677	Differential feeding / nutrient metabolism	fatty acid biosynthetic process___GO:0006633
GO:0031503	protein-containing complex localization	1.865671641791045	0.00124	15	8.04	15	N13.HOG0002495;N13.HOG0002963;N13.HOG0004297;N13.HOG0005512;N13.HOG0005785;N13.HOG0006291;N13.HOG0006539;N13.HOG0006797;N13.HOG0007453;N13.HOG0007592;N13.HOG0008289;N13.HOG0008530;N13.HOG0008706;N13.HOG0008968;N13.HOG0008982	Other	protein-containing complex localization___GO:0031503
GO:0010906	regulation of glucose metabolic process	3.272727272727273	0.00121	9	2.75	9	N13.HOG0005679;N13.HOG0006174;N13.HOG0006537;N13.HOG0006699;N13.HOG0006722;N13.HOG0007383;N13.HOG0007667;N13.HOG0007840;N13.HOG0008395	Differential feeding / nutrient metabolism	regulation of glucose metabolic process___GO:0010906
GO:0007589	body fluid secretion	4.022988505747127	0.00115	7	1.74	7	N13.HOG0004383;N13.HOG0004886;N13.HOG0005902;N13.HOG0006174;N13.HOG0008215;N13.HOG0010367;N13.HOG0011999	Other	body fluid secretion___GO:0007589
GO:0006406	mRNA export from nucleus	3.067484662576687	0.00111	10	3.26	10	N13.HOG0002495;N13.HOG0004297;N13.HOG0005785;N13.HOG0006291;N13.HOG0006539;N13.HOG0006797;N13.HOG0007453;N13.HOG0008706;N13.HOG0008968;N13.HOG0009717	Other	mRNA export from nucleus___GO:0006406
GO:0009152	purine ribonucleotide biosynthetic process	3.0349013657056148	8.2e-4	20	6.59	20	N13.HOG0001742;N13.HOG0002474;N13.HOG0002865;N13.HOG0005767;N13.HOG0005834;N13.HOG0005899;N13.HOG0006063;N13.HOG0006106;N13.HOG0006169;N13.HOG0006174;N13.HOG0006298;N13.HOG0006518;N13.HOG0006806;N13.HOG0007450;N13.HOG0007469;N13.HOG0007575;N13.HOG0007840;N13.HOG0008395;N13.HOG0008484;N13.HOG0008502	Differential feeding / nutrient metabolism	purine ribonucleotide biosynthetic process___GO:0009152
GO:0019359	nicotinamide nucleotide biosynthetic process	3.9408866995073897	5.9e-4	8	2.03	8	N13.HOG0001742;N13.HOG0002709;N13.HOG0002865;N13.HOG0006174;N13.HOG0006298;N13.HOG0006518;N13.HOG0007840;N13.HOG0008484	Differential feeding / nutrient metabolism	nicotinamide nucleotide biosynthetic process___GO:0019359
GO:0006094	gluconeogenesis	3.658536585365854	5e-4	9	2.46	9	N13.HOG0002865;N13.HOG0005902;N13.HOG0006174;N13.HOG0006298;N13.HOG0006699;N13.HOG0006806;N13.HOG0007840;N13.HOG0008395;N13.HOG0008484	Differential feeding / nutrient metabolism	gluconeogenesis___GO:0006094
GO:0016999	antibiotic metabolic process	3.3670033670033668	5e-4	10	2.97	10	N13.HOG0002708;N13.HOG0002709;N13.HOG0003997;N13.HOG0005558;N13.HOG0006012;N13.HOG0007555;N13.HOG0007988;N13.HOG0008012;N13.HOG0010084;N13.HOG0011999	Differential feeding / nutrient metabolism	antibiotic metabolic process___GO:0016999
GO:0009069	serine family amino acid metabolic process	4.605263157894737	4.7e-4	7	1.52	7	N13.HOG0004957;N13.HOG0004983;N13.HOG0006699;N13.HOG0006706;N13.HOG0008882;N13.HOG0009118;N13.HOG0011003	Differential feeding / nutrient metabolism	serine family amino acid metabolic process___GO:0009069
GO:0046394	carboxylic acid biosynthetic process	3.7889039242219216	4.6e-4	28	7.39	28	N13.HOG0000561;N13.HOG0001742;N13.HOG0001745;N13.HOG0002865;N13.HOG0003382;N13.HOG0003997;N13.HOG0004383;N13.HOG0004957;N13.HOG0004983;N13.HOG0005438;N13.HOG0005767;N13.HOG0005902;N13.HOG0006012;N13.HOG0006063;N13.HOG0006174;N13.HOG0006298;N13.HOG0006699;N13.HOG0006706;N13.HOG0006707;N13.HOG0007450;N13.HOG0007840;N13.HOG0007931;N13.HOG0008395;N13.HOG0008484;N13.HOG0008677;N13.HOG0008882;N13.HOG0009118;N13.HOG0011003	Differential feeding / nutrient metabolism	carboxylic acid biosynthetic process___GO:0046394
GO:0032787	monocarboxylic acid metabolic process	3.568075117370892	3.7e-4	38	10.65	38	N13.HOG0000561;N13.HOG0001720;N13.HOG0001742;N13.HOG0001745;N13.HOG0002709;N13.HOG0002821;N13.HOG0002865;N13.HOG0003382;N13.HOG0003838;N13.HOG0005629;N13.HOG0005679;N13.HOG0005902;N13.HOG0006012;N13.HOG0006063;N13.HOG0006174;N13.HOG0006298;N13.HOG0006510;N13.HOG0006707;N13.HOG0006783;N13.HOG0006902;N13.HOG0007413;N13.HOG0007450;N13.HOG0007686;N13.HOG0007797;N13.HOG0007840;N13.HOG0007897;N13.HOG0007931;N13.HOG0008012;N13.HOG0008016;N13.HOG0008139;N13.HOG0008395;N13.HOG0008484;N13.HOG0008494;N13.HOG0008677;N13.HOG0008882;N13.HOG0008908;N13.HOG0011003;N13.HOG0011999	Differential feeding / nutrient metabolism	monocarboxylic acid metabolic process___GO:0032787
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	3.125	3e-4	12	3.84	12	N13.HOG0002495;N13.HOG0004087;N13.HOG0004297;N13.HOG0004793;N13.HOG0005049;N13.HOG0006582;N13.HOG0006797;N13.HOG0006880;N13.HOG0008706;N13.HOG0009810;N13.HOG0010314;N13.HOG0010674	Other	regulation of alternative mRNA splicing, via spliceosome___GO:0000381
GO:0006091	generation of precursor metabolites and energy	2.2900763358778624	1.9e-4	33	14.41	33	N13.HOG0001720;N13.HOG0001742;N13.HOG0001745;N13.HOG0002709;N13.HOG0002865;N13.HOG0003997;N13.HOG0005142;N13.HOG0005428;N13.HOG0005558;N13.HOG0005629;N13.HOG0005679;N13.HOG0005899;N13.HOG0006063;N13.HOG0006106;N13.HOG0006174;N13.HOG0006298;N13.HOG0006510;N13.HOG0006699;N13.HOG0006707;N13.HOG0006722;N13.HOG0006806;N13.HOG0006902;N13.HOG0007164;N13.HOG0007383;N13.HOG0007575;N13.HOG0007840;N13.HOG0007988;N13.HOG0008012;N13.HOG0008484;N13.HOG0008677;N13.HOG0008818;N13.HOG0008882;N13.HOG0010084	Differential feeding / nutrient metabolism	generation of precursor metabolites and energy___GO:0006091
GO:0009100	glycoprotein metabolic process	2.4128686327077746	1.4e-4	18	7.46	18	N13.HOG0003075;N13.HOG0003332;N13.HOG0003614;N13.HOG0005142;N13.HOG0005899;N13.HOG0006381;N13.HOG0006468;N13.HOG0006495;N13.HOG0007037;N13.HOG0007789;N13.HOG0007833;N13.HOG0008133;N13.HOG0008446;N13.HOG0008679;N13.HOG0008844;N13.HOG0009991;N13.HOG0010849;N13.HOG0011005	Other	glycoprotein metabolic process___GO:0009100
GO:0019674	NAD metabolic process	4.790419161676647	1.3e-4	8	1.67	8	N13.HOG0001742;N13.HOG0002865;N13.HOG0005899;N13.HOG0006174;N13.HOG0006298;N13.HOG0006518;N13.HOG0006806;N13.HOG0008484	Differential feeding / nutrient metabolism	NAD metabolic process___GO:0019674
GO:0170040	proteinogenic amino acid catabolic process	4.285714285714286	1.3e-4	9	2.1	9	N13.HOG0001967;N13.HOG0005222;N13.HOG0005438;N13.HOG0005902;N13.HOG0008016;N13.HOG0008139;N13.HOG0008957;N13.HOG0009118;N13.HOG0011003	Differential feeding / nutrient metabolism	proteinogenic amino acid catabolic process___GO:0170040
GO:0010883	regulation of lipid storage	3.6184210526315788	1.3e-4	11	3.04	11	N13.HOG0000342;N13.HOG0003382;N13.HOG0004886;N13.HOG0004934;N13.HOG0005222;N13.HOG0005679;N13.HOG0006290;N13.HOG0006574;N13.HOG0007833;N13.HOG0008852;N13.HOG0008887	Hibernation / diapause / long-term survival	regulation of lipid storage___GO:0010883
GO:0034404	nucleobase-containing small molecule biosynthetic process	3.201970443349754	1.3e-4	13	4.06	13	N13.HOG0001742;N13.HOG0002865;N13.HOG0004383;N13.HOG0005899;N13.HOG0006063;N13.HOG0006174;N13.HOG0006298;N13.HOG0006468;N13.HOG0006518;N13.HOG0007211;N13.HOG0007469;N13.HOG0007840;N13.HOG0008484	Differential feeding / nutrient metabolism	nucleobase-containing small molecule biosynthetic process___GO:0034404
GO:0072329	monocarboxylic acid catabolic process	5.723905723905723	1.1e-4	17	2.97	17	N13.HOG0001745;N13.HOG0002821;N13.HOG0005629;N13.HOG0005679;N13.HOG0006063;N13.HOG0006510;N13.HOG0006783;N13.HOG0007413;N13.HOG0007686;N13.HOG0007797;N13.HOG0007897;N13.HOG0007931;N13.HOG0008139;N13.HOG0008494;N13.HOG0008677;N13.HOG0008908;N13.HOG0011003	Differential feeding / nutrient metabolism	monocarboxylic acid catabolic process___GO:0072329
GO:0006575	modified amino acid metabolic process	3.4482758620689657	1.1e-4	12	3.48	12	N13.HOG0003437;N13.HOG0004891;N13.HOG0004983;N13.HOG0005767;N13.HOG0005902;N13.HOG0006012;N13.HOG0006180;N13.HOG0006699;N13.HOG0006706;N13.HOG0008012;N13.HOG0009118;N13.HOG0011999	Differential feeding / nutrient metabolism	modified amino acid metabolic process___GO:0006575
GO:0008340	determination of adult lifespan	2.3023023023023024	1.1e-4	23	9.99	23	N13.HOG0000906;N13.HOG0002327;N13.HOG0002352;N13.HOG0002573;N13.HOG0002709;N13.HOG0003075;N13.HOG0005169;N13.HOG0005222;N13.HOG0005558;N13.HOG0005679;N13.HOG0006468;N13.HOG0006699;N13.HOG0006805;N13.HOG0007383;N13.HOG0007641;N13.HOG0007797;N13.HOG0008090;N13.HOG0008109;N13.HOG0008121;N13.HOG0008484;N13.HOG0008808;N13.HOG0008908;N13.HOG0009247	Hibernation / diapause / long-term survival	determination of adult lifespan___GO:0008340
GO:0009112	nucleobase metabolic process	5.2631578947368425	6.1e-5	8	1.52	8	N13.HOG0003079;N13.HOG0004055;N13.HOG0004383;N13.HOG0006012;N13.HOG0006169;N13.HOG0007211;N13.HOG0007469;N13.HOG0009118	Differential feeding / nutrient metabolism	nucleobase metabolic process___GO:0009112
GO:0090407	organophosphate biosynthetic process	2.2651933701657456	4.1e-5	41	18.1	41	N13.HOG0001742;N13.HOG0001745;N13.HOG0002474;N13.HOG0002709;N13.HOG0002865;N13.HOG0003437;N13.HOG0003614;N13.HOG0004055;N13.HOG0004383;N13.HOG0005080;N13.HOG0005461;N13.HOG0005512;N13.HOG0005629;N13.HOG0005767;N13.HOG0005834;N13.HOG0005899;N13.HOG0006063;N13.HOG0006106;N13.HOG0006169;N13.HOG0006174;N13.HOG0006180;N13.HOG0006298;N13.HOG0006495;N13.HOG0006518;N13.HOG0006783;N13.HOG0006806;N13.HOG0006946;N13.HOG0007211;N13.HOG0007450;N13.HOG0007469;N13.HOG0007555;N13.HOG0007575;N13.HOG0007592;N13.HOG0007840;N13.HOG0008012;N13.HOG0008109;N13.HOG0008395;N13.HOG0008454;N13.HOG0008484;N13.HOG0008502;N13.HOG0009118	Other	organophosphate biosynthetic process___GO:0090407
GO:0006081	aldehyde metabolic process	4.972375690607735	3.5e-5	9	1.81	9	N13.HOG0001745;N13.HOG0002865;N13.HOG0005080;N13.HOG0005902;N13.HOG0006298;N13.HOG0008012;N13.HOG0008484;N13.HOG0008818;N13.HOG0011003	Differential feeding / nutrient metabolism	aldehyde metabolic process___GO:0006081
GO:1901137	carbohydrate derivative biosynthetic process	2.483343428225318	2.4e-5	41	16.51	41	N13.HOG0001742;N13.HOG0001745;N13.HOG0002474;N13.HOG0002563;N13.HOG0002865;N13.HOG0003614;N13.HOG0004055;N13.HOG0004383;N13.HOG0005629;N13.HOG0005767;N13.HOG0005834;N13.HOG0005899;N13.HOG0006063;N13.HOG0006106;N13.HOG0006169;N13.HOG0006174;N13.HOG0006298;N13.HOG0006468;N13.HOG0006495;N13.HOG0006518;N13.HOG0006783;N13.HOG0006806;N13.HOG0006946;N13.HOG0007037;N13.HOG0007211;N13.HOG0007450;N13.HOG0007469;N13.HOG0007555;N13.HOG0007575;N13.HOG0007789;N13.HOG0007833;N13.HOG0007840;N13.HOG0008133;N13.HOG0008395;N13.HOG0008484;N13.HOG0008502;N13.HOG0008679;N13.HOG0009118;N13.HOG0009991;N13.HOG0010849;N13.HOG0011005	Differential feeding / nutrient metabolism	carbohydrate derivative biosynthetic process___GO:1901137
GO:0170035	L-amino acid catabolic process	4.761904761904762	2e-5	10	2.1	10	N13.HOG0001967;N13.HOG0005222;N13.HOG0005438;N13.HOG0005902;N13.HOG0006706;N13.HOG0008016;N13.HOG0008139;N13.HOG0008957;N13.HOG0009118;N13.HOG0011003	Differential feeding / nutrient metabolism	L-amino acid catabolic process___GO:0170035
GO:0043648	dicarboxylic acid metabolic process	4.04040404040404	1.9e-5	12	2.97	12	N13.HOG0001967;N13.HOG0002709;N13.HOG0003997;N13.HOG0005438;N13.HOG0005767;N13.HOG0005902;N13.HOG0006012;N13.HOG0006699;N13.HOG0006902;N13.HOG0008012;N13.HOG0009118;N13.HOG0011999	Differential feeding / nutrient metabolism	dicarboxylic acid metabolic process___GO:0043648
