vv_stage	pd_stage	estimate	bootstrap_SE	bootstrap_CI_low	bootstrap_CI_high	bootstrap_selection_probability	bootstrap_boundary_n	bootstrap_valid_n	bootstrap_p_one_sided	lambda_min	cv_mse_min	n	significance	bootstrap_p_FDR_36
L1	L1	0.00815244873570857	0.00564383316596431	0	0.01960350506567505	0.902	98	1000	0.0989010989010989	0.00493916272717132	0.01945757766343334	5599		0.3498319861956226
L1	L2	0	2.1395230701991555e-5	0	0	0.002	998	1000	0.998001998001998	0.00493916272717132	0.01945757766343334	5599		1
L1	L3	0	0	0	0	0	1000	1000	1	0.00493916272717132	0.01945757766343334	5599		1
L1	L4	0	0	0	0	0	1000	1000	1	0.00493916272717132	0.01945757766343334	5599		1
L1	L5	0	0	0	0	0	1000	1000	1	0.00493916272717132	0.01945757766343334	5599		1
L1	P	0.00842277459991832	0.00312762285877457	0.00240425940538647	0.01454266267123155	0.996	4	1000	0.00499500499500499	0.00493916272717132	0.01945757766343334	5599	*	0.025688597117168522
L2	L1	0.08132861010383767	0.01233712565508594	0.05735926765697554	0.10470941665687328	1	0	1000	9.99000999000999e-4	0.00333442206103076	0.05908241937653671	5599	**	0.008991008991008992
L2	L2	0.04908814589644861	0.01433985084865514	0.02174856831133998	0.07683798010780886	0.999	1	1000	0.00199800199800199	0.00333442206103076	0.05908241937653671	5599	*	0.01438561438561433
L2	L3	0.03006193397676765	0.02161411771420814	0	0.07484181642383421	0.894	106	1000	0.1068931068931069	0.00333442206103076	0.05908241937653671	5599		0.3498319861956226
L2	L4	0.07734744352389986	0.00980182965474134	0.05785941399979242	0.09689637970977807	1	0	1000	9.99000999000999e-4	0.00333442206103076	0.05908241937653671	5599	**	0.008991008991008992
L2	L5	0.0185208917451758	0.01256115199298343	0	0.04638826444912409	0.917	83	1000	0.08391608391608392	0.00333442206103076	0.05908241937653671	5599		0.3356643356643357
L2	P	0.00807615796941457	0.0071783059283071	0	0.02427568359570908	0.842	158	1000	0.15884115884115885	0.00333442206103076	0.05908241937653671	5599		0.47652347652347654
L3	L1	0	0	0	0	0	1000	1000	1	4.30553915355801e-4	0.03295574157792895	5599		1
L3	L2	0.1090364529932874	0.01669447884910619	0.07458867569373916	0.14078320255705806	1	0	1000	9.99000999000999e-4	4.30553915355801e-4	0.03295574157792895	5599	**	0.008991008991008992
L3	L3	0.04114468597307689	0.01649663646232781	0.00812127911527642	0.07354063537004032	0.99	10	1000	0.01098901098901099	4.30553915355801e-4	0.03295574157792895	5599	*	0.049450549450549455
L3	L4	0	0	0	0	0	1000	1000	1	4.30553915355801e-4	0.03295574157792895	5599		1
L3	L5	0	1.865386928084123e-5	0	0	0.001	999	1000	0.999000999000999	4.30553915355801e-4	0.03295574157792895	5599		1
L3	P	3.586333374417583e-4	0.00457446603919463	0	0.015748398916669	0.506	494	1000	0.4945054945054945	4.30553915355801e-4	0.03295574157792895	5599		1
L4	L1	0	0	0	0	0	1000	1000	1	7.807583252366436e-4	0.02809300841112271	5599		1
L4	L2	0.03383056995225508	0.01121236797927314	0.01207534295974579	0.05600648523103192	0.998	2	1000	0.00299700299700299	7.807583252366436e-4	0.02809300841112271	5599	*	0.017982017982017942
L4	L3	0	0	0	0	0	1000	1000	1	7.807583252366436e-4	0.02809300841112271	5599		1
L4	L4	0	0	0	0	0	1000	1000	1	7.807583252366436e-4	0.02809300841112271	5599		1
L4	L5	0	0	0	0	0	1000	1000	1	7.807583252366436e-4	0.02809300841112271	5599		1
L4	P	0	4.371348352935381e-5	0	0	0.001	999	1000	0.999000999000999	7.807583252366436e-4	0.02809300841112271	5599		1
L5	L1	0	0	0	0	0	1000	1000	1	73.77167314054634	0.32401639134361054	5599		1
L5	L2	0	0	0	0	0	1000	1000	1	73.77167314054634	0.32401639134361054	5599		1
L5	L3	0	0	0	0	0	1000	1000	1	73.77167314054634	0.32401639134361054	5599		1
L5	L4	0	0	0	0	0	1000	1000	1	73.77167314054634	0.32401639134361054	5599		1
L5	L5	0	0	0	0	0	1000	1000	1	73.77167314054634	0.32401639134361054	5599		1
L5	P	0	1.287844335395394e-6	0	0	0.008	992	1000	0.992007992007992	73.77167314054634	0.32401639134361054	5599		1
P	L1	0	0.00368465636162806	0	0.01020258425252788	0.072	928	1000	0.928071928071928	0.00379064290153475	0.24427735629063396	5599		1
P	L2	0	0	0	0	0	1000	1000	1	0.00379064290153475	0.24427735629063396	5599		1
P	L3	0	0	0	0	0	1000	1000	1	0.00379064290153475	0.24427735629063396	5599		1
P	L4	0	0	0	0	0	1000	1000	1	0.00379064290153475	0.24427735629063396	5599		1
P	L5	0	0.00535181580581435	0	0.01773050821891347	0.118	882	1000	0.8821178821178821	0.00379064290153475	0.24427735629063396	5599		1
P	P	0.5244342582498177	0.05662053523062162	0.42169239821850574	0.6464269987119303	1	0	1000	9.99000999000999e-4	0.00379064290153475	0.24427735629063396	5599	**	0.008991008991008992
