comparison	set	pathway	pathway_name	foreground_ratio	background_ratio	p_value	p_BH	q_value	foreground_HOGs	foreground_n	foreground_total	background_total
L1_to_L2	concordant_all	map04330	Notch signaling pathway	2/22	29/3559	0.013389043909664491	0.430259149002668	0.4294782794037521	N13.HOG0004507/N13.HOG0005225	2	22	3559
L1_to_L2	concordant_all	map04350	TGF-beta signaling pathway	2/22	43/3559	0.028267389343539045	0.430259149002668	0.4294782794037521	N13.HOG0004507/N13.HOG0005090	2	22	3559
L1_to_L2	concordant_all	map04213	Longevity regulating pathway - multiple species	2/22	45/3559	0.030761563739822542	0.430259149002668	0.4294782794037521	N13.HOG0006293/N13.HOG0011876	2	22	3559
L1_to_L2	concordant_all	map05164	Influenza A	2/22	68/3559	0.06501021611239079	0.430259149002668	0.4294782794037521	N13.HOG0004507/N13.HOG0006437	2	22	3559
L1_to_L2	concordant_all	map04919	Thyroid hormone signaling pathway	2/22	74/3559	0.075397643114358	0.430259149002668	0.4294782794037521	N13.HOG0004507/N13.HOG0005225	2	22	3559
L1_to_L2	concordant_all	map00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1/22	13/3559	0.07757175686384721	0.430259149002668	0.4294782794037521	N13.HOG0004401	1	22	3559
L1_to_L2	concordant_all	map00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	1/22	13/3559	0.07757175686384721	0.430259149002668	0.4294782794037521	N13.HOG0004401	1	22	3559
L1_to_L2	concordant_all	map05168	Herpes simplex virus 1 infection	2/22	81/3559	0.08814702134491281	0.430259149002668	0.4294782794037521	N13.HOG0004401/N13.HOG0004507	2	22	3559
L1_to_L2	concordant_all	map05020	Prion disease	1/22	17/3559	0.10026073203744168	0.430259149002668	0.4294782794037521	N13.HOG0011876	1	22	3559
L1_to_L2	concordant_all	map05202	Transcriptional misregulation in cancer	2/22	89/3559	0.10345944915988069	0.430259149002668	0.4294782794037521	N13.HOG0004910/N13.HOG0005225	2	22	3559
L1_to_L2	concordant_all	map05206	MicroRNAs in cancer	2/22	89/3559	0.10345944915988069	0.430259149002668	0.4294782794037521	N13.HOG0004401/N13.HOG0004507	2	22	3559
L1_to_L2	concordant_all	map04960	Aldosterone-regulated sodium reabsorption	1/22	18/3559	0.10584917469559374	0.430259149002668	0.4294782794037521	N13.HOG0006773	1	22	3559
L1_to_L2	concordant_all	map00981	Insect hormone biosynthesis	1/22	20/3559	0.11692682000854004	0.430259149002668	0.4294782794037521	N13.HOG0002611	1	22	3559
L1_to_L2	concordant_all	map04139	Mitophagy - yeast	1/22	20/3559	0.11692682000854004	0.430259149002668	0.4294782794037521	N13.HOG0010251	1	22	3559
L1_to_L2	concordant_all	map05203	Viral carcinogenesis	2/22	100/3559	0.12562535113898382	0.430259149002668	0.4294782794037521	N13.HOG0004401/N13.HOG0004507	2	22	3559
L1_to_L2	concordant_all	map04950	Maturity onset diabetes of the young	1/22	22/3559	0.12787338859768682	0.430259149002668	0.4294782794037521	N13.HOG0006293	1	22	3559
L1_to_L2	concordant_all	map04630	JAK-STAT signaling pathway	1/22	25/3559	0.1440507013014395	0.430259149002668	0.4294782794037521	N13.HOG0004507	1	22	3559
L1_to_L2	concordant_all	map00900	Terpenoid backbone biosynthesis	1/22	26/3559	0.1493791915593249	0.430259149002668	0.4294782794037521	N13.HOG0007475	1	22	3559
