vv_stage	pd_stage	estimate	bootstrap_SE	bootstrap_CI_low	bootstrap_CI_high	bootstrap_selection_probability	bootstrap_boundary_n	bootstrap_valid_n	bootstrap_p_one_sided	model_logLik	model_convergence	bootstrap_converged	bootstrap_B	n	jointly_DE_n	concordant_DE_n	count_label	significance	panel_label	bootstrap_p_FDR_36
L1	L1	0.2746879495283325	0.17315091381758174	0	0.6366082681923992	0.923	77	1000	0.07792207792207792	-2184.8134828849197	0	1000	1000	8679	47	28	28/47		28/47	0.35064935064935066
L1	L2	0	0.03295467820768052	0	0.1008785336209285	0.068	932	1000	0.932067932067932	-2184.8134828849197	0	1000	1000	8679	30	12	12/30		12/30	1
L1	L3	0	0.0319580393216962	0	0.06914925572400923	0.041	959	1000	0.9590409590409592	-2184.8134828849197	0	1000	1000	8679	22	7	7/22		7/22	1
L1	L4	0	0	0	0	0	1000	1000	1	-2184.8134828849197	0	1000	1000	8679	63	11	11/63		11/63	1
L1	L5	0	0.01365323262218686	0	0	0.023	977	1000	0.977022977022977	-2184.8134828849197	0	1000	1000	8679	33	11	11/33		11/33	1
L1	P	0.08027170307795965	0.129553068228817	0	0.4211751512249992	0.674	326	1000	0.32667332667332666	-2184.8134828849197	0	1000	1000	8679	22	13	13/22		13/22	0.98001998001998
L2	L1	0.26230308959094617	0.10815213718522008	0.035440530296637	0.4576479617472548	0.991	9	1000	0.00999000999000999	-3764.942953307445	0	1000	1000	8679	76	58	58/76	.	58/76 .	0.05994005994005994
L2	L2	0	0.05431317771348794	0	0.1999158661904673	0.264	736	1000	0.7362637362637363	-3764.942953307445	0	1000	1000	8679	59	30	30/59		30/59	1
L2	L3	0	0	0	0	0	1000	1000	1	-3764.942953307445	0	1000	1000	8679	57	20	20/57		20/57	1
L2	L4	0.5255995926176837	0.088887427660486365	0.3465815091597086	0.7115012311369402	1	0	1000	9.99000999000999e-4	-3764.942953307445	0	1000	1000	8679	134	110	110/134	**	110/134 **	0.008991008991008992
L2	L5	0.5883768542279298	0.1288989193294643	0.33191833209706706	0.8281852165788397	1	0	1000	9.99000999000999e-4	-3764.942953307445	0	1000	1000	8679	78	67	67/78	**	67/78 **	0.008991008991008992
L2	P	0.02011883375715761	0.0751566697660362	0	0.25124256165464404	0.585	415	1000	0.4155844155844156	-3764.942953307445	0	1000	1000	8679	40	20	20/40		20/40	1
L3	L1	0	0	0	0	0	1000	1000	1	-2513.5235082949685	0	1000	1000	8679	54	16	16/54		16/54	1
L3	L2	0.203996427080492	0.16496606728497087	0	0.5667485726325221	0.845	155	1000	0.15584415584415584	-2513.5235082949685	0	1000	1000	8679	36	22	22/36		22/36	0.561038961038961
L3	L3	0.2908635755575014	0.1975735526273147	0	0.6596454555650065	0.893	107	1000	0.10789210789210787	-2513.5235082949685	0	1000	1000	8679	18	12	12/18		12/18	0.4315684315684315
L3	L4	0	0.01101950193739827	0	0.02524434633860674	0.043	957	1000	0.957042957042957	-2513.5235082949685	0	1000	1000	8679	84	36	36/84		36/84	1
L3	L5	0	0.02392391908069754	0	0.05658701743360125	0.043	957	1000	0.957042957042957	-2513.5235082949685	0	1000	1000	8679	52	20	20/52		20/52	1
L3	P	0	0.07119351741009262	0	0.2561956449420257	0.307	693	1000	0.6933066933066933	-2513.5235082949685	0	1000	1000	8679	30	15	15/30		15/30	1
L4	L1	0	0.00916178630959898	0	0	0.021	979	1000	0.9790209790209792	-1964.153944401697	0	1000	1000	8679	27	11	11/27		11/27	1
L4	L2	0.29703089889669887	0.1727198907381288	0	0.650445735087019	0.936	64	1000	0.06493506493506493	-1964.153944401697	0	1000	1000	8679	18	12	12/18		12/18	0.3339517625231911
L4	L3	0	0.07266794699516041	0	0.2724688775256296	0.213	787	1000	0.7872127872127872	-1964.153944401697	0	1000	1000	8679	11	5	5/11		5/11	1
L4	L4	0	0.05934330187868105	0	0.21212229379345127	0.331	669	1000	0.6693306693306693	-1964.153944401697	0	1000	1000	8679	48	23	23/48		23/48	1
