pd_stage	vv_stage	universe_n	pd_DE_n	vv_DE_n	jointly_DE_n	concordant_DE_n	discordant_DE_n	up_up_n	down_down_n	up_down_n	down_up_n	concordance_fraction	expected_concordance_fraction_from_margins	excess_concordance	concordance_log2_odds_ratio_HA	positive_concordance_log2_odds_ratio	fisher_one_sided_p_greater	fisher_conditional_odds_ratio	fisher_p_FDR_36	significance_FDR	cell_label
L1	L1	8679	703	480	47	28	19	14	14	14	5	0.5957446808510638	0.48166591217745586	0.11407876867360794	1.3985493764902748	1.3985493764902748	0.09249823173385528	2.7386819516795353	0.42797552836485		28/47
L1	L2	8679	703	1025	76	58	18	36	22	7	11	0.7631578947368421	0.5155817174515236	0.24757617728531855	3.2512251035441606	3.2512251035441606	8.295075542621677e-6	9.900355885451184	7.46556798835951e-5	***	58/76 ***
L1	L3	8679	703	577	54	16	38	8	8	35	3	0.2962962962962963	0.3244170096021948	-0.028120713305898493	-0.7821763590616073	0	0.8543916007748462	0.6156488891579004	1		16/54
L1	L4	8679	703	421	27	11	16	6	5	12	4	0.4074074074074074	0.4567901234567901	-0.04938271604938271	-0.6539098544386477	0	0.837916926704112	0.636294626964995	1		11/27
L1	L5	8679	703	3179	218	56	162	33	23	122	40	0.25688073394495414	0.43030889655752885	-0.1734281626125747	-2.6558098997517856	0	0.9999999993083226	0.15715875787224928	1		56/218
L1	P	8679	703	2441	146	95	51	36	59	26	25	0.6506849315068494	0.5123850628635767	0.1382998686432727	1.684296525653266	1.684296525653266	5.467214560014104e-4	3.239371705601885	0.003936394483210154	**	95/146 **
L2	L1	8679	466	480	30	12	18	9	3	7	11	0.4	0.5111111111111111	-0.11111111111111105	-1.3751701161643417	0	0.9554222888555721	0.3632821803041476	1		12/30
L2	L2	8679	466	1025	59	30	29	14	16	10	19	0.5084745762711864	0.48893995978167193	0.01953461648951449	0.22465547284501702	0.22465547284501702	0.48459776630246354	1.1756622695225802	1		30/59
L2	L3	8679	466	577	36	22	14	9	13	11	3	0.6111111111111112	0.48148148148148145	0.1296296296296297	1.671898137492437	1.671898137492437	0.09510567296996666	3.4222076933782577	0.42797552836485		22/36
L2	L4	8679	466	421	18	12	6	5	7	4	2	0.6666666666666666	0.5	0.16666666666666663	1.874469117916141	1.874469117916141	0.16742081447963789	4.006191369807468	0.6027149321266964		12/18
