HOG	plot_label	functional_theme	selected_from	Wang_2021_component	enriched_GO_evidence	minimum_topGO_weight01_p	BH_significant_KEGG_evidence	minimum_KEGG_BH_p	max_concordance_z
N13.HOG0005758	Wdr59 (GATOR2)	IIS/Wnt/mTOR/FoxO	L1_to_L2						2.4804384172436773
N13.HOG0004507	nej/CBP	IIS/Wnt/mTOR/FoxO	L1_to_L2	CBP	L1_to_L2: GO:0141193 nuclear receptor-mediated signaling path...; L1_to_L2: GO:0010506 regulation of autophagy	0.00376			0.9667747595739852
N13.HOG0008912	sut1-3 / SLC2-like	IIS/Wnt/mTOR/FoxO	L4_to_L2				L4_to_L2: map04931 Insulin resistance	0.0012037283962930685	3.071043843044154
N13.HOG0006185	sgg/GSK3beta	IIS/Wnt/mTOR/FoxO	L4_to_L2; L5_to_L2	GSK3beta	L4_to_L2: GO:0045912 negative regulation of carbohydrate meta...; L4_to_L2: GO:0016055 Wnt signaling pathway; L4_to_L2: GO:0035567 non-canonical Wnt signaling pathway; L4_to_L2: GO:0043255 regulation of carbohydrate biosynthetic ...; L4_to_L2: GO:0032869 cellular response to insulin stimulus; L4_to_L2: GO:0010906 regulation of glucose metabolic process; L4_to_L2: GO:0070873 regulation of glycogen metabolic process; L4_to_L2: GO:0010508 positive regulation of autophagy; L4_to_L2: GO:0043470 regulation of carbohydrate catabolic pro...; L4_to_L2: GO:0044703 multi-organism reproductive process; L5_to_L2: GO:0016055 Wnt signaling pathway	6e-5	L4_to_L2: map04931 Insulin resistance	0.0012037283962930685	2.1547009768645937
N13.HOG0009263	nmo/NLK	IIS/Wnt/mTOR/FoxO	L4_to_L2		L4_to_L2: GO:0016055 Wnt signaling pathway; L4_to_L2: GO:0035567 non-canonical Wnt signaling pathway	0.00224			1.7856700293050343
N13.HOG0010043	Gbs-76A	IIS/Wnt/mTOR/FoxO	L4_to_L2				L4_to_L2: map04931 Insulin resistance	0.0012037283962930685	1.5070394023903995
N13.HOG0006961	Pepck	IIS/Wnt/mTOR/FoxO	L4_to_L2	PEPCK	L4_to_L2: GO:0045912 negative regulation of carbohydrate meta...; L4_to_L2: GO:0006475 internal protein amino acid acetylation; L4_to_L2: GO:0043255 regulation of carbohydrate biosynthetic ...; L4_to_L2: GO:0032869 cellular response to insulin stimulus; L4_to_L2: GO:0010906 regulation of glucose metabolic process; L4_to_L2: GO:0010907 positive regulation of glucose metabolic...; L4_to_L2: GO:0032024 positive regulation of insulin secretion; L4_to_L2: GO:0044703 multi-organism reproductive process; L4_to_L2: GO:0009066 aspartate family amino acid metabolic pr...	6e-5	L4_to_L2: map04931 Insulin resistance	0.0012037283962930685	1.3428134308588977
N13.HOG0007424	Pdk1	IIS/Wnt/mTOR/FoxO	L4_to_L2	PDK1	L4_to_L2: GO:0032869 cellular response to insulin stimulus; L4_to_L2: GO:0044703 multi-organism reproductive process	0.00859	L4_to_L2: map04931 Insulin resistance	0.0012037283962930685	1.2420070922774213
N13.HOG0003585	br	Ecdysone/development	L4_to_L2		L4_to_L2: GO:0071390 cellular response to ecdysone; L4_to_L2: GO:0048102 autophagic cell death; L4_to_L2: GO:0044703 multi-organism reproductive process; P_to_P: GO:0022412 cellular process involved in reproductio...; P_to_P: GO:0030707 follicle cell of egg chamber development; P_to_P: GO:0071390 cellular response to ecdysone	1.7e-4			1.8364932163655245
N13.HOG0004754	EcR	Ecdysone/development	L4_to_L2		L4_to_L2: GO:0071390 cellular response to ecdysone; L4_to_L2: GO:0048102 autophagic cell death; L4_to_L2: GO:0032869 cellular response to insulin stimulus; L4_to_L2: GO:0044703 multi-organism reproductive process	8.1e-4	L4_to_L2: map04931 Insulin resistance	0.0012037283962930685	1.7598156723742715
N13.HOG0005004	ss	Reproduction	L4_to_L2		L4_to_L2: GO:0001541 ovarian follicle development; L4_to_L2: GO:0008585 female gonad development; L4_to_L2: GO:0044703 multi-organism reproductive process	1.4e-4			2.7316814651585486
N13.HOG0006201	Actbeta	Reproduction	L4_to_L2		L4_to_L2: GO:0001541 ovarian follicle development; L4_to_L2: GO:0008585 female gonad development; L4_to_L2: GO:0008584 male gonad development; L4_to_L2: GO:0032869 cellular response to insulin stimulus; L4_to_L2: GO:0032924 activin receptor signaling pathway; L4_to_L2: GO:0010906 regulation of glucose metabolic process; L4_to_L2: GO:0070873 regulation of glycogen metabolic process; L4_to_L2: GO:0005980 glycogen catabolic process; L4_to_L2: GO:0046676 negative regulation of insulin secretion; L4_to_L2: GO:0010907 positive regulation of glucose metabolic...; L4_to_L2: GO:0043470 regulation of carbohydrate catabolic pro...; L4_to_L2: GO:0044703 multi-organism reproductive process	1.4e-4			2.5193640167065845
N13.HOG0000655	bab1/2	Reproduction	L5_to_L2		L4_to_L2: GO:0008585 female gonad development; L5_to_L2: GO:0008585 female gonad development	0.00161			2.172537999135168
N13.HOG0006858	Atg17	Lifespan/diapause/stress	L4_to_L2		L4_to_L2: GO:0048102 autophagic cell death; L4_to_L2: GO:0005980 glycogen catabolic process; L4_to_L2: GO:0010508 positive regulation of autophagy	0.00196			1.738030847719664
