GO	term_name	background_n	foreground_n	expected_n	weight01	weight01_p	fold_enrichment	comparison	set	foreground_total	background_total	foreground_HOGs
GO:0060325	face morphogenesis	22	3	0.14	0.00033	3.3e-4	21.428571428571427	L1_to_L2	concordant_all	45	7127	N13.HOG0005090; N13.HOG0005440; N13.HOG0009018
GO:0042771	intrinsic apoptotic signaling pathway in...	23	3	0.15	0.00038	3.8e-4	20	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004507; N13.HOG0008601
GO:0030326	embryonic limb morphogenesis	67	4	0.42	0.00053	5.3e-4	9.523809523809524	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0005090; N13.HOG0005389; N13.HOG0009018
GO:0043388	positive regulation of DNA binding	28	3	0.18	0.00069	6.9e-4	16.666666666666668	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0005090; N13.HOG0009018
GO:0090311	regulation of protein deacetylation	29	3	0.18	0.00077	7.7e-4	16.666666666666668	L1_to_L2	concordant_all	45	7127	N13.HOG0004507; N13.HOG0005225; N13.HOG0009018
GO:0030512	negative regulation of transforming grow...	32	3	0.2	0.00103	0.00103	15	L1_to_L2	concordant_all	45	7127	N13.HOG0005389; N13.HOG0009018; N13.HOG0010737
GO:1903845	negative regulation of cellular response...	33	3	0.21	0.00112	0.00112	14.285714285714286	L1_to_L2	concordant_all	45	7127	N13.HOG0005389; N13.HOG0009018; N13.HOG0010737
GO:0045944	positive regulation of transcription by ...	610	11	3.85	0.00113	0.00113	2.857142857142857	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004507; N13.HOG0004660; N13.HOG0004910; N13.HOG0005090; N13.HOG0005225; N13.HOG0005389; N13.HOG0006293; N13.HOG0006437; N13.HOG0007312; N13.HOG0009018
GO:0000122	negative regulation of transcription by ...	456	9	2.88	0.00186	0.0018600000000000001	3.125	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004507; N13.HOG0005090; N13.HOG0005225; N13.HOG0005389; N13.HOG0006293; N13.HOG0009018; N13.HOG0010525; N13.HOG0010737
GO:0030324	lung development	104	6	0.66	0.00264	0.00264	9.09090909090909	L1_to_L2	concordant_all	45	7127	N13.HOG0004401; N13.HOG0004507; N13.HOG0005090; N13.HOG0005225; N13.HOG0006293; N13.HOG0008601
