GO	term_name	background_n	foreground_n	expected_n	weight01	weight01_p	fold_enrichment	comparison	set	foreground_total	background_total	foreground_HOGs	functional_theme	set_priority
GO:0141193	nuclear receptor-mediated signaling path...	123	4	0.57	0.00376	0.00376	7.017543859649123	L1_to_L2	concordant_up	33	7127	N13.HOG0004507; N13.HOG0005090; N13.HOG0005225; N13.HOG0006293	Ecdysone/development	1
GO:0010506	regulation of autophagy	254	3	1.18	0.04630	0.0463	2.5423728813559325	L1_to_L2	concordant_up	33	7127	N13.HOG0004507; N13.HOG0005440; N13.HOG0010251	Lifespan/diapause/stress	1
GO:0032368	regulation of lipid transport	56	2	0.26	0.02740	0.0274	7.692307692307692	L1_to_L2	concordant_up	33	7127	N13.HOG0004401; N13.HOG0005225	Nutrient/lipid metabolism	1
GO:0071390	cellular response to ecdysone	23	3	0.19	0.00081	8.1e-4	15.789473684210526	L4_to_L2	concordant_up	58	7127	N13.HOG0003585; N13.HOG0004754; N13.HOG0009822	Ecdysone/development	1
GO:0032869	cellular response to insulin stimulus	184	6	1.5	0.00859	0.00859	4	L4_to_L2	concordant_up	58	7127	N13.HOG0004754; N13.HOG0005374; N13.HOG0006185; N13.HOG0006201; N13.HOG0006961; N13.HOG0007424	Insulin/FoxO/TOR	1
GO:0048102	autophagic cell death	31	3	0.25	0.00196	0.00196	12	L4_to_L2	concordant_up	58	7127	N13.HOG0003585; N13.HOG0004754; N13.HOG0006858	Lifespan/diapause/stress	1
GO:0045912	negative regulation of carbohydrate meta...	27	4	0.22	6.0e-05	6e-5	18.181818181818183	L4_to_L2	concordant_up	58	7127	N13.HOG0006185; N13.HOG0006537; N13.HOG0006961; N13.HOG0008458	Nutrient/lipid metabolism	1
GO:0001541	ovarian follicle development	33	4	0.27	0.00014	1.4e-4	14.814814814814813	L4_to_L2	concordant_up	58	7127	N13.HOG0001538; N13.HOG0005004; N13.HOG0006201; N13.HOG0009652	Reproduction	1
GO:0008585	female gonad development	64	2	0.21	0.01779	0.01779	9.523809523809524	L5_to_L2	concordant_up	23	7127	N13.HOG0000655; N13.HOG0005090	Reproduction	1
GO:0071390	cellular response to ecdysone	23	2	0.2	0.01624	0.01624	10	P_to_P	concordant_up	61	7127	N13.HOG0003585; N13.HOG0003588	Ecdysone/development	1
GO:0048009	insulin-like growth factor receptor sign...	21	2	0.18	0.01363	0.01363	11.11111111111111	P_to_P	concordant_up	61	7127	N13.HOG0005679; N13.HOG0010501	Insulin/FoxO/TOR	1
GO:1902175	regulation of oxidative stress-induced i...	23	2	0.2	0.01624	0.01624	10	P_to_P	concordant_up	61	7127	N13.HOG0005679; N13.HOG0005834	Lifespan/diapause/stress	1
GO:0010884	positive regulation of lipid storage	27	3	0.23	0.00151	0.00151	13.043478260869565	P_to_P	concordant_up	61	7127	N13.HOG0000342; N13.HOG0003383; N13.HOG0005679	Nutrient/lipid metabolism	1
GO:0022412	cellular process involved in reproductio...	948	15	8.11	0.00017	1.7e-4	1.8495684340320593	P_to_P	concordant_up	61	7127	N13.HOG0002379; N13.HOG0002408; N13.HOG0002756; N13.HOG0003585; N13.HOG0003588; N13.HOG0004078; N13.HOG0005084; N13.HOG0005637; N13.HOG0005667; N13.HOG0005679; N13.HOG0005825; N13.HOG0005834; N13.HOG0008362; N13.HOG0009035; N13.HOG0010501	Reproduction	1
