vv_stage	pd_stage	allowed	estimate	std.error	conf.low	conf.high	p.value	n	p.adj	lag	universe	lfc	se	predictors	model
L1	L1	TRUE	0.007917829112406218	0.007467627810527557	0	0.025077604092526892	0.16	5599	0.96	0	vv_de_any	shrunk	raw	older_or_equal	ridge
L1	L2	TRUE	0	0	0	0	1	5599	1	-1	vv_de_any	shrunk	raw	older_or_equal	ridge
L1	L3	TRUE	0	0	0	0	1	5599	1	-2	vv_de_any	shrunk	raw	older_or_equal	ridge
L1	L4	TRUE	0	0	0	0	1	5599	1	-3	vv_de_any	shrunk	raw	older_or_equal	ridge
L1	L5	TRUE	0	0	0	0	1	5599	1	-4	vv_de_any	shrunk	raw	older_or_equal	ridge
L1	P	TRUE	0.008160485569556298	0.005119495399925694	3.913413379362141e-40	0.018811110093716006	0.008	5599	0.048	-5	vv_de_any	shrunk	raw	older_or_equal	ridge
L2	L1	FALSE	NA	NA	NA	NA	NA	NA	NA	1	vv_de_any	shrunk	raw	older_or_equal	ridge
L2	L2	TRUE	0.10081626788041129	0.017665174880597344	0.0667534770824808	0.1354953690114516	0	5599	0	0	vv_de_any	shrunk	raw	older_or_equal	ridge
L2	L3	TRUE	0.03222681913591536	0.026697179180527386	0	0.09013243081129332	0.24	5599	1	-1	vv_de_any	shrunk	raw	older_or_equal	ridge
L2	L4	TRUE	0.09583408070110253	0.01028823183972267	0.07572261547064263	0.11401529792342174	0	5599	0	-2	vv_de_any	shrunk	raw	older_or_equal	ridge
L2	L5	TRUE	0.010939459728547832	0.012792002045410962	0	0.04230563548433951	0.416	5599	1	-3	vv_de_any	shrunk	raw	older_or_equal	ridge
L2	P	TRUE	0.01697168206193091	0.00789275953758758	8.774147277418462e-4	0.031858683321719004	0.04	5599	0.2	-4	vv_de_any	shrunk	raw	older_or_equal	ridge
L3	L1	FALSE	NA	NA	NA	NA	NA	NA	NA	2	vv_de_any	shrunk	raw	older_or_equal	ridge
L3	L2	FALSE	NA	NA	NA	NA	NA	NA	NA	1	vv_de_any	shrunk	raw	older_or_equal	ridge
L3	L3	TRUE	0.10983867979731521	0.017133641324816665	0.07690382871711894	0.14504779997302045	0	5599	0	0	vv_de_any	shrunk	raw	older_or_equal	ridge
L3	L4	TRUE	0	0	0	0	1	5599	1	-1	vv_de_any	shrunk	raw	older_or_equal	ridge
L3	L5	TRUE	0	0	0	0	1	5599	1	-2	vv_de_any	shrunk	raw	older_or_equal	ridge
L3	P	TRUE	0.0066645711475465125	0.006932806661519308	0	0.024297536821196036	0.392	5599	1	-3	vv_de_any	shrunk	raw	older_or_equal	ridge
L4	L1	FALSE	NA	NA	NA	NA	NA	NA	NA	3	vv_de_any	shrunk	raw	older_or_equal	ridge
L4	L2	FALSE	NA	NA	NA	NA	NA	NA	NA	2	vv_de_any	shrunk	raw	older_or_equal	ridge
L4	L3	FALSE	NA	NA	NA	NA	NA	NA	NA	1	vv_de_any	shrunk	raw	older_or_equal	ridge
L4	L4	TRUE	0	0	0	0	1	5599	1	0	vv_de_any	shrunk	raw	older_or_equal	ridge
L4	L5	TRUE	0	0	0	0	1	5599	1	-1	vv_de_any	shrunk	raw	older_or_equal	ridge
L4	P	TRUE	0	3.385222416752896e-42	0	0	1	5599	1	-2	vv_de_any	shrunk	raw	older_or_equal	ridge
L5	L1	FALSE	NA	NA	NA	NA	NA	NA	NA	4	vv_de_any	shrunk	raw	older_or_equal	ridge
L5	L2	FALSE	NA	NA	NA	NA	NA	NA	NA	3	vv_de_any	shrunk	raw	older_or_equal	ridge
L5	L3	FALSE	NA	NA	NA	NA	NA	NA	NA	2	vv_de_any	shrunk	raw	older_or_equal	ridge
L5	L4	FALSE	NA	NA	NA	NA	NA	NA	NA	1	vv_de_any	shrunk	raw	older_or_equal	ridge
L5	L5	TRUE	0	0	0	0	1	5599	1	0	vv_de_any	shrunk	raw	older_or_equal	ridge
L5	P	TRUE	0	5.502886489110999e-4	0	3.043700133333598e-41	1	5599	1	-1	vv_de_any	shrunk	raw	older_or_equal	ridge
P	L1	FALSE	NA	NA	NA	NA	NA	NA	NA	5	vv_de_any	shrunk	raw	older_or_equal	ridge
P	L2	FALSE	NA	NA	NA	NA	NA	NA	NA	4	vv_de_any	shrunk	raw	older_or_equal	ridge
P	L3	FALSE	NA	NA	NA	NA	NA	NA	NA	3	vv_de_any	shrunk	raw	older_or_equal	ridge
P	L4	FALSE	NA	NA	NA	NA	NA	NA	NA	2	vv_de_any	shrunk	raw	older_or_equal	ridge
P	L5	FALSE	NA	NA	NA	NA	NA	NA	NA	1	vv_de_any	shrunk	raw	older_or_equal	ridge
P	P	TRUE	0.5838568770270605	0.0715955274198648	0.468576594708877	0.7466977823005572	0	5599	0	0	vv_de_any	shrunk	raw	older_or_equal	ridge
