sample	candidate_HOGs	selected_HOGs	selected_SC	selected_Stage	selected_Species	pd_TMM_reference	vv_TMM_reference
pd103	8696	4826	1293	1420	2421	pd33	vv184
pd105	8697	4642	1238	1334	2327	pd33	vv184
pd106	8696	4668	1238	1366	2325	pd33	vv184
pd11	8695	4857	1340	1377	2459	pd33	vv184
pd110	8696	4531	1167	1122	2461	pd33	vv184
pd112	8698	4559	1258	1076	2461	pd33	vv184
pd115	8679	4572	1284	1092	2440	pd33	vv184
pd119	8681	4674	1216	1285	2438	pd33	vv184
pd12	8697	4795	1238	1378	2471	pd33	vv184
pd120	8681	4702	1221	1323	2425	pd33	vv184
pd122	8678	4703	1182	1352	2428	pd33	vv184
pd123	8681	4790	1223	1375	2450	pd33	vv184
pd128	8681	4738	1155	1345	2485	pd46	vv184
pd13	8687	4741	1242	1342	2443	pd33	vv184
pd130	8679	4911	1237	1487	2488	pd46	vv184
pd134	8696	4657	1136	1323	2440	pd33	vv184
pd137	8699	4575	1041	1348	2397	pd46	vv184
pd14	8698	4776	1250	1290	2504	pd33	vv184
pd142	8697	4794	1226	1385	2445	pd33	vv184
pd143	8697	4712	1217	1330	2430	pd33	vv184
pd149	8680	4446	1225	1062	2379	pd33	vv184
pd15	8698	4705	1257	1263	2448	pd33	vv184
pd150	8695	4397	1005	1123	2443	pd33	vv184
pd152	8682	4752	1196	1379	2440	pd33	vv184
pd16	8681	4455	1196	1044	2423	pd33	vv184
pd17	8681	4481	1221	1056	2426	pd33	vv184
pd19	8681	4771	1287	1353	2425	pd33	vv184
pd2	8698	4974	1272	1616	2407	pd33	vv184
pd20	8677	4665	1176	1260	2471	pd33	vv184
pd21	8701	4581	1233	1070	2503	pd33	vv184
pd22	8697	4667	1216	1137	2551	pd33	vv184
pd23	8694	4821	1186	1393	2520	pd33	vv184
pd24	8699	4799	1105	1418	2526	pd33	vv184
pd25	8689	4724	1183	1344	2463	pd33	vv184
pd26	8688	4788	1321	1326	2442	pd33	vv184
pd27	8696	4862	1253	1428	2470	pd33	vv184
pd28	8695	5003	1345	1445	2542	pd33	vv184
pd29	8682	4728	1160	1382	2439	pd33	vv184
pd3	8680	4905	1236	1537	2434	pd33	vv184
pd30	8680	4796	1145	1525	2392	pd33	vv184
pd31	8679	4659	1219	1255	2440	pd33	vv184
pd32	8680	4452	1194	1034	2428	pd33	vv184
pd33	8700	4760	1215	1386	2429	pd37	vv184
pd34	8699	4594	1187	1089	2542	pd33	vv184
pd35	8700	4859	1290	1396	2467	pd33	vv184
pd36	8699	4873	1288	1409	2467	pd33	vv184
pd37	8698	4828	1338	1348	2454	pd33	vv184
pd38	8693	4718	1293	1269	2440	pd33	vv184
pd40	8697	4595	1244	1109	2491	pd33	vv184
pd43	8698	4688	1298	1183	2474	pd33	vv184
pd45	8683	4550	1185	1169	2427	pd33	vv184
pd46	8681	4652	1206	1272	2430	pd33	vv184
pd49	8682	5000	1332	1561	2442	pd33	vv184
pd5	8681	4673	1118	1365	2428	pd33	vv184
pd51	8683	4696	1222	1321	2418	pd33	vv184
pd52	8683	4679	1173	1322	2435	pd33	vv184
pd55	8683	4679	1147	1341	2439	pd33	vv184
pd56	8681	4729	1151	1490	2346	pd46	vv184
pd57	8683	4806	1264	1500	2330	pd46	vv184
pd58	8683	4519	1118	1137	2478	pd46	vv184
pd6	8683	4698	1132	1359	2447	pd33	vv184
pd63	8697	4826	1088	1501	2499	pd46	vv184
pd66	8699	4844	1155	1494	2465	pd46	vv184
