"sample","Species","Stage","SC2","Axis1_SC","Axis2_Stage","Axis3_Species"
"pd103","Pd","L5","L/Q",10.1800916531734,35.2608002772346,-35.4658477315
"pd105","Pd","P","L/Q",-2.12597880819402,39.4620644710687,-32.5629679527473
"pd106","Pd","P","L/Q",-5.38529121884769,40.43513373784,-32.2476378103174
"pd11","Pd","L5","E/W",-8.49704572969896,29.1028790957039,-32.8158414695119
"pd110","Pd","L1","L/Q",-1.69505329770966,-13.8579584775065,-44.8094494154261
"pd112","Pd","L1","L/Q",12.6191017564506,-0.717464134443045,-45.1272081124163
"pd115","Pd","L2","L/Q",10.4072337793705,1.14762519550485,-45.1623425856736
"pd119","Pd","L2","L/Q",7.66240927834489,-13.9387853683104,-39.5029120401442
"pd12","Pd","P","E/W",-17.5476332764729,33.7100781912936,-32.5358451130331
"pd120","Pd","L2","L/Q",13.1921564812037,-9.63826683228308,-38.6775267385127
"pd122","Pd","L3","L/Q",11.4328900867289,4.59514731058035,-43.3821828851163
"pd123","Pd","L3","L/Q",25.1435352622633,23.3463209246613,-48.4592446687314
"pd128","Pd","L4","L/Q",19.0402411564908,17.4460360265314,-40.3792568232166
"pd13","Pd","P","E/W",-44.6503439591114,19.1981150711675,-33.4881279881894
"pd130","Pd","L4","L/Q",17.8682218179603,22.6528657542272,-40.6066167875318
"pd134","Pd","L5","L/Q",8.35991663645892,35.5111467511745,-33.9693003205603
"pd137","Pd","L5","L/Q",25.1640406794407,34.2717914235268,-40.2752250984081
"pd14","Pd","L1","E/W",-15.3225225505958,-12.5015705457533,-40.1115740731865
"pd142","Pd","P","L/Q",-24.9749026003879,28.2220779198989,-31.3102266662571
"pd143","Pd","P","L/Q",-5.74715695998665,37.9054274221929,-31.9808759091405
"pd149","Pd","L2","E/W",-0.934531304391929,-4.20860345778057,-37.7609230627366
"pd15","Pd","L1","E/W",-4.92829802902981,-20.9949740876059,-37.3854762791826
"pd150","Pd","L1","E/W",-28.7293760215444,-19.4565485868299,-43.6308869812576
"pd152","Pd","L3","E/W",-9.43112122203727,-37.1736796827177,-34.5016628749911
"pd16","Pd","L2","E/W",-6.32299531753576,-11.8870202237724,-39.3956185154027
"pd17","Pd","L2","E/W",-13.103434206001,-10.215880335537,-37.5122606769435
"pd19","Pd","L3","E/W",-1.73556642195205,-8.85907718588918,-37.3178164559287
"pd2","Pd","L1","E/W",-30.2945221473692,-67.1348530328728,-31.5781661841109
"pd20","Pd","L3","E/W",-7.58994819284397,-15.7574707328022,-36.7051744252905
"pd21","Pd","L4","E/W",-0.937498955502328,-12.5899349278127,-33.8902033795253
"pd22","Pd","L4","E/W",-7.05541434745512,-14.9144440541692,-37.6367371158846
