Node	Ontology	GO ID	GO term	Total HOGs (n)	Foreground HOGs (n)	Expected	Fold enrichment	weight01 P	Contributing HOGs
20	BP	GO:0006723	cuticle hydrocarbon biosynthetic process	9	2	0.01	200	2.9e-05	N0.HOG0000101;N0.HOG0000639
20	BP	GO:0050911	detection of chemical stimulus involved in sensory perception of smell	34	2	0.03	66.6666666666667	0.00045	N0.HOG0000028;N0.HOG0000158
20	BP	GO:0006713	glucocorticoid catabolic process	1	1	0	Inf	0.00098	N0.HOG0000058
20	BP	GO:0019373	epoxygenase P450 pathway	1	1	0	Inf	0.00098	N0.HOG0000101
20	BP	GO:0018904	ether metabolic process	13	2	0.01	200	0.00168	N0.HOG0000101;N0.HOG0000639
20	BP	GO:0043456	regulation of pentose-phosphate shunt	2	1	0	Inf	0.00195	N0.HOG0000058
20	BP	GO:0046222	aflatoxin metabolic process	2	1	0	Inf	0.00195	N0.HOG0000101
20	BP	GO:0032100	positive regulation of appetite	3	1	0	Inf	0.00293	N0.HOG0000639
20	BP	GO:1902321	methyl-branched fatty acid biosynthetic process	3	1	0	Inf	0.00293	N0.HOG0000639
20	BP	GO:1990616	magnesium ion export from mitochondrion	3	1	0	Inf	0.00293	N0.HOG0000058
20	BP	GO:0002003	angiotensin maturation	4	1	0	Inf	0.0039	N0.HOG0000299
20	BP	GO:0010961	intracellular magnesium ion homeostasis	4	1	0	Inf	0.0039	N0.HOG0000058
20	BP	GO:1902603	carnitine transmembrane transport	4	1	0	Inf	0.0039	N0.HOG0000058
20	BP	GO:1902616	O-acyl-L-carnitine transmembrane transport	4	1	0	Inf	0.0039	N0.HOG0000058
20	BP	GO:0019233	sensory perception of pain	105	2	0.1	20	0.00426	N0.HOG0000028;N0.HOG0000101
20	BP	GO:0006718	juvenile hormone biosynthetic process	5	1	0	Inf	0.00488	N0.HOG0000058
20	BP	GO:0010430	fatty acid omega-oxidation	5	1	0	Inf	0.00488	N0.HOG0000101
20	BP	GO:0030223	neutrophil differentiation	6	1	0.01	100	0.00585	N0.HOG0000639
20	BP	GO:0006704	glucocorticoid biosynthetic process	7	1	0.01	100	0.00682	N0.HOG0000058
20	BP	GO:0006853	carnitine shuttle	7	1	0.01	100	0.00682	N0.HOG0000058
20	BP	GO:0008611	ether lipid biosynthetic process	8	1	0.01	100	0.0078	N0.HOG0000639
20	BP	GO:0040022	feminization of hermaphroditic germ-line	8	1	0.01	100	0.0078	N0.HOG0000028
20	BP	GO:0071329	cellular response to sucrose stimulus	9	1	0.01	100	0.00877	N0.HOG0000639
20	BP	GO:0016125	sterol metabolic process	98	2	0.1	20	0.00929	N0.HOG0000101;N0.HOG0000639
20	BP	GO:0006121	mitochondrial electron transport, succinate to ubiquinone	10	1	0.01	100	0.00974	N0.HOG0000158
20	BP	GO:0090557	establishment of endothelial intestinal barrier	11	1	0.01	100	0.0107	N0.HOG0000639
20	BP	GO:0006089	lactate metabolic process	13	1	0.01	100	0.01264	N0.HOG0000639
20	BP	GO:0006105	succinate metabolic process	14	1	0.01	100	0.01361	N0.HOG0000158
20	BP	GO:0006825	copper ion transport	14	1	0.01	100	0.01361	N0.HOG0000028
20	BP	GO:0016063	rhodopsin biosynthetic process	15	1	0.01	100	0.01457	N0.HOG0000058
20	BP	GO:0030224	monocyte differentiation	17	1	0.02	50	0.0165	N0.HOG0000639
20	BP	GO:0042447	hormone catabolic process	17	1	0.02	50	0.0165	N0.HOG0000058
20	BP	GO:0043455	regulation of secondary metabolic process	17	1	0.02	50	0.0165	N0.HOG0000058
20	BP	GO:1901568	fatty acid derivative metabolic process	72	2	0.07	28.5714285714286	0.01842	N0.HOG0000101;N0.HOG0000639
20	BP	GO:0035002	liquid clearance, open tracheal system	19	1	0.02	50	0.01843	N0.HOG0000058
20	BP	GO:0043171	peptide catabolic process	19	1	0.02	50	0.01843	N0.HOG0000299
20	BP	GO:0072488	ammonium transmembrane transport	19	1	0.02	50	0.01843	N0.HOG0000058
20	BP	GO:0071392	cellular response to estradiol stimulus	20	1	0.02	50	0.01939	N0.HOG0000058
20	BP	GO:0006491	N-glycan processing	22	1	0.02	50	0.02131	N0.HOG0000158
20	BP	GO:0046949	fatty-acyl-CoA biosynthetic process	22	1	0.02	50	0.02131	N0.HOG0000639
20	BP	GO:0071353	cellular response to interleukin-4	22	1	0.02	50	0.02131	N0.HOG0000639
20	BP	GO:0040038	polar body extrusion after meiotic divisions	23	1	0.02	50	0.02227	N0.HOG0000101
20	BP	GO:0055070	copper ion homeostasis	23	1	0.02	50	0.02227	N0.HOG0000028
20	BP	GO:0006084	acetyl-CoA metabolic process	25	1	0.02	50	0.02419	N0.HOG0000639
20	BP	GO:0033227	dsRNA transport	27	1	0.03	33.3333333333333	0.0261	N0.HOG0000299
20	BP	GO:0001523	retinoid metabolic process	28	1	0.03	33.3333333333333	0.02706	N0.HOG0000101
20	BP	GO:0019432	triglyceride biosynthetic process	30	1	0.03	33.3333333333333	0.02896	N0.HOG0000639
20	BP	GO:0006369	termination of RNA polymerase II transcription	32	1	0.03	33.3333333333333	0.03087	N0.HOG0000101
20	BP	GO:0045540	regulation of cholesterol biosynthetic process	33	1	0.03	33.3333333333333	0.03182	N0.HOG0000639
20	BP	GO:0008610	lipid biosynthetic process	440	3	0.43	6.97674418604651	0.0321	N0.HOG0000058;N0.HOG0000101;N0.HOG0000639
20	BP	GO:0046688	response to copper ion	36	1	0.04	25	0.03467	N0.HOG0000028
