Species	Stage	Contrast	Estimate	SE	df	t_ratio	One_sided_P
Polistes dominula	L1	(L/Q) - (E/W)	15.190783506725799	4.067790633172896	124	3.734406432534832	1.427568865967835e-4
Polistes dominula	L2	(L/Q) - (E/W)	20.793071006510004	3.085264498191223	124	6.739477610007251	2.66975420385131e-10
Polistes dominula	L3	(L/Q) - (E/W)	15.169628045062353	3.423506060033704	124	4.431021233510832	1.0187699980509678e-5
Polistes dominula	L4	(L/Q) - (E/W)	18.43619661064062	2.7128806006781483	124	6.7958009674410516	2.009476179230328e-10
Polistes dominula	L5	(L/Q) - (E/W)	12.713545293002943	3.3971029591996214	124	3.7424668741857423	1.3870593214117797e-4
Polistes dominula	P	(L/Q) - (E/W)	18.832567353090365	3.9169519278558202	124	4.807964892078598	2.165016397391837e-6
Vespula vulgaris	L1	(L/Q) - (E/W)	6.867683979640649	3.468735885853194	124	1.9798809150185346	0.024965783703674072
Vespula vulgaris	L2	(L/Q) - (E/W)	12.469971479424853	2.56215751257896	124	4.866980823077151	1.6868497120996765e-6
Vespula vulgaris	L3	(L/Q) - (E/W)	6.846528517977203	2.92274034706774	124	2.342503166538906	0.010373947451845033
Vespula vulgaris	L4	(L/Q) - (E/W)	10.11309708355547	2.8183002530341614	124	3.58836751785683	2.3870560097232415e-4
Vespula vulgaris	L5	(L/Q) - (E/W)	4.390445765917793	2.7943169633437255	124	1.5712053512584032	0.05934159333527084
Vespula vulgaris	P	(L/Q) - (E/W)	10.509467826005217	3.577878784298491	124	2.9373459693844244	0.001973879223268203
