Species	Stage	Contrast	Estimate	SE	df	t_ratio	P_value
Polistes dominula	L1	(L/Q) - (E/W)	15.190783506725799	4.067790633172896	124	3.734406432534832	2.85513773193567e-4
Polistes dominula	L2	(L/Q) - (E/W)	20.793071006510004	3.085264498191223	124	6.739477610007251	5.33950840770262e-10
Polistes dominula	L3	(L/Q) - (E/W)	15.169628045062353	3.423506060033704	124	4.431021233510832	2.0375399961019355e-5
Polistes dominula	L4	(L/Q) - (E/W)	18.43619661064062	2.7128806006781483	124	6.7958009674410516	4.018952358460656e-10
Polistes dominula	L5	(L/Q) - (E/W)	12.713545293002943	3.3971029591996214	124	3.7424668741857423	2.7741186428235595e-4
Polistes dominula	P	(L/Q) - (E/W)	18.832567353090365	3.9169519278558202	124	4.807964892078598	4.330032794783674e-6
Vespula vulgaris	L1	(L/Q) - (E/W)	6.867683979640649	3.468735885853194	124	1.9798809150185346	0.049931567407348144
Vespula vulgaris	L2	(L/Q) - (E/W)	12.469971479424853	2.56215751257896	124	4.866980823077151	3.373699424199353e-6
Vespula vulgaris	L3	(L/Q) - (E/W)	6.846528517977203	2.92274034706774	124	2.342503166538906	0.020747894903690067
Vespula vulgaris	L4	(L/Q) - (E/W)	10.11309708355547	2.8183002530341614	124	3.58836751785683	4.774112019446483e-4
Vespula vulgaris	L5	(L/Q) - (E/W)	4.390445765917793	2.7943169633437255	124	1.5712053512584032	0.11868318667054167
Vespula vulgaris	P	(L/Q) - (E/W)	10.509467826005217	3.577878784298491	124	2.9373459693844244	0.003947758446536406
