Vespula_response_stage	Polistes_predictor_stage	Stage_lag	HOGs	Partial_slope	Bootstrap_SE	CI_95_lower	CI_95_upper	Centred_bootstrap_P	Bonferroni_P
L1	L1	0	5599	0.01	0.007	0	0.025	0.32	1
L1	L2	-1	5599	0	0	0	0	1	1
L1	L3	-2	5599	0	0	0	0	1	1
L1	L4	-3	5599	0	0	0	0	1	1
L1	L5	-4	5599	0	0	0	0	1	1
L1	P	-5	5599	0.01	0.005	0	0.019	0.15	0.87
L2	L2	0	5599	0.10	0.018	0.067	0.135	0.002	0.010
L2	L3	-1	5599	0.03	0.027	0.000	0.090	0.28	1
L2	L4	-2	5599	0.10	0.010	0.076	0.114	0.002	0.010
L2	L5	-3	5599	0.01	0.013	0	0.042	0.48	1
L2	P	-4	5599	0.02	0.008	0.001	0.032	0.036	0.18
L3	L3	0	5599	0.11	0.017	0.077	0.145	0.002	0.008
L3	L4	-1	5599	0	0	0	0	1	1
L3	L5	-2	5599	0	0	0	0	1	1
L3	P	-3	5599	0.01	0.007	0	0.024	0.427	1
L4	L4	0	5599	0	0	0	0	1	1
L4	L5	-1	5599	0	0	0	0	1	1
L4	P	-2	5599	0	0	0	0	1	1
L5	L5	0	5599	0	0	0	0	1	1
L5	P	-1	5599	0	0.001	0	0	1	1
P	P	0	5599	0.58	0.072	0.469	0.747	0.002	0.002
