HOG	GO.ID	Term	ontology	change	branch_p	p_raw	topGOresult	Significant	Expected	FoldEnrichment	consensus_gene_name	run	node	biological_label
N0.HOG0000028	GO:0050911	detection of chemical stimulus involved in sensory perception of smell	BP	2	0.00774613	0.00045	0.00045	2	0.03	66.6666666666667	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000028	GO:0019233	sensory perception of pain	BP	2	0.00774613	0.00426	0.00426	2	0.1	20	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000028	GO:0040022	feminization of hermaphroditic germ-line	BP	2	0.00774613	0.0078	0.00780	1	0.01	100	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000028	GO:0006825	copper ion transport	BP	2	0.00774613	0.01361	0.01361	1	0.01	100	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000028	GO:0055070	copper ion homeostasis	BP	2	0.00774613	0.02227	0.02227	1	0.02	50	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000028	GO:0046688	response to copper ion	BP	2	0.00774613	0.03467	0.03467	1	0.04	25	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000028	GO:0000398	mRNA splicing, via spliceosome	BP	2	0.00774613	0.03726	0.03726	2	0.32	6.25	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000028	GO:0007608	sensory perception of smell	BP	2	0.00774613	0.03731	0.03731	3	0.09	33.3333333333333	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000028	GO:0010172	embryonic body morphogenesis	BP	2	0.00774613	0.04317	0.04317	1	0.04	25	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000028	GO:0032590	dendrite membrane	CC	2	0.00774613	0.00069	0.00069	2	0.04	50	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000028	GO:0004984	olfactory receptor activity	MF	2	0.00774613	0.00026	0.00026	2	0.03	66.6666666666667	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000028	GO:0005549	odorant binding	MF	2	0.00774613	0.00031	0.00031	2	0.03	66.6666666666667	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000028	GO:0005507	copper ion binding	MF	2	0.00774613	0.03286	0.03286	1	0.03	33.3333333333333	odorant receptor family	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0006713	glucocorticoid catabolic process	BP	3	0.000638988	0.00098	0.00098	1	0	Inf	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0043456	regulation of pentose-phosphate shunt	BP	3	0.000638988	0.00195	0.00195	1	0	Inf	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:1990616	magnesium ion export from mitochondrion	BP	3	0.000638988	0.00293	0.00293	1	0	Inf	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0010961	intracellular magnesium ion homeostasis	BP	3	0.000638988	0.0039	0.00390	1	0	Inf	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:1902603	carnitine transmembrane transport	BP	3	0.000638988	0.0039	0.00390	1	0	Inf	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:1902616	O-acyl-L-carnitine transmembrane transport	BP	3	0.000638988	0.0039	0.00390	1	0	Inf	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0006718	juvenile hormone biosynthetic process	BP	3	0.000638988	0.00488	0.00488	1	0	Inf	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0006704	glucocorticoid biosynthetic process	BP	3	0.000638988	0.00682	0.00682	1	0.01	100	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0006853	carnitine shuttle	BP	3	0.000638988	0.00682	0.00682	1	0.01	100	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0016063	rhodopsin biosynthetic process	BP	3	0.000638988	0.01457	0.01457	1	0.01	100	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0042447	hormone catabolic process	BP	3	0.000638988	0.0165	0.01650	1	0.02	50	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
N0.HOG0000058	GO:0043455	regulation of secondary metabolic process	BP	3	0.000638988	0.0165	0.01650	1	0.02	50	farnesol dehydrogenase-like / dehydrogenase/reductase SDR family member 11-like	wasp	20	crown social Vespidae (Polistinae + Vespinae)
