GO.ID	Term	Annotated	Significant	Expected	FoldEnrichment	topGOresult	p_raw	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	ontology	algorithm	statistic	Members_n	Members	run	node	biological_label
GO:0006723	cuticle hydrocarbon biosynthetic process	9	2	0.01	200	2.9e-05	2.9e-05	0.403274	0.403274	0.403274	0.403274	0.403274	1	0.403274	2.9e-05	BP	weight01	fisher	2	N0.HOG0000101;N0.HOG0000639	wasp	20	crown social Vespidae (Polistinae + Vespinae)
GO:0004984	olfactory receptor activity	23	2	0.03	66.6666666666667	0.00026	0.00026	0.91156	0.91156	0.9113	0.91156	0.54343	1	0.54343	0.00026	MF	weight01	fisher	2	N0.HOG0000028;N0.HOG0000158	wasp	20	crown social Vespidae (Polistinae + Vespinae)
GO:0005549	odorant binding	25	2	0.03	66.6666666666667	0.00031	0.00031	1	1	1	1	0.54343	1	0.54343	0.00031	MF	weight01	fisher	2	N0.HOG0000028;N0.HOG0000158	wasp	20	crown social Vespidae (Polistinae + Vespinae)
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	34	2	0.03	66.6666666666667	0.00045	0.00045	1	1	1	1	1	1	1	0.00045	BP	weight01	fisher	2	N0.HOG0000028;N0.HOG0000158	wasp	20	crown social Vespidae (Polistinae + Vespinae)
GO:0032590	dendrite membrane	41	2	0.04	50	0.00069	0.00069	1	1	1	1	1	1	1	0.00069	CC	weight01	fisher	2	N0.HOG0000028;N0.HOG0000158	wasp	20	crown social Vespidae (Polistinae + Vespinae)
GO:0018904	ether metabolic process	13	2	0.01	200	0.00168	0.00168	1	1	1	1	1	1	1	0.00168	BP	weight01	fisher	2	N0.HOG0000101;N0.HOG0000639	wasp	20	crown social Vespidae (Polistinae + Vespinae)
GO:0019233	sensory perception of pain	105	2	0.1	20	0.00426	0.00426	1	1	1	1	1	1	1	0.00426	BP	weight01	fisher	2	N0.HOG0000028;N0.HOG0000101	wasp	20	crown social Vespidae (Polistinae + Vespinae)
GO:0016125	sterol metabolic process	98	2	0.1	20	0.00929	0.00929	1	1	1	1	1	1	1	0.00929	BP	weight01	fisher	2	N0.HOG0000101;N0.HOG0000639	wasp	20	crown social Vespidae (Polistinae + Vespinae)
GO:0004312	fatty acid synthase activity	10	2	0.01	200	6.3e-05	6.3e-05	0.220878	0.220878	0.220878	0.220878	0.220878	1	0.220878	6.3e-05	MF	weight01	fisher	2	N0.HOG0000114;N0.HOG0000162	wasp	25	crown Vespinae (advanced eusocial wasps)
GO:1905268	negative regulation of chromatin organization	70	2	0.08	25	0.0025	0.0025	1	1	1	1	1	1	1	0.0025	BP	weight01	fisher	2	N0.HOG0000155;N0.HOG0000814	wasp	25	crown Vespinae (advanced eusocial wasps)
