GO.ID	Term	Annotated	Significant	Expected	FoldEnrichment	topGOresult	p_raw	holm	hochberg	hommel	bonferroni	BH	BY	fdr	none	ontology	algorithm	statistic	Members_n	Members
GO:0006723	cuticle hydrocarbon biosynthetic process	9	2	0.01	200	2.9e-05	2.9e-05	0.403274	0.403274	0.403274	0.403274	0.403274	1	0.403274	2.9e-05	BP	weight01	fisher	2	N0.HOG0000101;N0.HOG0000639
GO:0004984	olfactory receptor activity	23	2	0.03	66.6666666666667	0.00026	0.00026	0.91156	0.91156	0.9113	0.91156	0.54343	1	0.54343	0.00026	MF	weight01	fisher	2	N0.HOG0000028;N0.HOG0000158
GO:0005549	odorant binding	25	2	0.03	66.6666666666667	0.00031	0.00031	1	1	1	1	0.54343	1	0.54343	0.00031	MF	weight01	fisher	2	N0.HOG0000028;N0.HOG0000158
GO:0050911	detection of chemical stimulus involved in sensory perception of smell	34	2	0.03	66.6666666666667	0.00045	0.00045	1	1	1	1	1	1	1	0.00045	BP	weight01	fisher	2	N0.HOG0000028;N0.HOG0000158
GO:0032590	dendrite membrane	41	2	0.04	50	0.00069	0.00069	1	1	1	1	1	1	1	0.00069	CC	weight01	fisher	2	N0.HOG0000028;N0.HOG0000158
GO:0019373	epoxygenase P450 pathway	1	1	0	Inf	0.00098	0.00098	1	1	1	1	1	1	1	0.00098	BP	weight01	fisher	1	N0.HOG0000101
GO:0006713	glucocorticoid catabolic process	1	1	0	Inf	0.00098	0.00098	1	1	1	1	1	1	1	0.00098	BP	weight01	fisher	1	N0.HOG0000058
GO:0003845	11-beta-hydroxysteroid dehydrogenase [NAD(P)+] activity	1	1	0	Inf	0.00111	0.00111	1	1	1	1	0.778332	1	0.778332	0.00111	MF	weight01	fisher	1	N0.HOG0000058
GO:0047886	farnesol dehydrogenase activity	1	1	0	Inf	0.00111	0.00111	1	1	1	1	0.778332	1	0.778332	0.00111	MF	weight01	fisher	1	N0.HOG0000058
GO:0008392	arachidonate epoxygenase activity	1	1	0	Inf	0.00111	0.00111	1	1	1	1	0.778332	1	0.778332	0.00111	MF	weight01	fisher	1	N0.HOG0000101
GO:0018904	ether metabolic process	13	2	0.01	200	0.00168	0.00168	1	1	1	1	1	1	1	0.00168	BP	weight01	fisher	2	N0.HOG0000101;N0.HOG0000639
GO:0043456	regulation of pentose-phosphate shunt	2	1	0	Inf	0.00195	0.00195	1	1	1	1	1	1	1	0.00195	BP	weight01	fisher	1	N0.HOG0000058
GO:0046222	aflatoxin metabolic process	2	1	0	Inf	0.00195	0.00195	1	1	1	1	1	1	1	0.00195	BP	weight01	fisher	1	N0.HOG0000101
GO:0072582	17-beta-hydroxysteroid dehydrogenase (NADP+) activity	2	1	0	Inf	0.00222	0.00222	1	1	1	1	1	1	1	0.00222	MF	weight01	fisher	1	N0.HOG0000058
GO:0071771	aldehyde oxygenase (deformylating) activity	2	1	0	Inf	0.00222	0.00222	1	1	1	1	1	1	1	0.00222	MF	weight01	fisher	1	N0.HOG0000101
