Species	Stage	Contrast	Estimate	SE	df	t_ratio	P_value
Polistes dominula	L1	(L/Q) - (E/W)	13.834616195736526	3.5360098887279054	124	3.9124936386175064	1.4966299124728627e-4
Polistes dominula	L2	(L/Q) - (E/W)	18.93736448956363	2.7965700138198755	124	6.771639685750907	4.540423124998843e-10
Polistes dominula	L3	(L/Q) - (E/W)	14.472800655961839	3.1282787033000594	124	4.62644221587236	9.219636399602757e-6
Polistes dominula	L4	(L/Q) - (E/W)	17.02974035027033	2.344355105757014	124	7.2641471031630545	3.649689579496981e-11
Polistes dominula	L5	(L/Q) - (E/W)	11.900689294269885	2.8365664983987298	124	4.1954557740803695	5.1448611974526e-5
Polistes dominula	P	(L/Q) - (E/W)	16.477580737818215	3.399642084053108	124	4.846857501591279	3.6741290612063986e-6
Vespula vulgaris	L1	(L/Q) - (E/W)	6.325584660043443	3.0249126951934118	124	2.091162720198438	0.03855482493538535
Vespula vulgaris	L2	(L/Q) - (E/W)	11.428332953870548	2.278935976381782	124	5.014767010706053	1.7913821900992556e-6
Vespula vulgaris	L3	(L/Q) - (E/W)	6.963769120268756	2.640455727663515	124	2.6373360656309326	0.009425585947086
Vespula vulgaris	L4	(L/Q) - (E/W)	9.520708814577246	2.4417432051827856	124	3.8991441828808275	1.571993880054449e-4
Vespula vulgaris	L5	(L/Q) - (E/W)	4.391657758576801	2.3297472438624616	124	1.885036142931935	0.06176535802566898
Vespula vulgaris	P	(L/Q) - (E/W)	8.968549202125134	3.1314872707716845	124	2.8639903108771176	0.004914163872602449
