HOG	Displayed_gene	Functional_group	Selected_comparison	Polistes L1 late vs early	Polistes L4 late vs early	Polistes L5 late vs early	Vespula L2 queen vs worker
N13.HOG0005758	Wdr59 (GATOR2)	IIS/Wnt/mTOR/FoxO	L1_to_L2	0.369 (*)	-0.066 (ns)	-0.055 (ns)	0.523 (**)
N13.HOG0004507	nej/CBP	IIS/Wnt/mTOR/FoxO	L1_to_L2	0.530 (*)	0.427 (ns)	0.065 (ns)	0.508 (*)
N13.HOG0008912	sut1-3 / SLC2-like	IIS/Wnt/mTOR/FoxO	L4_to_L2	-0.022 (ns)	0.942 (***)	0.060 (ns)	0.605 (**)
N13.HOG0006185	sgg/GSK3beta	IIS/Wnt/mTOR/FoxO	L4_to_L2; L5_to_L2	-0.081 (ns)	0.631 (**)	0.533 (**)	0.666 (*)
N13.HOG0009263	nmo/NLK	IIS/Wnt/mTOR/FoxO	L4_to_L2	0.311 (ns)	0.804 (*)	0.170 (ns)	0.688 (*)
N13.HOG0010043	Gbs-76A	IIS/Wnt/mTOR/FoxO	L4_to_L2	0.326 (ns)	0.848 (*)	0.259 (ns)	0.416 (*)
N13.HOG0006961	Pepck	IIS/Wnt/mTOR/FoxO	L4_to_L2	0.211 (ns)	1.332 (**)	0.513 (ns)	0.912 (*)
N13.HOG0007424	Pdk1	IIS/Wnt/mTOR/FoxO	L4_to_L2	-0.043 (ns)	0.823 (*)	0.081 (ns)	0.925 (**)
N13.HOG0003585	br	Ecdysone/development	L4_to_L2	-0.133 (ns)	0.766 (*)	0.118 (ns)	1.981 (***)
N13.HOG0004754	EcR	Ecdysone/development	L4_to_L2	0.021 (ns)	0.807 (*)	0.085 (ns)	1.297 (***)
N13.HOG0005004	ss	Reproduction	L4_to_L2	0.325 (ns)	1.625 (**)	0.164 (ns)	1.140 (**)
N13.HOG0006201	Actbeta	Reproduction	L4_to_L2	0.125 (ns)	1.856 (***)	0.172 (ns)	1.979 (**)
N13.HOG0000655	bab1/2	Reproduction	L5_to_L2	0.008 (ns)	1.594 (***)	1.737 (***)	0.731 (*)
N13.HOG0006858	Atg17	Lifespan/diapause/stress	L4_to_L2	0.407 (ns)	1.027 (**)	0.366 (ns)	0.591 (*)
