Vespula_response_stage	Polistes_predictor_stage	Stage_lag	HOGs	Partial_slope	Bootstrap_SE	CI_95_lower	CI_95_upper	Centred_bootstrap_P	Bonferroni_P
L1	L1	0	5599	0.007917829112406218	0.007467627810527557	0	0.025077604092526892	0.31736526946107785	1
L1	L2	-1	5599	0	0	0	0	1	1
L1	L3	-2	5599	0	0	0	0	1	1
L1	L4	-3	5599	0	0	0	0	1	1
L1	L5	-4	5599	0	0	0	0	1	1
L1	P	-5	5599	0.008160485569556298	0.005119495399925694	3.913413379362141e-40	0.018811110093716006	0.14570858283433133	0.874251497005988
L2	L2	0	5599	0.10081626788041129	0.017665174880597344	0.0667534770824808	0.1354953690114516	0.001996007984031936	0.00998003992015968
L2	L3	-1	5599	0.03222681913591536	0.026697179180527386	0	0.09013243081129332	0.281437125748503	1
L2	L4	-2	5599	0.09583408070110253	0.01028823183972267	0.07572261547064263	0.11401529792342174	0.001996007984031936	0.00998003992015968
L2	L5	-3	5599	0.010939459728547832	0.012792002045410962	0	0.04230563548433951	0.4750499001996008	1
L2	P	-4	5599	0.01697168206193091	0.00789275953758758	8.774147277418462e-4	0.031858683321719004	0.03592814371257485	0.17964071856287425
L3	L3	0	5599	0.10983867979731521	0.017133641324816665	0.07690382871711894	0.14504779997302045	0.001996007984031936	0.007984031936127744
L3	L4	-1	5599	0	0	0	0	1	1
L3	L5	-2	5599	0	0	0	0	1	1
L3	P	-3	5599	0.0066645711475465125	0.006932806661519308	0	0.024297536821196036	0.42714570858283435	1
L4	L4	0	5599	0	0	0	0	1	1
L4	L5	-1	5599	0	0	0	0	1	1
L4	P	-2	5599	0	3.385222416752896e-42	0	0	1	1
L5	L5	0	5599	0	0	0	0	1	1
L5	P	-1	5599	0	5.502886489110999e-4	0	3.043700133333598e-41	1	1
P	P	0	5599	0.5838568770270605	0.0715955274198648	0.468576594708877	0.7466977823005572	0.001996007984031936	0.001996007984031936
