Comparison	Direction	GO ID	GO term	Annotated HOGs	Foreground HOGs	Expected HOGs	Fold enrichment	weight01 P	Contributing HOGs
Polistes L4 to Vespula L2	Concordant up	GO:0045944	positive regulation of transcription by RNA polymerase II	610	18	4.96	3.63	8.2e-7	N13.HOG0001538; N13.HOG0002503; N13.HOG0002535; N13.HOG0002885; N13.HOG0003585; N13.HOG0003957; N13.HOG0004754; N13.HOG0005004; N13.HOG0005090; N13.HOG0005197; N13.HOG0006185; N13.HOG0006961; N13.HOG0007312; N13.HOG0008726; N13.HOG0009018; N13.HOG0009652; N13.HOG0010029; N13.HOG0010318
Polistes L4 to Vespula L2	Concordant up	GO:0045912	negative regulation of carbohydrate metabolic process	27	4	0.22	18.2	6e-5	N13.HOG0006185; N13.HOG0006537; N13.HOG0006961; N13.HOG0008458
Polistes L4 to Vespula L2	Concordant up	GO:0060562	epithelial tube morphogenesis	532	15	4.33	3.46	1.3e-4	N13.HOG0000655; N13.HOG0002503; N13.HOG0002535; N13.HOG0002885; N13.HOG0003957; N13.HOG0004754; N13.HOG0004883; N13.HOG0005004; N13.HOG0005090; N13.HOG0006185; N13.HOG0008057; N13.HOG0009018; N13.HOG0009263; N13.HOG0010318; N13.HOG0010831
Polistes L4 to Vespula L2	Concordant up	GO:0001541	ovarian follicle development	33	4	0.27	14.8	1.4e-4	N13.HOG0001538; N13.HOG0005004; N13.HOG0006201; N13.HOG0009652
Polistes L4 to Vespula L2	Concordant up	GO:0051674	localization of cell	594	14	4.83	2.9	2.2e-4	N13.HOG0000187; N13.HOG0001538; N13.HOG0002885; N13.HOG0003345; N13.HOG0003843; N13.HOG0004032; N13.HOG0004754; N13.HOG0005090; N13.HOG0005862; N13.HOG0006185; N13.HOG0007424; N13.HOG0008057; N13.HOG0009018; N13.HOG0009354
Polistes L4 to Vespula L2	Concordant up	GO:0000122	negative regulation of transcription by RNA polymerase II	456	12	3.71	3.23	2.4e-4	N13.HOG0003585; N13.HOG0003957; N13.HOG0004754; N13.HOG0005004; N13.HOG0005090; N13.HOG0005532; N13.HOG0006218; N13.HOG0008726; N13.HOG0009018; N13.HOG0009652; N13.HOG0009822; N13.HOG0010525
Polistes L4 to Vespula L2	Concordant up	GO:0048813	dendrite morphogenesis	223	10	1.81	5.52	2.8e-4	N13.HOG0002503; N13.HOG0002535; N13.HOG0003585; N13.HOG0004754; N13.HOG0005004; N13.HOG0006185; N13.HOG0006201; N13.HOG0008444; N13.HOG0009018; N13.HOG0009616
Polistes L4 to Vespula L2	Concordant up	GO:0002088	lens development in camera-type eye	45	4	0.37	10.8	4.6e-4	N13.HOG0003843; N13.HOG0003957; N13.HOG0005090; N13.HOG0009018
Polistes L4 to Vespula L2	Concordant up	GO:0048593	camera-type eye morphogenesis	79	5	0.64	7.81	4.9e-4	N13.HOG0002885; N13.HOG0003843; N13.HOG0003957; N13.HOG0005090; N13.HOG0009018
Polistes L4 to Vespula L2	Concordant up	GO:0071390	cellular response to ecdysone	23	3	0.19	15.8	8.1e-4	N13.HOG0003585; N13.HOG0004754; N13.HOG0009822
Polistes L4 to Vespula L2	Concordant up	GO:0010628	positive regulation of gene expression	1095	19	8.91	2.13	0.0013	N13.HOG0001538; N13.HOG0002503; N13.HOG0002535; N13.HOG0002885; N13.HOG0003585; N13.HOG0003957; N13.HOG0004754; N13.HOG0005004; N13.HOG0005090; N13.HOG0005197; N13.HOG0005551; N13.HOG0006185; N13.HOG0006961; N13.HOG0007312; N13.HOG0008726; N13.HOG0009018; N13.HOG0009652; N13.HOG0010029; N13.HOG0010318
Polistes L4 to Vespula L2	Concordant up	GO:0071684	organism emergence from protective structure	27	3	0.22	13.6	0.0013	N13.HOG0002535; N13.HOG0003585; N13.HOG0004754
Polistes L4 to Vespula L2	Concordant up	GO:0010656	negative regulation of muscle cell apoptotic process	28	3	0.23	13	0.00145	N13.HOG0001538; N13.HOG0006185; N13.HOG0007424
Polistes L4 to Vespula L2	Concordant up	GO:0034121	regulation of toll-like receptor signaling pathway	28	3	0.23	13	0.00145	N13.HOG0001538; N13.HOG0004754; N13.HOG0007424
Polistes L4 to Vespula L2	Concordant up	GO:0030334	regulation of cell migration	374	7	3.04	2.3	0.00159	N13.HOG0002535; N13.HOG0005090; N13.HOG0006185; N13.HOG0007424; N13.HOG0007601; N13.HOG0008444; N13.HOG0009354
Polistes L4 to Vespula L2	Concordant up	GO:0008585	female gonad development	64	7	0.52	13.5	0.00161	N13.HOG0000655; N13.HOG0001538; N13.HOG0003345; N13.HOG0005004; N13.HOG0005090; N13.HOG0006201; N13.HOG0009652
Polistes L4 to Vespula L2	Concordant up	GO:0014014	negative regulation of gliogenesis	30	3	0.24	12.5	0.00178	N13.HOG0005090; N13.HOG0009018; N13.HOG0009303
Polistes L4 to Vespula L2	Concordant up	GO:0048102	autophagic cell death	31	3	0.25	12	0.00196	N13.HOG0003585; N13.HOG0004754; N13.HOG0006858
Polistes L4 to Vespula L2	Concordant up	GO:0016055	Wnt signaling pathway	275	9	2.24	4.02	0.00224	N13.HOG0001538; N13.HOG0002535; N13.HOG0005090; N13.HOG0006185; N13.HOG0007312; N13.HOG0008057; N13.HOG0008458; N13.HOG0009018; N13.HOG0009263
Polistes L4 to Vespula L2	Concordant up	GO:0035070	salivary gland histolysis	33	3	0.27	11.1	0.00235	N13.HOG0003585; N13.HOG0004754; N13.HOG0006858
Polistes L4 to Vespula L2	Concordant up	GO:0007267	cell-cell signaling	776	14	6.32	2.22	0.00247	N13.HOG0001538; N13.HOG0002535; N13.HOG0002860; N13.HOG0005090; N13.HOG0005374; N13.HOG0006185; N13.HOG0006201; N13.HOG0006537; N13.HOG0006961; N13.HOG0007312; N13.HOG0008057; N13.HOG0008458; N13.HOG0009263; N13.HOG0009652
Polistes L4 to Vespula L2	Concordant up	GO:0007455	eye-antennal disc morphogenesis	34	3	0.28	10.7	0.00256	N13.HOG0000655; N13.HOG0005004; N13.HOG0010831
Polistes L4 to Vespula L2	Concordant up	GO:0071320	cellular response to cAMP	34	3	0.28	10.7	0.00256	N13.HOG0005004; N13.HOG0006201; N13.HOG0006961
Polistes L4 to Vespula L2	Concordant up	GO:0008584	male gonad development	74	4	0.6	6.67	0.00298	N13.HOG0002885; N13.HOG0005090; N13.HOG0006201; N13.HOG0009652
Polistes L4 to Vespula L2	Concordant up	GO:0032989	cellular anatomical entity morphogenesis	796	14	6.48	2.16	0.00311	N13.HOG0002503; N13.HOG0002535; N13.HOG0003585; N13.HOG0003843; N13.HOG0004032; N13.HOG0004754; N13.HOG0005004; N13.HOG0005862; N13.HOG0006185; N13.HOG0006201; N13.HOG0008444; N13.HOG0009018; N13.HOG0009354; N13.HOG0009616
Polistes L4 to Vespula L2	Concordant up	GO:0010669	epithelial structure maintenance	37	3	0.3	10	0.00327	N13.HOG0002535; N13.HOG0004558; N13.HOG0006858
Polistes L4 to Vespula L2	Concordant up	GO:0000271	polysaccharide biosynthetic process	33	3	0.27	11.1	0.00332	N13.HOG0006185; N13.HOG0008057; N13.HOG0008458
Polistes L4 to Vespula L2	Concordant up	GO:0003073	regulation of systemic arterial blood pressure	38	3	0.31	9.68	0.00353	N13.HOG0005004; N13.HOG0006185; N13.HOG0008057
Polistes L4 to Vespula L2	Concordant up	GO:0055013	cardiac muscle cell development	38	3	0.31	9.68	0.00353	N13.HOG0005090; N13.HOG0006185; N13.HOG0010318
Polistes L4 to Vespula L2	Concordant up	GO:0033044	regulation of chromosome organization	306	7	2.49	2.81	0.00371	N13.HOG0001538; N13.HOG0004883; N13.HOG0005197; N13.HOG0006185; N13.HOG0007312; N13.HOG0009018; N13.HOG0009616
Polistes L4 to Vespula L2	Concordant up	GO:0010629	negative regulation of gene expression	1153	20	9.38	2.13	0.00399	N13.HOG0001538; N13.HOG0002535; N13.HOG0002885; N13.HOG0003585; N13.HOG0003957; N13.HOG0004754; N13.HOG0004883; N13.HOG0005004; N13.HOG0005090; N13.HOG0005197; N13.HOG0005532; N13.HOG0005551; N13.HOG0006185; N13.HOG0006201; N13.HOG0006218; N13.HOG0008726; N13.HOG0009018; N13.HOG0009652; N13.HOG0010318; N13.HOG0010525
Polistes L4 to Vespula L2	Concordant up	GO:2000573	positive regulation of DNA biosynthetic process	40	3	0.33	9.09	0.00408	N13.HOG0001538; N13.HOG0006185; N13.HOG0007312
Polistes L4 to Vespula L2	Concordant up	GO:2000736	regulation of stem cell differentiation	70	5	0.57	8.77	0.00429	N13.HOG0000655; N13.HOG0002535; N13.HOG0006185; N13.HOG0008458; N13.HOG0010318
Polistes L4 to Vespula L2	Concordant up	GO:0001708	cell fate specification	187	6	1.52	3.95	0.00436	N13.HOG0002503; N13.HOG0003345; N13.HOG0003957; N13.HOG0006201; N13.HOG0009263; N13.HOG0010318
Polistes L4 to Vespula L2	Concordant up	GO:0035295	tube development	950	20	7.73	2.59	0.00458	N13.HOG0000655; N13.HOG0002503; N13.HOG0002535; N13.HOG0002885; N13.HOG0003345; N13.HOG0003957; N13.HOG0004754; N13.HOG0004883; N13.HOG0005004; N13.HOG0005090; N13.HOG0005862; N13.HOG0006185; N13.HOG0006201; N13.HOG0007424; N13.HOG0008057; N13.HOG0009018; N13.HOG0009263; N13.HOG0009354; N13.HOG0010318; N13.HOG0010831
Polistes L4 to Vespula L2	Concordant up	GO:0008407	chaeta morphogenesis	42	3	0.34	8.82	0.00469	N13.HOG0002535; N13.HOG0005862; N13.HOG0006185
Polistes L4 to Vespula L2	Concordant up	GO:1901653	cellular response to peptide	197	6	1.6	3.75	0.00506	N13.HOG0004754; N13.HOG0005374; N13.HOG0006185; N13.HOG0006201; N13.HOG0006961; N13.HOG0007424
Polistes L4 to Vespula L2	Concordant up	GO:0007476	imaginal disc-derived wing morphogenesis	276	10	2.25	4.44	0.00623	N13.HOG0002503; N13.HOG0002535; N13.HOG0003957; N13.HOG0004754; N13.HOG0004883; N13.HOG0006185; N13.HOG0006201; N13.HOG0008057; N13.HOG0009263; N13.HOG0010318
Polistes L4 to Vespula L2	Concordant up	GO:0032879	regulation of localization	1314	18	10.69	1.68	0.00633	N13.HOG0001538; N13.HOG0002535; N13.HOG0002860; N13.HOG0003976; N13.HOG0004558; N13.HOG0004754; N13.HOG0005090; N13.HOG0005551; N13.HOG0006185; N13.HOG0006201; N13.HOG0006537; N13.HOG0006961; N13.HOG0007424; N13.HOG0007601; N13.HOG0008444; N13.HOG0008458; N13.HOG0009354; N13.HOG0009652
Polistes L4 to Vespula L2	Concordant up	GO:0045444	fat cell differentiation	99	4	0.81	4.94	0.00827	N13.HOG0002885; N13.HOG0005374; N13.HOG0006185; N13.HOG0006201
Polistes L4 to Vespula L2	Concordant up	GO:0035019	somatic stem cell population maintenance	52	3	0.42	7.14	0.00852	N13.HOG0002535; N13.HOG0006185; N13.HOG0009018
Polistes L4 to Vespula L2	Concordant up	GO:0032869	cellular response to insulin stimulus	184	6	1.5	4	0.00859	N13.HOG0004754; N13.HOG0005374; N13.HOG0006185; N13.HOG0006201; N13.HOG0006961; N13.HOG0007424
Polistes L4 to Vespula L2	Concordant up	GO:0035567	non-canonical Wnt signaling pathway	56	4	0.46	8.7	0.00865	N13.HOG0001538; N13.HOG0006185; N13.HOG0008458; N13.HOG0009263
Polistes L4 to Vespula L2	Concordant up	GO:0045785	positive regulation of cell adhesion	138	4	1.12	3.57	0.00884	N13.HOG0002535; N13.HOG0006185; N13.HOG0007424; N13.HOG0009354
Polistes L4 to Vespula L2	Concordant up	GO:0007474	imaginal disc-derived wing vein specification	53	3	0.43	6.98	0.00898	N13.HOG0002503; N13.HOG0008057; N13.HOG0009263
Polistes L4 to Vespula L2	Concordant up	GO:0032092	positive regulation of protein binding	53	3	0.43	6.98	0.00898	N13.HOG0001538; N13.HOG0005374; N13.HOG0006185
Polistes L4 to Vespula L2	Concordant up	GO:0018107	peptidyl-threonine phosphorylation	82	4	0.67	5.97	0.00911	N13.HOG0006185; N13.HOG0007312; N13.HOG0007424; N13.HOG0009263
Polistes L4 to Vespula L2	Concordant up	GO:0006469	negative regulation of protein kinase activity	133	4	1.08	3.7	0.0108	N13.HOG0001538; N13.HOG0006185; N13.HOG0007424; N13.HOG0009701
Polistes L4 to Vespula L2	Concordant up	GO:0030514	negative regulation of BMP signaling pathway	57	3	0.46	6.52	0.011	N13.HOG0006185; N13.HOG0009018; N13.HOG0009263
Polistes L4 to Vespula L2	Concordant up	GO:0043255	regulation of carbohydrate biosynthetic process	47	3	0.38	7.89	0.011	N13.HOG0006185; N13.HOG0006961; N13.HOG0008458
Polistes L4 to Vespula L2	Concordant up	GO:0045927	positive regulation of growth	291	8	2.37	3.38	0.0118	N13.HOG0001538; N13.HOG0005004; N13.HOG0006185; N13.HOG0006201; N13.HOG0007424; N13.HOG0009263; N13.HOG0009354; N13.HOG0010525
Polistes L4 to Vespula L2	Concordant up	GO:0045793	positive regulation of cell size	60	3	0.49	6.12	0.0126	N13.HOG0005004; N13.HOG0006858; N13.HOG0007424
Polistes L4 to Vespula L2	Concordant up	GO:0043410	positive regulation of MAPK cascade	213	5	1.73	2.89	0.0129	N13.HOG0001538; N13.HOG0003957; N13.HOG0006858; N13.HOG0007312; N13.HOG0008057
Polistes L4 to Vespula L2	Concordant up	GO:0045926	negative regulation of growth	211	5	1.72	2.91	0.0129	N13.HOG0002503; N13.HOG0003957; N13.HOG0004754; N13.HOG0006185; N13.HOG0006218
Polistes L4 to Vespula L2	Concordant up	GO:0090175	regulation of establishment of planar polarity	61	3	0.5	6	0.0132	N13.HOG0001538; N13.HOG0008458; N13.HOG0009263
