term	gene
map05016	N13.HOG0000178
map05016	N13.HOG0000179
map05016	N13.HOG0000180
map05016	N13.HOG0000182
map05016	N13.HOG0000184
map05016	N13.HOG0000187
map05016	N13.HOG0000188
map05016	N13.HOG0000189
map05016	N13.HOG0000190
map05016	N13.HOG0000191
map05016	N13.HOG0000193
map05016	N13.HOG0000194
map00073	N13.HOG0000338
map04146	N13.HOG0000338
map04212	N13.HOG0000338
map00073	N13.HOG0000339
map04146	N13.HOG0000339
map04212	N13.HOG0000339
map00073	N13.HOG0000340
map04146	N13.HOG0000340
map04212	N13.HOG0000340
map00073	N13.HOG0000341
map04146	N13.HOG0000341
map04212	N13.HOG0000341
map00073	N13.HOG0000342
map04146	N13.HOG0000342
map04212	N13.HOG0000342
map00073	N13.HOG0000345
map04146	N13.HOG0000345
map04212	N13.HOG0000345
map00073	N13.HOG0000346
map04146	N13.HOG0000346
map04212	N13.HOG0000346
map00073	N13.HOG0000347
map04146	N13.HOG0000347
map04212	N13.HOG0000347
map00073	N13.HOG0000348
map04146	N13.HOG0000348
map04212	N13.HOG0000348
map00073	N13.HOG0000350
map04146	N13.HOG0000350
map04212	N13.HOG0000350
map00030	N13.HOG0000354
map00260	N13.HOG0000354
map01100	N13.HOG0000354
map01110	N13.HOG0000354
map01130	N13.HOG0000354
map00030	N13.HOG0000355
map00260	N13.HOG0000355
map01100	N13.HOG0000355
map01110	N13.HOG0000355
map01130	N13.HOG0000355
map00030	N13.HOG0000356
map00260	N13.HOG0000356
map01100	N13.HOG0000356
map01110	N13.HOG0000356
map01130	N13.HOG0000356
map00260	N13.HOG0000358
map01100	N13.HOG0000358
map00030	N13.HOG0000360
map00260	N13.HOG0000360
map01100	N13.HOG0000360
map01110	N13.HOG0000360
map01130	N13.HOG0000360
map00030	N13.HOG0000361
map01100	N13.HOG0000361
map01110	N13.HOG0000361
map01130	N13.HOG0000361
map00561	N13.HOG0000433
map01100	N13.HOG0000433
map04972	N13.HOG0000433
map04975	N13.HOG0000433
map00561	N13.HOG0000436
map01100	N13.HOG0000436
map04972	N13.HOG0000436
map04975	N13.HOG0000436
map00062	N13.HOG0000465
map01110	N13.HOG0000465
map00062	N13.HOG0000467
map01110	N13.HOG0000467
map00062	N13.HOG0000468
map01110	N13.HOG0000468
map00062	N13.HOG0000469
map01110	N13.HOG0000469
map00062	N13.HOG0000470
map01110	N13.HOG0000470
map00062	N13.HOG0000471
map01110	N13.HOG0000471
map00062	N13.HOG0000473
map01110	N13.HOG0000473
map00062	N13.HOG0000475
map01110	N13.HOG0000475
map00040	N13.HOG0000500
map00053	N13.HOG0000500
map00140	N13.HOG0000500
map00830	N13.HOG0000500
map00860	N13.HOG0000500
map00980	N13.HOG0000500
map00982	N13.HOG0000500
map00983	N13.HOG0000500
map01100	N13.HOG0000500
map01110	N13.HOG0000500
map05204	N13.HOG0000500
map00040	N13.HOG0000502
map00053	N13.HOG0000502
map00140	N13.HOG0000502
map00565	N13.HOG0000502
map00600	N13.HOG0000502
map00830	N13.HOG0000502
map00860	N13.HOG0000502
map00980	N13.HOG0000502
map00982	N13.HOG0000502
map00983	N13.HOG0000502
map01100	N13.HOG0000502
map01110	N13.HOG0000502
map05204	N13.HOG0000502
map00040	N13.HOG0000503
map00053	N13.HOG0000503
map00140	N13.HOG0000503
map00830	N13.HOG0000503
map00860	N13.HOG0000503
map00980	N13.HOG0000503
map00982	N13.HOG0000503
map00983	N13.HOG0000503
map01100	N13.HOG0000503
map01110	N13.HOG0000503
map05204	N13.HOG0000503
map00040	N13.HOG0000505
map00053	N13.HOG0000505
map00140	N13.HOG0000505
map00830	N13.HOG0000505
map00860	N13.HOG0000505
map00980	N13.HOG0000505
map00982	N13.HOG0000505
map00983	N13.HOG0000505
map01100	N13.HOG0000505
map01110	N13.HOG0000505
map05204	N13.HOG0000505
map04080	N13.HOG0000543
map04972	N13.HOG0000543
map04974	N13.HOG0000543
map05164	N13.HOG0000543
map04080	N13.HOG0000545
map04972	N13.HOG0000545
map04974	N13.HOG0000545
map05164	N13.HOG0000545
map04080	N13.HOG0000546
map04972	N13.HOG0000546
map04974	N13.HOG0000546
map05164	N13.HOG0000546
map04080	N13.HOG0000551
map04972	N13.HOG0000551
map04974	N13.HOG0000551
map05164	N13.HOG0000551
map00061	N13.HOG0000553
map01100	N13.HOG0000553
map01212	N13.HOG0000553
map04152	N13.HOG0000553
map04910	N13.HOG0000553
map00061	N13.HOG0000556
map01100	N13.HOG0000556
map01212	N13.HOG0000556
map04152	N13.HOG0000556
map04910	N13.HOG0000556
map00061	N13.HOG0000561
map01100	N13.HOG0000561
