species	term	gene
pd	map04080	LOC107063613
pd	map05165	LOC107063614
pd	map05410	LOC107063615
pd	map05414	LOC107063615
pd	map04624	LOC107063618
pd	map04622	LOC107063619
pd	map05161	LOC107063619
pd	map05203	LOC107063619
pd	map04624	LOC107063620
pd	map00190	LOC107063625
pd	map01100	LOC107063625
pd	map04714	LOC107063625
pd	map00230	LOC107063627
pd	map04024	LOC107063627
pd	map05032	LOC107063627
pd	map04614	LOC107063631
pd	map04114	LOC107063633
pd	map04320	LOC107063633
pd	map04914	LOC107063633
pd	map00130	LOC107063639
pd	map01100	LOC107063639
pd	map01110	LOC107063639
pd	map04120	LOC107063642
pd	map00532	LOC107063644
pd	map03050	LOC107063646
pd	map03013	LOC107063648
pd	map05164	LOC107063648
pd	map04111	LOC107063649
pd	map04113	LOC107063649
pd	map00230	LOC107063656
pd	map00562	LOC107063657
pd	map01100	LOC107063657
pd	map04070	LOC107063657
pd	map04140	LOC107063657
pd	map04146	LOC107063658
pd	map04010	LOC107063659
pd	map04014	LOC107063659
pd	map04015	LOC107063659
pd	map04024	LOC107063659
pd	map04062	LOC107063659
pd	map04510	LOC107063659
pd	map04530	LOC107063659
pd	map04611	LOC107063659
pd	map04670	LOC107063659
pd	map04720	LOC107063659
pd	map04722	LOC107063659
pd	map04934	LOC107063659
pd	map04972	LOC107063659
pd	map05211	LOC107063659
pd	map04614	LOC107063662
pd	map04640	LOC107063662
pd	map04974	LOC107063662
pd	map05010	LOC107063662
pd	map03320	LOC107063663
pd	map04214	LOC107063663
pd	map04931	LOC107063663
pd	map04932	LOC107063663
pd	map05160	LOC107063663
pd	map00230	LOC107063666
pd	map04024	LOC107063666
pd	map05032	LOC107063666
pd	map04070	LOC107063670
pd	map04138	LOC107063670
pd	map00940	LOC107063671
pd	map01100	LOC107063671
pd	map01110	LOC107063671
pd	map04310	LOC107063672
pd	map00780	LOC107063674
pd	map01100	LOC107063674
pd	map03030	LOC107063675
pd	map04110	LOC107063675
pd	map04111	LOC107063675
pd	map04113	LOC107063675
pd	map04624	LOC107063678
pd	map00010	LOC107063679
pd	map00040	LOC107063679
pd	map00561	LOC107063679
pd	map00930	LOC107063679
pd	map01100	LOC107063679
pd	map01110	LOC107063679
pd	map01120	LOC107063679
pd	map01130	LOC107063679
pd	map01220	LOC107063679
pd	map04013	LOC107063682
pd	map04216	LOC107063689
pd	map04217	LOC107063689
pd	map04978	LOC107063689
pd	map00562	LOC107063690
pd	map01100	LOC107063690
pd	map01521	LOC107063690
pd	map04012	LOC107063690
pd	map04014	LOC107063690
pd	map04015	LOC107063690
pd	map04020	LOC107063690
pd	map04064	LOC107063690
pd	map04066	LOC107063690
pd	map04070	LOC107063690
pd	map04072	LOC107063690
pd	map04360	LOC107063690
pd	map04370	LOC107063690
pd	map04380	LOC107063690
pd	map04611	LOC107063690
pd	map04650	LOC107063690
pd	map04658	LOC107063690
pd	map04659	LOC107063690
pd	map04660	LOC107063690
pd	map04662	LOC107063690
pd	map04664	LOC107063690
pd	map04666	LOC107063690
pd	map04670	LOC107063690
pd	map04722	LOC107063690
pd	map04750	LOC107063690
pd	map04919	LOC107063690
pd	map04933	LOC107063690
pd	map05110	LOC107063690
pd	map05120	LOC107063690
pd	map05167	LOC107063690
pd	map05169	LOC107063690
pd	map05200	LOC107063690
