HOG	run	run_label	CAFE_track	n_species_in_count_table	n_species_present	max_tip_copy_number	total_tip_copy_number	polistinae_total_copies	vespinae_total_copies	social_wasp_total_copies	outgroup_total_copies	Vespula_vulgaris_copies	Polistes_dominula_copies	Ancistrocerus_nigricornis_copies	inference	OG	gene_tree_parent_clade	consensus_gene_name	consensus_method	consensus_evidence	Vespula_vulgaris_member_count	Vespula_vulgaris_gene_ids	Vespula_vulgaris_gene_symbols	Vespula_vulgaris_gene_names	Vespula_vulgaris_annotation_sources	Vespula_vulgaris_annotated_member_count	Polistes_dominula_member_count	Polistes_dominula_gene_ids	Polistes_dominula_gene_symbols	Polistes_dominula_gene_names	Polistes_dominula_annotation_sources	Polistes_dominula_annotated_member_count	Ancistrocerus_nigricornis_member_count	Ancistrocerus_nigricornis_gene_ids	Ancistrocerus_nigricornis_gene_symbols	Ancistrocerus_nigricornis_gene_names	Ancistrocerus_nigricornis_annotation_sources	Ancistrocerus_nigricornis_annotated_member_count	chemosensory_family_flag	TE_related_HOG_flag	TE_filter_reason	present_in_social_wasps	biological_interest_class	interpretation_note
N0.HOG0000026	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	2	1	2	0	2	2	0	0	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000008	n869	unannotated HOG	no usable local annotation		0					0	0					0	0					0	FALSE	FALSE		TRUE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000033	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	2	4	5	0	0	0	5	0	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000012	n1	unannotated HOG	no usable local annotation		0					0	0					0	0					0	FALSE	FALSE		FALSE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000034	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	2	1	2	0	0	0	2	0	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000012	n642	unannotated HOG	no usable local annotation		0					0	0					0	0					0	FALSE	FALSE		FALSE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000065	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	2	1	2	0	0	0	2	0	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000041	n2	unannotated HOG	no usable local annotation		0					0	0					0	0					0	FALSE	FALSE		FALSE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000067	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	13	1	13	3	9	12	1	1	1	1	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000041	n171	tubulin family	conservative keyword family rule	tubulin alpha-1C chain-like	1	LOC127062833	LOC127062833	tubulin alpha-1C chain-like	NCBI: vv_genetable.csv	1	1	LOC107070429	LOC107070429	tubulin alpha-1C chain-like	NCBI: pd_genetable.csv	1	1	ENSANRG00005003655	LOC107070429; LOC127062833	tubulin alpha-1C chain-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	FALSE	FALSE		TRUE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000071	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	2	2	4	0	0	0	4	0	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000043	n100	unannotated HOG	no usable local annotation		0					0	0					0	0					0	FALSE	FALSE		FALSE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000073	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	13	3	20	8	12	20	0	2	1	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000043	n141	Seminal fluid protein 53D / venom peptide SjAPI-2-like	weighted recurring annotation	Seminal fluid protein 53D; venom peptide SjAPI-2-like; cysteine-rich venom protein 6-like	2	LOC127064562; LOC127073012	Sfp53D; LOC127073012	Seminal fluid protein 53D; venom peptide SjAPI-2-like	NCBI: vv_genetable.csv	2	1	LOC107066075	LOC107066075	cysteine-rich venom protein 6-like	NCBI: pd_genetable.csv	1	0					0	FALSE	FALSE		TRUE	venom / defence	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000084	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	2	1	2	0	0	0	2	0	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000043	n287	unannotated HOG	no usable local annotation		0					0	0					0	0					0	FALSE	FALSE		FALSE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000093	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	5	1	5	4	1	5	0	1	1	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000046	n409	histone H3-like family	conservative keyword family rule	Core histone H2A/H2B/H3/H4; histone H3.3-like	1	LOC127064790	LOC127064790	Core histone H2A/H2B/H3/H4	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	1	LOC107067036	LOC107067036	histone H3.3-like	NCBI: pd_genetable.csv	1	0					0	FALSE	FALSE		TRUE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000110	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	13	5	47	19	27	46	1	5	5	1	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000062	n0	histone H4-like family	conservative keyword family rule	histone H4; histone H4-like	5	LOC127064420; LOC127064834; LOC127064421; LOC127064336; LOC127064419	LOC127064420; LOC127064834; LOC127064421; LOC127064336; LOC127064419	histone H4	NCBI: vv_genetable.csv	5	5	LOC107074189; LOC107064451; LOC107067027; LOC107064462; LOC107067028	LOC107074189; LOC107064451; LOC107067027; LOC107064462; LOC107067028	histone H4; histone H4-like	NCBI: pd_genetable.csv	5	1	ENSANRG00005009456	LOC107067028	histone H4-like	OrthoFinder orthology transfer from: Polistes_dominula	1	FALSE	FALSE		TRUE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000120	wasp_CAFE	Vespidae_plus_outgroups	large_family_individual_run	17	8	35	92	57	35	92	0	0	1	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000071	n0	Ribonuclease H protein	weighted recurring annotation	Ribonuclease H protein	0					0	1	LOC107073723	LOC107073723	Ribonuclease H protein	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	0					0	FALSE	FALSE		TRUE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000142	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	9	1	9	0	9	9	0	1	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000085	n82	protein kinase C-like	weighted recurring annotation	protein kinase C-like	1	LOC127072097	LOC127072097	protein kinase C-like	NCBI: vv_genetable.csv	1	0					0	0					0	FALSE	FALSE		TRUE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000164	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	15	1	15	5	9	14	1	1	1	1	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000100	n1	venom allergen 3-like / venom allergen 5-like	weighted recurring annotation	venom allergen 3-like; venom allergen 5-like; venom allergen 5-like; venom allergen 3-like	1	LOC127065179	LOC127065179	venom allergen 3-like	NCBI: vv_genetable.csv	1	1	LOC107072519	LOC107072519	venom allergen 5-like	NCBI: pd_genetable.csv	1	1	ENSANRG00005000022	CG8483; LOC107072519; LOC127065179	venom allergen 5-like; venom allergen 3-like	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris	1	FALSE	FALSE		TRUE	venom / defence	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000214	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	2	1	2	1	1	2	0	0	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000134	n0	unannotated HOG	no usable local annotation		0					0	0					0	0					0	FALSE	FALSE		TRUE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000256	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	3	7	10	10	0	10	0	0	7	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000169	n2	PIF1-like helicase / DNA helicase activity	weighted recurring annotation	PIF1-like helicase; G-quadruplex DNA unwinding; ATP-dependent DNA helicase PIF1-like; ATP-dependent DNA helicase pif1-like; DNA helicase activity	0					0	7	LOC107073665; LOC107073735; LOC107073405; LOC107071315; LOC107073266; LOC107073308; LOC107073305	LOC107073665; LOC107073735; LOC107073405; LOC107071315; LOC107073266; LOC107073308; LOC107073305	PIF1-like helicase; G-quadruplex DNA unwinding; ATP-dependent DNA helicase PIF1-like; ATP-dependent DNA helicase pif1-like; DNA helicase activity	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback; NCBI: pd_genetable.csv	7	0					0	FALSE	FALSE		TRUE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000261	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	11	4	30	10	20	30	0	4	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000172	n0	Domain in histone families 1 and 5 / histone H5-like	weighted recurring annotation	Domain in histone families 1 and 5; protamine-like protein; histone H5-like	4	LOC127072769; LOC127065504; LOC127069935; LOC127064429	LOC127072769; LOC127065504; LOC127069935; LOC127064429	Domain in histone families 1 and 5; protamine-like protein; histone H5-like	NCBI: vv_genetable.csv; eggNOG-mapper exact-gene-ID fallback; NCBI: vv_genetable.csv	4	0					0	0					0	FALSE	FALSE		TRUE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000279	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	13	1	13	5	8	13	0	1	1	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000188	n0	odorant-binding protein family	conservative keyword family rule	general odorant-binding protein 56d-like	1	LOC127071294	LOC127071294	general odorant-binding protein 56d-like	NCBI: vv_genetable.csv	1	1	LOC107067956	LOC107067956	general odorant-binding protein 56d-like	NCBI: pd_genetable.csv	1	0					0	TRUE	FALSE		TRUE	chemoperception	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000318	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	2	4	5	0	0	0	5	0	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000219	n0	unannotated HOG	no usable local annotation		0					0	0					0	0					0	FALSE	FALSE		FALSE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000320	wasp_CAFE	Vespidae_plus_outgroups	large_family_individual_run	17	8	59	91	86	5	91	0	1	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000221	n0	odorant receptor family	conservative keyword family rule	odorant receptor 13a-like	1	LOC127072454	LOC127072454	odorant receptor 13a-like	NCBI: vv_genetable.csv	1	0					0	0					0	TRUE	FALSE		TRUE	chemoperception	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000343	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	14	2	19	4	13	17	2	1	1	2	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000237	n1	DNA damage-regulated autophagy modulator protein 1-like / DNA damage-regulated autophagy modulator protein 2-like	weighted recurring annotation	DNA damage-regulated autophagy modulator protein 1-like; DNA damage-regulated autophagy modulator protein 2-like; DNA damage-regulated autophagy modulator protein; DNA damage-regulated autophagy modulator protein 1-like; DNA damage-regulated autophagy modulator protein 2-like; DNA damage-regulated autophagy modulator protein 1-like	1	LOC127069235	LOC127069235	DNA damage-regulated autophagy modulator protein 1-like	NCBI: vv_genetable.csv	1	1	LOC107063708	LOC107063708	DNA damage-regulated autophagy modulator protein 2-like	NCBI: pd_genetable.csv	1	2	ENSANRG00005003630; ENSANRG00005003960	CG4025; LOC107063714; LOC127069236; LOC107063708; LOC127069235	DNA damage-regulated autophagy modulator protein; DNA damage-regulated autophagy modulator protein 1-like; DNA damage-regulated autophagy modulator protein 2-like; DNA damage-regulated autophagy modulator protein 1-like	OrthoFinder orthology transfer from: Drosophila_melanogaster; Polistes_dominula; Vespula_vulgaris; OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	2	FALSE	FALSE		TRUE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000367	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	4	1	4	1	3	4	0	0	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000254	n8	unannotated HOG	no usable local annotation		0					0	0					0	0					0	FALSE	FALSE		TRUE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000417	wasp_CAFE	Vespidae_plus_outgroups	large_family_individual_run	17	4	35	70	70	0	70	0	0	3	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000292	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	Pao retrotransposon peptidase	0					0	3	LOC107072912; LOC107074036; LOC107073575	LOC107072912; LOC107074036; LOC107073575	Pao retrotransposon peptidase	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	3	0					0	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name	TRUE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000441	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	2	1	2	0	0	0	2	0	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000312	n1	unannotated HOG	no usable local annotation		0					0	0					0	0					0	FALSE	FALSE		FALSE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000463	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	3	1	3	1	2	3	0	0	1	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000327	n0	general transcription factor II-I repeat domain-containing protein 2A-like	weighted recurring annotation	general transcription factor II-I repeat domain-containing protein 2A-like	0					0	1	LOC107073017	LOC107073017	general transcription factor II-I repeat domain-containing protein 2A-like	NCBI: pd_genetable.csv	1	0					0	FALSE	FALSE		TRUE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000488	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	12	8	31	8	18	26	5	3	2	5	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000351	n0	hydrocephalus-inducing protein homolog / hydrocephalus-inducing protein homolog; hydrocephalus-inducing protein-like	weighted recurring annotation	hydrocephalus-inducing protein homolog; hydrocephalus-inducing protein; hydrocephalus-inducing protein-like; hydrocephalus-inducing protein homolog; hydrocephalus-inducing protein-like	3	LOC127064780; LOC127064779; LOC127064782	LOC127064780; LOC127064779; LOC127064782	hydrocephalus-inducing protein homolog; hydrocephalus-inducing protein; hydrocephalus-inducing protein-like	NCBI: vv_genetable.csv	3	2	LOC107074044; LOC107074204	LOC107074044; LOC107074204	hydrocephalus-inducing protein homolog	NCBI: pd_genetable.csv	2	5	ENSANRG00005000179; ENSANRG00005000281; ENSANRG00005000902; ENSANRG00005000679; ENSANRG00005000743	LOC107074204; LOC127064782	hydrocephalus-inducing protein homolog; hydrocephalus-inducing protein-like	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	5	FALSE	FALSE		TRUE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000520	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	2	1	2	0	0	0	2	0	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000381	n1	CG33253	symbol fallback	CG33253	0					0	0					0	0					0	FALSE	FALSE		FALSE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000525	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	15	1	15	5	9	14	1	1	1	1	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000384	n3	Olig family	weighted recurring annotation	Olig family	1	LOC127064594	Oli	Olig family	NCBI: vv_genetable.csv	1	1	LOC107067501	Oli	Olig family	NCBI: pd_genetable.csv	1	1	ENSANRG00005007805	Oli	Olig family	OrthoFinder orthology transfer from: Polistes_dominula; Vespula_vulgaris	1	FALSE	FALSE		TRUE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000581	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	5	6	14	11	2	13	1	0	1	1	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000432	n0	transposable-element/reverse-transcriptase family	conservative keyword family rule	Reverse transcriptase (RNA-dependent DNA polymerase)	0					0	1	LOC107071471	LOC107071471	Reverse transcriptase (RNA-dependent DNA polymerase)	NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	1	1	ENSANRG00005004686	LOC107071471	Reverse transcriptase (RNA-dependent DNA polymerase)	OrthoFinder orthology transfer from: Polistes_dominula	1	FALSE	TRUE	Conservative downstream TE exclusion based on direct EggNOG/member annotation or consensus name	TRUE		Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000582	wasp_CAFE	Vespidae_plus_outgroups	large_family_individual_run	17	14	35	114	79	35	114	0	2	9	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000433	n0	fatty acid synthase	conservative keyword family rule	fatty acid synthase-like; It is involved in the biological process described with	2	LOC127063515; LOC127063514	LOC127063515; LOC127063514	fatty acid synthase-like	NCBI: vv_genetable.csv	2	9	LOC107073534; LOC107073662; LOC107065536; LOC107073565; LOC107067898; LOC107073762; LOC107073564; LOC107073596; LOC107071370	LOC107073534; LOC107073662; LOC107065536; LOC107073565; LOC107067898; LOC107073762; LOC107073564; LOC107073596; LOC107071370	fatty acid synthase-like; It is involved in the biological process described with	NCBI: pd_genetable.csv; NCBI: pd_genetable.csv; eggNOG-mapper exact-gene-ID fallback	9	0					0	FALSE	FALSE		TRUE	lipid metabolism / possible chemical communication	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
N0.HOG0000659	wasp_CAFE	Vespidae_plus_outgroups	main_model	17	8	1	8	0	8	8	0	1	0	0	Prepared for CAFE but absent from family results; inferred root-size-zero filtering. This HOG was not tested by CAFE.	OG0000505	n0	odorant receptor family	conservative keyword family rule	odorant receptor 82a-like	1	LOC127068162	LOC127068162	odorant receptor 82a-like	NCBI: vv_genetable.csv	1	0					0	0					0	TRUE	FALSE		TRUE	chemoperception	Not tested by CAFE because the family was removed after an inferred root size of zero; tip-copy counts are descriptive and no branch significance can be assigned from the wasp CAFE analysis.
