vv_gene,Ensembl_gene
LOC127061349,ENSVVLG00005002910
LOC127061350,ENSVVLG00005003529
LOC127061351,ENSVVLG00005004694
LOC127061352,ENSVVLG00005000676
LOC127061353,ENSVVLG00005000514
LOC127061354,ENSVVLG00005004748
LOC127061357,ENSVVLG00005001814
LOC127061358,ENSVVLG00005005062
LOC127061359,ENSVVLG00005004831
LOC127061360,ENSVVLG00005000995
LOC127061362,ENSVVLG00005000797
LOC127061363,ENSVVLG00005004998
LOC127061364,ENSVVLG00005005176
LOC127061366,ENSVVLG00005000691
LOC127061367,ENSVVLG00005000618
LOC127061369,ENSVVLG00005004761
LOC127061370,ENSVVLG00005004799
LOC127061371,ENSVVLG00005000830
LOC127061372,ENSVVLG00005006043
LOC127061373,ENSVVLG00005007002
LOC127061374,ENSVVLG00005001319
LOC127061375,ENSVVLG00005004116
LOC127061377,ENSVVLG00005001154
LOC127061379,ENSVVLG00005000614
LOC127061380,ENSVVLG00005001826
LOC127061381,ENSVVLG00005005938
LOC127061382,ENSVVLG00005004385
LOC127061384,ENSVVLG00005006011
LOC127061386,ENSVVLG00005006912
LOC127061387,ENSVVLG00005001289
LOC127061388,ENSVVLG00005000324
LOC127061392,ENSVVLG00005001588
LOC127061393,ENSVVLG00005000903
LOC127061394,ENSVVLG00005005080
LOC127061395,ENSVVLG00005003485
LOC127061396,ENSVVLG00005015262
LOC127061397,ENSVVLG00005014740
LOC127061398,ENSVVLG00005000118
LOC127061399,ENSVVLG00005014998
LOC127061400,ENSVVLG00005015335
LOC127061401,ENSVVLG00005015212
LOC127061402,ENSVVLG00005016377
LOC127061403,ENSVVLG00005015731
LOC127061404,ENSVVLG00005015104
LOC127061405,ENSVVLG00005014748
LOC127061406,ENSVVLG00005015113
LOC127061407,ENSVVLG00005000321
LOC127061408,ENSVVLG00005003590
LOC127061411,ENSVVLG00005000744
LOC127061413,ENSVVLG00005004775
LOC127061414,ENSVVLG00005002286
LOC127061415,ENSVVLG00005004885
LOC127061416,ENSVVLG00005001064
LOC127061417,ENSVVLG00005001563
LOC127061418,ENSVVLG00005014664
LOC127061419,ENSVVLG00005000932
LOC127061420,ENSVVLG00005000634
LOC127061422,ENSVVLG00005001408
LOC127061423,ENSVVLG00005015195
LOC127061424,ENSVVLG00005000390
LOC127061425,ENSVVLG00005005035
LOC127061426,ENSVVLG00005001339
LOC127061427,ENSVVLG00005014794
LOC127061428,ENSVVLG00005000217
LOC127061429,ENSVVLG00005014715
LOC127061430,ENSVVLG00005015943
LOC127061431,ENSVVLG00005003582
LOC127061432,ENSVVLG00005014961
LOC127061433,ENSVVLG00005000705
LOC127061434,ENSVVLG00005001805
LOC127061435,ENSVVLG00005014873
LOC127061436,ENSVVLG00005001085
LOC127061437,ENSVVLG00005000624
LOC127061438,ENSVVLG00005015032
LOC127061439,ENSVVLG00005015680
LOC127061441,ENSVVLG00005014820
LOC127061442,ENSVVLG00005004566
LOC127061443,ENSVVLG00005015833
LOC127061444,ENSVVLG00005000253
LOC127061445,ENSVVLG00005016368
LOC127061446,ENSVVLG00005001908
LOC127061447,ENSVVLG00005001389
LOC127061448,ENSVVLG00005004957
LOC127061449,ENSVVLG00005015677
LOC127061450,ENSVVLG00005002628
LOC127061452,ENSVVLG00005000337
LOC127061453,ENSVVLG00005001110
LOC127061455,ENSVVLG00005000005
LOC127061456,ENSVVLG00005003287
LOC127061458,ENSVVLG00005015321
LOC127061460,ENSVVLG00005016259
LOC127061461,ENSVVLG00005000727
LOC127061462,ENSVVLG00005002058
LOC127061463,ENSVVLG00005014925
LOC127061466,ENSVVLG00005007171
LOC127061467,ENSVVLG00005004601
LOC127061468,ENSVVLG00005000871
LOC127061469,ENSVVLG00005006899
LOC127061470,ENSVVLG00005005837
LOC127061471,ENSVVLG00005000369
LOC127061472,ENSVVLG00005004961
LOC127061473,ENSVVLG00005002024
LOC127061474,ENSVVLG00005006172
LOC127061477,ENSVVLG00005000539
LOC127061478,ENSVVLG00005000546
LOC127061479,ENSVVLG00005000685
LOC127061480,ENSVVLG00005015173
LOC127061481,ENSVVLG00005005236
LOC127061482,ENSVVLG00005002017
LOC127061484,ENSVVLG00005002278
LOC127061485,ENSVVLG00005016380
LOC127061487,ENSVVLG00005014914
LOC127061488,ENSVVLG00005005298
LOC127061491,ENSVVLG00005015621
LOC127061493,ENSVVLG00005015638
LOC127061495,ENSVVLG00005002593
LOC127061496,ENSVVLG00005004680
LOC127061497,ENSVVLG00005016104
LOC127061499,ENSVVLG00005016325
LOC127061500,ENSVVLG00005000647
LOC127061502,ENSVVLG00005002991
LOC127061503,ENSVVLG00005006098
LOC127061504,ENSVVLG00005006807
LOC127061505,ENSVVLG00005004815
LOC127061506,ENSVVLG00005005856
LOC127061507,ENSVVLG00005005578
LOC127061508,ENSVVLG00005006545
LOC127061509,ENSVVLG00005003389
LOC127061511,ENSVVLG00005000881
LOC127061512,ENSVVLG00005003698
LOC127061513,ENSVVLG00005004659
LOC127061520,ENSVVLG00005002655
LOC127061522,ENSVVLG00005001367
LOC127061523,ENSVVLG00005014653
LOC127061524,ENSVVLG00005005492
LOC127061525,ENSVVLG00005004935
LOC127061526,ENSVVLG00005007357
LOC127061527,ENSVVLG00005002136
LOC127061528,ENSVVLG00005016206
LOC127061529,ENSVVLG00005005682
LOC127061530,ENSVVLG00005005320
LOC127061531,ENSVVLG00005000542
LOC127061532,ENSVVLG00005006867
LOC127061534,ENSVVLG00005002984
LOC127061535,ENSVVLG00005000529
LOC127061536,ENSVVLG00005002330
LOC127061537,ENSVVLG00005001976
LOC127061538,ENSVVLG00005000662
LOC127061539,ENSVVLG00005001115
LOC127061540,ENSVVLG00005003600
LOC127061542,ENSVVLG00005001709
LOC127061543,ENSVVLG00005000494
LOC127061544,ENSVVLG00005007406
LOC127061547,ENSVVLG00005006019
LOC127061548,ENSVVLG00005001096
LOC127061549,ENSVVLG00005004231
LOC127061550,ENSVVLG00005007096
LOC127061551,ENSVVLG00005005381
LOC127061552,ENSVVLG00005005245
LOC127061553,ENSVVLG00005001045
LOC127061554,ENSVVLG00005007037
LOC127061555,ENSVVLG00005003801
LOC127061557,ENSVVLG00005003349
LOC127061558,ENSVVLG00005005296
LOC127061561,ENSVVLG00005003255
LOC127061562,ENSVVLG00005006436
LOC127061564,ENSVVLG00005006820
LOC127061570,ENSVVLG00005014895
LOC127061571,ENSVVLG00005016178
LOC127061572,ENSVVLG00005015167
LOC127061573,ENSVVLG00005004764
LOC127061575,ENSVVLG00005015671
LOC127061576,ENSVVLG00005004508
LOC127061577,ENSVVLG00005001048
LOC127061580,ENSVVLG00005014760
LOC127061581,ENSVVLG00005014787
LOC127061582,ENSVVLG00005001039
LOC127061583,ENSVVLG00005005275
LOC127061584,ENSVVLG00005000798
LOC127061585,ENSVVLG00005002123
LOC127061586,ENSVVLG00005004592
LOC127061587,ENSVVLG00005015181
LOC127061588,ENSVVLG00005001122
LOC127061589,ENSVVLG00005002987
LOC127061590,ENSVVLG00005004964
LOC127061591,ENSVVLG00005015134
LOC127061592,ENSVVLG00005002892
LOC127061593,ENSVVLG00005005168
LOC127061595,ENSVVLG00005003662
LOC127061596,ENSVVLG00005006147
LOC127061597,ENSVVLG00005004198
LOC127061598,ENSVVLG00005001910
LOC127061599,ENSVVLG00005002535
LOC127061600,ENSVVLG00005000388
LOC127061601,ENSVVLG00005005608
LOC127061602,ENSVVLG00005005148
LOC127061603,ENSVVLG00005001015
LOC127061604,ENSVVLG00005014952
LOC127061606,ENSVVLG00005004618
LOC127061607,ENSVVLG00005005124
LOC127061608,ENSVVLG00005000783
LOC127061609,ENSVVLG00005005527
LOC127061610,ENSVVLG00005007323
LOC127061611,ENSVVLG00005001458
LOC127061612,ENSVVLG00005002084
LOC127061613,ENSVVLG00005000382
LOC127061614,ENSVVLG00005000913
LOC127061615,ENSVVLG00005005996
LOC127061617,ENSVVLG00005000625
LOC127061618,ENSVVLG00005002517
LOC127061619,ENSVVLG00005000097
LOC127061620,ENSVVLG00005000398
LOC127061621,ENSVVLG00005007221
LOC127061622,ENSVVLG00005003962
LOC127061624,ENSVVLG00005006521
LOC127061625,ENSVVLG00005002556
LOC127061626,ENSVVLG00005015108
LOC127061627,ENSVVLG00005004900
LOC127061628,ENSVVLG00005001650
LOC127061630,ENSVVLG00005000745
LOC127061632,ENSVVLG00005003700
LOC127061633,ENSVVLG00005001369
LOC127061635,ENSVVLG00005000670
LOC127061637,ENSVVLG00005015560
LOC127061639,ENSVVLG00005001605
LOC127061640,ENSVVLG00005015015
LOC127061641,ENSVVLG00005000219
LOC127061642,ENSVVLG00005015710
LOC127061643,ENSVVLG00005000265
LOC127061644,ENSVVLG00005000832
LOC127061646,ENSVVLG00005004800
LOC127061647,ENSVVLG00005005146
LOC127061648,ENSVVLG00005003388
LOC127061649,ENSVVLG00005004922
LOC127061650,ENSVVLG00005015443
LOC127061653,ENSVVLG00005014700
LOC127061654,ENSVVLG00005004206
LOC127061655,ENSVVLG00005005252
LOC127061656,ENSVVLG00005001136
LOC127061658,ENSVVLG00005001583
LOC127061659,ENSVVLG00005003156
LOC127061660,ENSVVLG00005014877
LOC127061661,ENSVVLG00005000080
LOC127061662,ENSVVLG00005015094
LOC127061663,ENSVVLG00005005107
LOC127061664,ENSVVLG00005000104
LOC127061665,ENSVVLG00005015688
LOC127061666,ENSVVLG00005001993
LOC127061667,ENSVVLG00005000344
LOC127061668,ENSVVLG00005016373
LOC127061669,ENSVVLG00005016375
LOC127061671,ENSVVLG00005002069
LOC127061672,ENSVVLG00005015217
LOC127061673,ENSVVLG00005001765
LOC127061674,ENSVVLG00005000790
LOC127061675,ENSVVLG00005004096
LOC127061676,ENSVVLG00005016185
LOC127061677,ENSVVLG00005014930
LOC127061678,ENSVVLG00005002225
LOC127061679,ENSVVLG00005000449
LOC127061680,ENSVVLG00005001218
LOC127061681,ENSVVLG00005015325
LOC127061682,ENSVVLG00005001480
LOC127061683,ENSVVLG00005016379
LOC127061684,ENSVVLG00005003628
LOC127061686,ENSVVLG00005000865
LOC127061687,ENSVVLG00005005021
LOC127061688,ENSVVLG00005001857
LOC127061689,ENSVVLG00005003564
LOC127061690,ENSVVLG00005016248
LOC127061691,ENSVVLG00005015645
LOC127061692,ENSVVLG00005015543
LOC127061695,ENSVVLG00005005054
LOC127061696,ENSVVLG00005003875
LOC127061697,ENSVVLG00005016347
LOC127061698,ENSVVLG00005000959
LOC127061699,ENSVVLG00005014993
LOC127061700,ENSVVLG00005004696
LOC127061701,ENSVVLG00005016374
LOC127061702,ENSVVLG00005003005
LOC127061703,ENSVVLG00005014946
LOC127061704,ENSVVLG00005002809
LOC127061705,ENSVVLG00005000652
LOC127061706,ENSVVLG00005003921
LOC127061707,ENSVVLG00005014693
LOC127061708,ENSVVLG00005005133
LOC127061709,ENSVVLG00005001690
LOC127061710,ENSVVLG00005015788
LOC127061711,ENSVVLG00005000267
LOC127061712,ENSVVLG00005015339
LOC127061713,ENSVVLG00005002310
LOC127061714,ENSVVLG00005015239
LOC127061715,ENSVVLG00005000925
LOC127061716,ENSVVLG00005003432
LOC127061719,ENSVVLG00005007150
LOC127061721,ENSVVLG00005006754
LOC127061722,ENSVVLG00005002541
LOC127061723,ENSVVLG00005003759
LOC127061724,ENSVVLG00005005108
LOC127061725,ENSVVLG00005005452
LOC127061727,ENSVVLG00005002408
LOC127061728,ENSVVLG00005001226
LOC127061729,ENSVVLG00005004623
LOC127061730,ENSVVLG00005015883
LOC127061731,ENSVVLG00005000968
LOC127061732,ENSVVLG00005015192
LOC127061733,ENSVVLG00005014729
LOC127061734,ENSVVLG00005000952
LOC127061735,ENSVVLG00005005283
LOC127061736,ENSVVLG00005000275
LOC127061738,ENSVVLG00005015157
LOC127061739,ENSVVLG00005002103
LOC127061740,ENSVVLG00005016363
LOC127061743,ENSVVLG00005015438
LOC127061746,ENSVVLG00005004479
LOC127061750,ENSVVLG00005001738
LOC127061752,ENSVVLG00005000891
LOC127061759,ENSVVLG00005003046
LOC127061760,ENSVVLG00005001088
LOC127061762,ENSVVLG00005006707
LOC127061763,ENSVVLG00005015639
LOC127061764,ENSVVLG00005016223
LOC127061765,ENSVVLG00005001207
LOC127061767,ENSVVLG00005000666
LOC127061768,ENSVVLG00005002087
LOC127061769,ENSVVLG00005001239
LOC127061772,ENSVVLG00005002007
LOC127061773,ENSVVLG00005005061
LOC127061774,ENSVVLG00005001297
LOC127061775,ENSVVLG00005004437
LOC127061776,ENSVVLG00005001104
LOC127061778,ENSVVLG00005002487
LOC127061779,ENSVVLG00005000523
LOC127061780,ENSVVLG00005015141
LOC127061781,ENSVVLG00005016397
LOC127061782,ENSVVLG00005003179
LOC127061783,ENSVVLG00005015373
LOC127061784,ENSVVLG00005001927
LOC127061786,ENSVVLG00005004739
LOC127061787,ENSVVLG00005015159
LOC127061788,ENSVVLG00005000795
LOC127061789,ENSVVLG00005000204
LOC127061790,ENSVVLG00005015340
LOC127061793,ENSVVLG00005005923
LOC127061794,ENSVVLG00005000954
LOC127061796,ENSVVLG00005005221
LOC127061797,ENSVVLG00005002492
LOC127061798,ENSVVLG00005001747
LOC127061800,ENSVVLG00005004864
LOC127061801,ENSVVLG00005006490
LOC127061802,ENSVVLG00005005793
LOC127061805,ENSVVLG00005016235
LOC127061806,ENSVVLG00005000770
LOC127061808,ENSVVLG00005002300
LOC127061811,ENSVVLG00005004138
LOC127061812,ENSVVLG00005005425
LOC127061813,ENSVVLG00005002482
LOC127061814,ENSVVLG00005004820
LOC127061816,ENSVVLG00005015123
LOC127061817,ENSVVLG00005000098
LOC127061818,ENSVVLG00005004505
LOC127061819,ENSVVLG00005004257
LOC127061822,ENSVVLG00005015616
LOC127061823,ENSVVLG00005000308
LOC127061824,ENSVVLG00005001282
LOC127061825,ENSVVLG00005002347
LOC127061826,ENSVVLG00005015390
LOC127061827,ENSVVLG00005002527
LOC127061828,ENSVVLG00005000804
LOC127061829,ENSVVLG00005004394
LOC127061830,ENSVVLG00005002457
LOC127061832,ENSVVLG00005014734
LOC127061833,ENSVVLG00005002404
LOC127061834,ENSVVLG00005005548
LOC127061835,ENSVVLG00005002500
LOC127061836,ENSVVLG00005000759
LOC127061838,ENSVVLG00005005786
